Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",1,0,0,0,1,0,0,0,0
10,"Feb 25, 2020",1,0,0,0,1,0,0,0,0
11,"Feb 26, 2020",1,0,0,0,1,0,0,0,0
12,"Feb 27, 2020",1,0,0,0,1,0,0,0,0
13,"Feb 28, 2020",1,0,0,0,1,0,0,0,0
14,"Feb 29, 2020",1,0,0,0,1,0,0,0,0
15,"Mar 01, 2020",1,0,0,0,1,0,0,0,0
16,"Mar 02, 2020",1,0,0,0,1,0,0,0,0
17,"Mar 03, 2020",1,0,0,0,1,0,0,0,0
18,"Mar 04, 2020",1,0,0,0,1,0,0,0,0
19,"Mar 05, 2020",1,0,0,0,1,0,0,0,0
20,"Mar 06, 2020",1,0,0,0,1,0,0,0,0
21,"Mar 07, 2020",4,3,1,0,4,0,0,0,0
22,"Mar 08, 2020",4,0,1,1,4,0,0,0,0
23,"Mar 09, 2020",4,0,1,0,4,0,0,0,0
24,"Mar 10, 2020",5,1,0,1,5,0,0,0,0
25,"Mar 11, 2020",7,2,1,1,7,0,0,0,0
26,"Mar 12, 2020",7,0,1,1,7,0,0,0,0
27,"Mar 13, 2020",7,0,1,0,7,0,0,0,0
28,"Mar 14, 2020",11,4,1,1,11,0,0,0,0
29,"Mar 15, 2020",16,5,3,2,15,0,0,0,0
30,"Mar 16, 2020",21,5,5,3,20,0,0,0,0
31,"Mar 17, 2020",22,1,4,2,21,0,0,0,0
32,"Mar 18, 2020",22,0,2,2,21,0,0,0,0
33,"Mar 19, 2020",22,0,0,2,21,0,0,0,0
34,"Mar 20, 2020",24,2,1,3,23,0,0,0,0
35,"Mar 21, 2020",24,0,0,2,23,0,0,0,0
36,"Mar 22, 2020",40,16,6,3,38,1,1,0,0
37,"Mar 23, 2020",40,0,6,3,38,1,0,0,0
38,"Mar 24, 2020",74,34,16,7,72,1,0,0,0
39,"Mar 25, 2020",84,10,15,9,80,2,1,0,0
40,"Mar 26, 2020",94,10,18,10,88,4,2,1,0
41,"Mar 27, 2020",110,16,12,13,104,4,0,1,1
42,"Mar 28, 2020",110,0,9,12,104,4,0,1,0
43,"Mar 29, 2020",120,10,8,11,114,4,0,0,1
44,"Mar 30, 2020",170,50,20,19,164,4,0,0,0
45,"Mar 31, 2020",174,4,22,14,165,4,0,0,1
46,"Apr 01, 2020",237,63,39,22,228,4,0,0,0
47,"Apr 02, 2020",273,36,34,26,257,6,2,1,0
48,"Apr 03, 2020",281,8,36,24,265,6,0,0,1
49,"Apr 04, 2020",309,28,24,28,292,7,1,1,0
50,"Apr 05, 2020",349,40,25,33,327,7,0,1,0
51,"Apr 06, 2020",367,18,29,28,338,11,4,1,1
52,"Apr 07, 2020",423,56,38,36,391,14,3,3,2
53,"Apr 08, 2020",444,21,31,29,401,14,0,2,1
54,"Apr 09, 2020",484,40,39,31,437,15,1,1,2
55,"Apr 10, 2020",521,37,33,34,474,15,0,1,1
56,"Apr 11, 2020",555,34,37,35,505,18,3,1,1
57,"Apr 12, 2020",607,52,41,37,557,18,0,1,2
58,"Apr 13, 2020",665,58,48,42,612,21,3,2,1
59,"Apr 14, 2020",714,49,53,42,651,23,2,2,2
60,"Apr 15, 2020",784,70,59,49,716,25,2,2,1
61,"Apr 16, 2020",840,56,58,50,756,30,5,3,2
62,"Apr 17, 2020",906,66,64,55,777,30,0,2,3
63,"Apr 18, 2020",933,27,50,54,791,30,0,2,1
64,"Apr 19, 2020",996,63,52,56,832,33,3,1,2
65,"Apr 20, 2020",1026,30,40,52,855,36,3,2,3
66,"Apr 21, 2020",1092,66,53,54,906,36,0,2,1
67,"Apr 22, 2020",1176,84,60,56,970,40,4,2,3
68,"Apr 23, 2020",1279,103,84,62,1058,42,2,2,1
69,"Apr 24, 2020",1351,72,87,64,1120,43,1,3,2
