Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",0,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",0,0,0,0,0,0,0,0,0
21,"Mar 07, 2020",0,0,0,0,0,0,0,0,0
22,"Mar 08, 2020",2,0,0,0,2,0,0,0,0
23,"Mar 09, 2020",6,4,2,0,6,0,0,0,0
24,"Mar 10, 2020",10,4,3,2,10,0,0,0,0
25,"Mar 11, 2020",15,5,4,2,14,1,0,0,0
26,"Mar 12, 2020",23,8,6,3,22,1,0,0,0
27,"Mar 13, 2020",33,10,8,5,32,1,0,0,0
28,"Mar 14, 2020",38,5,7,5,37,1,0,0,0
29,"Mar 15, 2020",42,4,7,6,41,1,0,0,0
30,"Mar 16, 2020",51,9,6,6,50,1,0,0,0
31,"Mar 17, 2020",55,4,5,7,54,1,0,0,0
32,"Mar 18, 2020",59,4,6,6,57,2,1,0,0
33,"Mar 19, 2020",64,5,4,6,62,2,0,1,0
34,"Mar 20, 2020",70,6,5,5,66,2,0,0,0
35,"Mar 21, 2020",76,6,6,6,72,2,0,0,1
36,"Mar 22, 2020",89,13,8,6,85,2,0,0,0
37,"Mar 23, 2020",104,15,12,8,98,4,2,1,0
38,"Mar 24, 2020",123,19,15,10,108,5,1,1,1
39,"Mar 25, 2020",146,23,19,12,124,5,0,1,0
40,"Mar 26, 2020",174,28,24,16,151,6,1,0,1
41,"Mar 27, 2020",186,12,21,16,147,8,2,1,1
42,"Mar 28, 2020",197,11,17,18,156,10,2,2,1
43,"Mar 29, 2020",212,15,12,17,169,10,0,1,1
44,"Mar 30, 2020",223,11,13,17,168,11,1,1,1
45,"Mar 31, 2020",243,20,15,17,176,15,4,2,1
46,"Apr 01, 2020",259,16,16,16,177,15,0,2,2
47,"Apr 02, 2020",277,18,18,15,185,16,1,1,1
48,"Apr 03, 2020",304,27,20,17,198,17,1,1,1
49,"Apr 04, 2020",333,29,25,19,214,20,3,2,2
50,"Apr 05, 2020",361,28,28,22,237,20,0,1,1
51,"Apr 06, 2020",377,16,24,22,240,21,1,1,2
52,"Apr 07, 2020",383,6,17,20,230,22,1,1,1
53,"Apr 08, 2020",400,17,13,20,224,22,0,1,1
54,"Apr 09, 2020",409,9,10,19,221,23,1,0,1
55,"Apr 10, 2020",416,7,11,16,211,23,0,1,1
56,"Apr 11, 2020",433,17,11,14,213,23,0,0,0
57,"Apr 12, 2020",446,13,13,12,206,23,0,0,0
58,"Apr 13, 2020",467,21,17,13,212,23,0,0,1
59,"Apr 14, 2020",475,8,14,13,203,24,1,0,0
60,"Apr 15, 2020",494,19,16,14,218,25,1,1,0
61,"Apr 16, 2020",518,24,17,15,215,26,1,1,1
62,"Apr 17, 2020",539,21,21,18,230,26,0,1,0
63,"Apr 18, 2020",548,9,18,16,220,26,0,0,1
64,"Apr 19, 2020",562,14,15,17,222,26,0,0,0
65,"Apr 20, 2020",584,22,15,16,231,26,0,0,1
66,"Apr 21, 2020",609,25,20,20,238,26,0,0,0
67,"Apr 22, 2020",634,25,24,20,251,27,1,0,0
68,"Apr 23, 2020",663,29,26,20,251,27,0,1,0
69,"Apr 24, 2020",678,15,23,20,257,27,0,0,0
