Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",1,0,0,0,1,0,0,0,0
11,"Feb 26, 2020",1,0,0,0,1,0,0,0,0
12,"Feb 27, 2020",1,0,0,0,1,0,0,0,0
13,"Feb 28, 2020",1,0,0,0,1,0,0,0,0
14,"Feb 29, 2020",1,0,0,0,1,0,0,0,0
15,"Mar 01, 2020",3,2,1,0,3,0,0,0,0
16,"Mar 02, 2020",5,2,1,1,5,0,0,0,0
17,"Mar 03, 2020",8,3,2,1,8,0,0,0,0
18,"Mar 04, 2020",17,9,5,2,17,0,0,0,0
19,"Mar 05, 2020",17,0,4,2,17,0,0,0,0
20,"Mar 06, 2020",17,0,3,3,17,0,0,0,0
21,"Mar 07, 2020",19,2,1,2,19,0,0,0,0
22,"Mar 08, 2020",20,1,1,3,20,0,0,0,0
23,"Mar 09, 2020",20,0,1,2,20,0,0,0,0
24,"Mar 10, 2020",20,0,0,2,20,0,0,0,0
25,"Mar 11, 2020",20,0,0,0,12,0,0,0,0
26,"Mar 12, 2020",26,6,2,1,14,2,2,0,0
27,"Mar 13, 2020",26,0,2,2,14,2,0,0,0
28,"Mar 14, 2020",39,13,6,2,26,3,1,1,0
29,"Mar 15, 2020",54,15,10,5,40,4,1,1,1
30,"Mar 16, 2020",60,6,11,6,46,4,0,1,0
31,"Mar 17, 2020",61,1,7,6,46,5,1,0,1
32,"Mar 18, 2020",75,14,7,8,36,7,2,1,1
33,"Mar 19, 2020",90,15,10,9,49,9,2,2,1
34,"Mar 20, 2020",94,4,11,10,51,11,2,2,1
35,"Mar 21, 2020",139,45,22,14,59,15,4,3,2
36,"Mar 22, 2020",201,62,37,21,119,17,2,2,2
37,"Mar 23, 2020",230,29,45,24,148,17,0,2,2
38,"Mar 24, 2020",264,34,42,29,221,19,2,2,2
39,"Mar 25, 2020",302,38,33,33,216,21,2,1,2
40,"Mar 26, 2020",367,65,46,39,313,25,4,3,2
41,"Mar 27, 2020",409,42,48,45,354,26,1,2,2
42,"Mar 28, 2020",454,45,51,45,394,29,3,3,2
43,"Mar 29, 2020",511,57,48,44,449,31,2,2,2
44,"Mar 30, 2020",584,73,58,51,512,35,4,3,3
45,"Mar 31, 2020",716,132,88,65,626,44,9,5,3
46,"Apr 01, 2020",847,131,112,77,728,58,14,9,5
47,"Apr 02, 2020",986,139,134,89,839,86,28,17,9
48,"Apr 03, 2020",1171,185,151,109,1004,105,19,20,11
49,"Apr 04, 2020",1251,80,135,114,1031,130,25,24,15
50,"Apr 05, 2020",1320,69,111,115,1078,152,22,22,17
51,"Apr 06, 2020",1423,103,84,120,1160,173,21,23,20
52,"Apr 07, 2020",1468,45,73,107,1162,193,20,21,21
53,"Apr 08, 2020",1572,104,84,104,1130,205,12,17,21
54,"Apr 09, 2020",1666,94,81,97,1084,235,30,21,21
55,"Apr 10, 2020",1761,95,97,84,1100,256,21,21,22
56,"Apr 11, 2020",1825,64,85,82,1090,275,19,23,21
57,"Apr 12, 2020",1914,89,82,85,1030,293,18,20,20
58,"Apr 13, 2020",1983,69,74,80,1069,313,20,19,20
59,"Apr 14, 2020",2070,87,82,86,1053,326,13,17,19
60,"Apr 15, 2020",2160,90,82,84,1116,336,10,14,19
61,"Apr 16, 2020",2268,108,95,86,1137,348,12,12,16
62,"Apr 17, 2020",2418,150,116,94,1208,364,16,12,15
63,"Apr 18, 2020",2534,116,125,101,1273,367,3,11,13
64,"Apr 19, 2020",2629,95,120,103,1207,375,8,9,12
65,"Apr 20, 2020",2718,89,100,105,1235,384,9,6,10
66,"Apr 21, 2020",2811,93,92,105,1267,392,8,9,10
67,"Apr 22, 2020",2910,99,94,108,1304,402,10,9,9
68,"Apr 23, 2020",3007,97,96,105,1245,407,5,7,8
