Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",1,0,0,0,1,0,0,0,0
17,"Mar 03, 2020",1,0,0,0,1,0,0,0,0
18,"Mar 04, 2020",1,0,0,0,1,0,0,0,0
19,"Mar 05, 2020",1,0,0,0,1,0,0,0,0
20,"Mar 06, 2020",1,0,0,0,1,0,0,0,0
21,"Mar 07, 2020",1,0,0,0,1,0,0,0,0
22,"Mar 08, 2020",1,0,0,0,1,0,0,0,0
23,"Mar 09, 2020",1,0,0,0,1,0,0,0,0
24,"Mar 10, 2020",1,0,0,0,1,0,0,0,0
25,"Mar 11, 2020",1,0,0,0,1,0,0,0,0
26,"Mar 12, 2020",1,0,0,0,1,0,0,0,0
27,"Mar 13, 2020",1,0,0,0,1,0,0,0,0
28,"Mar 14, 2020",1,0,0,0,1,0,0,0,0
29,"Mar 15, 2020",5,4,1,1,5,0,0,0,0
30,"Mar 16, 2020",14,9,5,1,14,0,0,0,0
31,"Mar 17, 2020",39,25,12,6,38,0,0,0,0
32,"Mar 18, 2020",53,14,16,7,52,0,0,0,0
33,"Mar 19, 2020",74,21,20,11,73,0,0,0,0
34,"Mar 20, 2020",75,1,12,10,74,0,0,0,0
35,"Mar 21, 2020",88,13,12,13,87,0,0,0,0
36,"Mar 22, 2020",113,25,13,15,111,1,1,0,0
37,"Mar 23, 2020",133,20,19,17,131,1,0,0,0
38,"Mar 24, 2020",164,31,26,18,162,1,0,0,0
39,"Mar 25, 2020",188,24,25,19,186,1,0,0,0
40,"Mar 26, 2020",224,36,30,22,220,3,2,1,0
41,"Mar 27, 2020",267,43,34,27,263,3,0,0,0
42,"Mar 28, 2020",308,41,40,32,304,3,0,1,1
43,"Mar 29, 2020",334,26,37,31,327,6,3,1,1
44,"Mar 30, 2020",370,36,34,34,352,8,2,2,1
45,"Mar 31, 2020",376,6,23,30,354,12,4,3,1
46,"Apr 01, 2020",390,14,19,29,366,14,2,2,2
47,"Apr 02, 2020",428,38,19,29,403,15,1,3,2
48,"Apr 03, 2020",439,11,21,25,407,16,1,1,2
49,"Apr 04, 2020",466,27,25,22,428,17,1,1,2
50,"Apr 05, 2020",501,35,25,24,457,18,1,1,1
51,"Apr 06, 2020",525,24,28,22,473,21,3,2,2
52,"Apr 07, 2020",545,20,27,25,484,22,1,1,2
53,"Apr 08, 2020",564,19,21,24,489,23,1,2,1
54,"Apr 09, 2020",583,19,19,23,500,25,2,1,1
55,"Apr 10, 2020",601,18,19,23,504,26,1,2,2
56,"Apr 11, 2020",601,0,12,19,504,26,0,1,1
57,"Apr 12, 2020",638,37,18,20,481,29,3,1,2
58,"Apr 13, 2020",646,8,15,17,489,29,0,1,1
59,"Apr 14, 2020",659,13,20,16,500,31,2,2,1
60,"Apr 15, 2020",673,14,11,16,471,33,2,1,1
61,"Apr 16, 2020",673,0,9,13,471,33,0,1,2
62,"Apr 17, 2020",696,23,13,13,470,35,2,2,1
63,"Apr 18, 2020",704,8,10,15,464,35,0,0,1
64,"Apr 19, 2020",713,9,13,11,442,36,1,1,1
65,"Apr 20, 2020",717,4,7,10,432,37,1,1,1
66,"Apr 21, 2020",717,0,5,8,398,37,0,1,1
67,"Apr 22, 2020",723,6,3,7,377,37,0,0,1
68,"Apr 23, 2020",723,0,2,7,353,37,0,0,0
69,"Apr 24, 2020",731,8,5,5,347,40,3,1,1
