Days,Date,0_DeathRate,1_RecoveryRate,2_Cases,3_DailyCases,4_DailyCases- 3-daymovingaverage,5_DailyCases- 7-daymovingaverage,6_CurrentlyInfected,7_Deaths,8_DailyDeaths,9_DailyDeaths- 3-daymovingaverage,10_DailyDeaths- 7-daymovingaverage,11_NewRecoveries,12_NewCases,13_DeathRate,14_RecoveryRate
0,"Feb 15, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
1,"Feb 16, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
2,"Feb 17, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
3,"Feb 18, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
4,"Feb 19, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
5,"Feb 20, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
6,"Feb 21, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
7,"Feb 22, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
8,"Feb 23, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
9,"Feb 24, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
10,"Feb 25, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
11,"Feb 26, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
12,"Feb 27, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
13,"Feb 28, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
14,"Feb 29, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
15,"Mar 01, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
16,"Mar 02, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
17,"Mar 03, 2020",0.000,0.000,1,0,0,0,1,0,0,0,0,0,0,0.000,0.000
18,"Mar 04, 2020",0.000,0.000,1,0,0,0,1,0,0,0,0,0,0,0.000,0.000
19,"Mar 05, 2020",0.000,0.000,2,1,0,0,2,0,0,0,0,0,1,0.000,0.000
20,"Mar 06, 2020",0.000,0.000,8,6,3,1,8,0,0,0,0,0,6,0.000,0.000
21,"Mar 07, 2020",100.000,0.000,9,1,2,1,8,1,0,0,0,0,1,100.000,0.000
22,"Mar 08, 2020",100.000,0.000,12,3,4,2,10,2,1,0,0,0,3,100.000,0.000
23,"Mar 09, 2020",100.000,0.000,17,5,3,2,15,2,0,1,0,0,5,100.000,0.000
24,"Mar 10, 2020",100.000,0.000,19,2,3,3,17,2,0,0,0,0,2,100.000,0.000
25,"Mar 11, 2020",100.000,0.000,21,2,3,3,18,3,1,0,0,0,2,100.000,0.000
26,"Mar 12, 2020",100.000,0.000,31,10,5,4,28,3,0,1,1,0,10,100.000,0.000
27,"Mar 13, 2020",100.000,0.000,34,3,5,3,28,6,3,1,1,0,3,100.000,0.000
28,"Mar 14, 2020",100.000,0.000,45,11,8,6,39,6,0,1,0,0,11,100.000,0.000
29,"Mar 15, 2020",66.670,33.330,56,11,8,6,47,6,0,1,1,3,11,66.670,33.330
30,"Mar 16, 2020",66.670,33.330,65,9,10,7,56,6,0,0,1,0,9,66.670,33.330
31,"Mar 17, 2020",66.670,33.330,79,14,12,8,70,6,0,0,0,0,14,66.670,33.330
32,"Mar 18, 2020",66.670,33.330,97,18,13,11,88,6,0,0,1,0,18,66.670,33.330
33,"Mar 19, 2020",75.000,25.000,128,31,21,14,116,9,3,1,0,0,31,75.000,25.000
34,"Mar 20, 2020",75.000,25.000,158,30,27,18,146,9,0,1,1,0,30,75.000,25.000
35,"Mar 21, 2020",80.000,20.000,158,0,20,16,143,12,3,2,1,0,0,80.000,20.000
36,"Mar 22, 2020",30.770,69.230,266,108,46,30,227,12,0,1,1,24,108,30.770,69.230
37,"Mar 23, 2020",19.050,80.950,301,35,48,34,238,12,0,1,0,24,35,19.050,80.950
38,"Mar 24, 2020",24.640,75.360,387,86,76,44,318,17,5,2,2,1,86,24.640,75.360
39,"Mar 25, 2020",29.730,70.270,502,115,79,57,428,22,5,3,2,0,115,29.730,70.270
40,"Mar 26, 2020",30.770,69.230,589,87,96,66,485,32,10,7,4,20,87,30.770,69.230
41,"Mar 27, 2020",32.710,67.290,589,0,67,62,482,35,3,6,3,0,0,32.710,67.290
42,"Mar 28, 2020",41.460,58.540,745,156,81,84,622,51,16,9,6,0,156,41.460,58.540
43,"Mar 29, 2020",37.240,62.760,820,75,77,79,675,54,3,8,6,19,75,37.240,62.760
44,"Mar 30, 2020",21.380,78.620,820,0,77,74,530,62,8,9,7,137,0,21.380,78.620
45,"Mar 31, 2020",23.080,76.920,1054,234,103,95,742,72,10,7,8,12,234,23.080,76.920
46,"Apr 01, 2020",25.530,74.470,1133,79,104,90,800,85,13,10,9,8,79,25.530,74.470
47,"Apr 02, 2020",27.070,72.930,1265,132,149,97,914,95,10,11,9,8,132,27.070,72.930
48,"Apr 03, 2020",29.440,70.560,1353,88,99,109,976,111,16,13,11,10,88,29.440,70.560
49,"Apr 04, 2020",29.010,70.990,1451,98,106,101,1058,114,3,10,9,13,98,29.010,70.990
50,"Apr 05, 2020",30.350,69.650,1554,103,97,105,1152,122,8,9,9,1,103,30.350,69.650
51,"Apr 06, 2020",30.110,69.890,1628,74,91,115,1163,140,18,9,12,45,74,30.110,69.890
52,"Apr 07, 2020",31.850,68.150,1715,87,88,95,1219,158,18,15,12,13,87,31.850,68.150
53,"Apr 08, 2020",32.330,67.670,1795,80,81,94,1266,171,13,16,12,20,80,32.330,67.670
54,"Apr 09, 2020",36.300,63.700,1894,99,88,90,1321,208,37,23,16,7,99,36.300,63.700
55,"Apr 10, 2020",36.550,63.450,1975,81,87,89,1384,216,8,19,15,10,81,36.550,63.450
56,"Apr 11, 2020",34.720,65.280,2142,167,116,99,1468,234,18,21,17,65,167,34.720,65.280
57,"Apr 12, 2020",33.620,66.380,2142,0,82,84,1437,237,3,10,17,28,0,33.620,66.380
58,"Apr 13, 2020",33.380,66.620,2277,135,101,92,1504,258,21,14,17,47,135,33.380,66.620
59,"Apr 14, 2020",32.410,67.590,2277,0,45,81,1450,268,10,11,15,44,0,32.410,67.590
60,"Apr 15, 2020",33.030,66.970,2571,294,143,111,1681,294,26,19,18,37,294,33.030,66.970
61,"Apr 16, 2020",33.650,66.350,2669,98,131,110,1718,320,26,21,16,35,98,33.650,66.350
62,"Apr 17, 2020",32.660,67.340,2669,0,130,99,1680,323,3,18,15,35,0,32.660,67.340
63,"Apr 18, 2020",33.620,66.380,2839,170,90,100,1807,347,24,18,16,19,170,33.620,66.380
64,"Apr 19, 2020",33.180,66.820,2941,102,90,114,1880,352,5,11,17,24,102,33.180,66.820
65,"Apr 20, 2020",33.600,66.400,3031,90,121,108,1921,373,21,16,16,28,90,33.600,66.400
66,"Apr 21, 2020",32.090,67.910,3144,113,102,124,1907,397,24,17,19,103,113,32.090,67.910
67,"Apr 22, 2020",32.400,67.600,3288,144,115,102,1998,418,21,22,17,32,144,32.400,67.600
68,"Apr 23, 2020",32.080,67.920,3435,147,135,110,2082,434,16,20,17,47,147,32.080,67.920
69,"Apr 24, 2020",32.180,67.820,3607,172,154,134,2168,463,29,22,20,57,172,32.180,67.820
70,"Apr 25, 2020",32.100,67.900,3780,173,164,134,2263,487,24,23,20,54,173,32.100,67.900
71,"Apr 26, 2020",31.330,68.670,3892,112,153,136,2280,505,18,24,22,77,112,31.330,68.670
72,"Apr 27, 2020",31.240,68.760,4003,111,132,139,2345,518,13,18,20,33,111,31.240,68.760
73,"Apr 28, 2020",31.890,68.110,4127,124,115,140,2421,544,26,19,21,22,124,31.890,68.110
74,"Apr 29, 2020",32.040,67.960,4285,158,131,143,2531,562,18,19,21,30,158,32.040,67.960
75,"Apr 30, 2020",31.290,68.710,4428,143,142,141,2600,572,10,18,20,64,143,31.290,68.710
76,"May 01, 2020",31.350,68.650,4532,104,135,133,2650,590,18,16,18,36,104,31.350,68.650
77,"May 02, 2020",31.990,68.010,4681,149,132,128,2740,621,31,19,19,28,149,31.990,68.010
78,"May 03, 2020",32.270,67.730,4783,102,118,128,2784,645,24,25,20,34,102,32.270,67.730
79,"May 04, 2020",32.110,67.890,4887,104,119,126,2763,682,37,30,23,88,104,32.110,67.890
80,"May 05, 2020",31.980,68.020,5020,133,113,127,2856,692,10,24,21,30,133,31.980,68.020
81,"May 06, 2020",31.960,68.040,5208,188,141,132,2968,716,24,24,22,52,188,31.960,68.040
82,"May 07, 2020",31.610,68.390,5371,163,162,135,3030,740,24,19,24,77,163,31.610,68.390
83,"May 08, 2020",31.670,68.330,5611,240,197,154,3183,769,29,26,26,58,240,31.670,68.330
84,"May 09, 2020",31.290,68.710,5776,165,189,157,3261,787,18,23,24,69,165,31.290,68.710
85,"May 10, 2020",31.290,68.710,6034,258,221,178,3477,800,13,20,22,29,258,31.290,68.710
86,"May 11, 2020",30.970,69.030,6278,244,222,199,3617,824,24,19,20,80,244,30.970,69.030
87,"May 12, 2020",31.010,68.990,6563,285,263,220,3864,837,13,16,21,25,285,31.010,68.990
88,"May 13, 2020",27.580,72.420,6879,316,281,239,3750,863,26,21,21,404,316,27.580,72.420
89,"May 14, 2020",27.970,72.030,7134,255,286,252,3823,926,63,34,26,119,255,27.970,72.030
90,"May 15, 2020",27.220,72.780,7479,345,305,267,4048,934,8,33,24,112,345,27.220,72.780
91,"May 16, 2020",27.310,72.690,7805,326,309,290,4319,952,18,29,24,37,326,27.310,72.690
92,"May 17, 2020",27.570,72.430,8068,263,311,290,4521,978,26,18,25,35,263,27.570,72.430
93,"May 18, 2020",27.630,72.370,8371,303,297,299,4744,1002,24,22,25,56,303,27.630,72.370
94,"May 19, 2020",26.420,73.580,8809,438,335,321,4906,1031,29,27,28,247,438,26.420,73.580
95,"May 20, 2020",26.490,73.510,9283,474,405,344,5293,1057,26,26,28,61,474,26.490,73.510
96,"May 21, 2020",26.460,73.540,9931,648,520,399,5808,1091,34,30,23,99,648,26.460,73.540
97,"May 22, 2020",27.060,72.940,10649,718,613,453,6451,1136,45,35,29,30,718,27.060,72.940
98,"May 23, 2020",24.850,75.150,11353,704,690,507,6656,1167,31,36,31,468,704,24.850,75.150
99,"May 24, 2020",24.100,75.900,12076,723,715,572,7159,1185,18,32,30,202,723,24.100,75.900
100,"May 25, 2020",23.430,76.570,12628,552,660,609,7405,1224,39,29,31,267,552,23.430,76.570
101,"May 26, 2020",23.340,76.660,13228,600,625,631,7792,1269,45,34,34,168,600,23.340,76.660
102,"May 27, 2020",23.160,76.840,13933,705,619,664,8273,1311,42,42,37,182,705,23.160,76.840
103,"May 28, 2020",22.390,77.610,14702,769,691,682,8753,1332,21,36,34,268,769,22.390,77.610
104,"May 29, 2020",22.160,77.840,15419,717,731,681,9268,1363,31,31,32,171,717,22.160,77.840
105,"May 30, 2020",22.420,77.580,16214,795,760,695,10042,1384,21,25,31,0,795,22.420,77.580
106,"May 31, 2020",20.940,79.060,16851,637,716,682,10102,1413,29,27,33,548,637,20.940,79.060
107,"Jun 01, 2020",20.890,79.110,17415,564,666,684,10436,1458,45,31,33,185,564,20.890,79.110
108,"Jun 02, 2020",20.720,79.280,18319,904,701,727,11118,1492,34,36,32,188,904,20.720,79.280
109,"Jun 03, 2020",20.590,79.410,19268,949,806,762,11843,1529,37,39,31,187,949,20.590,79.410
110,"Jun 04, 2020",21.020,78.980,20197,929,927,785,12609,1595,66,46,38,97,929,21.020,78.980
111,"Jun 05, 2020",21.400,78.600,21037,840,906,803,13291,1658,63,55,42,95,840,21.400,78.600
112,"Jun 06, 2020",21.570,78.430,22020,983,918,829,14140,1700,42,57,45,92,983,21.570,78.430
113,"Jun 07, 2020",20.140,79.860,22794,774,865,849,14143,1742,42,49,47,729,774,20.140,79.860
114,"Jun 08, 2020",19.930,80.070,23620,826,861,886,14497,1818,76,53,52,396,826,19.930,80.070
115,"Jun 09, 2020",19.910,80.090,24761,1141,914,921,15312,1881,63,61,55,263,1141,19.910,80.090
116,"Jun 10, 2020",19.440,80.560,25987,1226,1064,960,16068,1928,47,62,57,423,1226,19.440,80.560
117,"Jun 11, 2020",19.410,80.590,27373,1386,1251,1025,17034,2007,79,63,59,341,1386,19.410,80.590
118,"Jun 12, 2020",19.060,80.940,28764,1391,1335,1104,17962,2059,52,59,57,411,1391,19.060,80.940
