Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",1,0,0,0,1,0,0,0,0
16,"Mar 02, 2020",1,0,0,0,1,0,0,0,0
17,"Mar 03, 2020",1,0,0,0,1,0,0,0,0
18,"Mar 04, 2020",1,0,0,0,1,0,0,0,0
19,"Mar 05, 2020",1,0,0,0,1,0,0,0,0
20,"Mar 06, 2020",1,0,0,0,1,0,0,0,0
21,"Mar 07, 2020",1,0,0,0,1,0,0,0,0
22,"Mar 08, 2020",1,0,0,0,1,0,0,0,0
23,"Mar 09, 2020",1,0,0,0,1,0,0,0,0
24,"Mar 10, 2020",1,0,0,0,1,0,0,0,0
25,"Mar 11, 2020",1,0,0,0,1,0,0,0,0
26,"Mar 12, 2020",6,5,2,1,6,0,0,0,0
27,"Mar 13, 2020",8,2,2,1,8,0,0,0,0
28,"Mar 14, 2020",20,12,6,2,20,0,0,0,0
29,"Mar 15, 2020",28,8,8,4,28,0,0,0,0
30,"Mar 16, 2020",52,24,14,8,51,0,0,0,0
31,"Mar 17, 2020",78,26,20,11,77,0,0,0,0
32,"Mar 18, 2020",110,32,27,15,109,0,0,0,0
33,"Mar 19, 2020",122,12,23,17,121,0,0,0,0
34,"Mar 20, 2020",136,14,20,18,135,0,0,0,0
35,"Mar 21, 2020",160,24,16,20,159,0,0,0,0
36,"Mar 22, 2020",194,34,24,24,192,0,0,0,0
37,"Mar 23, 2020",235,41,33,26,233,0,0,0,0
38,"Mar 24, 2020",249,14,30,24,235,0,0,0,0
39,"Mar 25, 2020",265,16,24,22,249,0,0,0,0
40,"Mar 26, 2020",290,25,18,24,271,1,1,0,0
41,"Mar 27, 2020",329,39,27,28,300,1,0,0,0
42,"Mar 28, 2020",407,78,47,35,376,1,0,0,0
43,"Mar 29, 2020",424,17,45,33,391,3,2,1,0
44,"Mar 30, 2020",482,58,51,35,449,3,0,0,0
45,"Mar 31, 2020",532,50,41,41,499,3,0,1,1
46,"Apr 01, 2020",571,39,49,44,536,4,1,0,0
47,"Apr 02, 2020",663,92,61,53,623,7,3,2,1
48,"Apr 03, 2020",736,73,68,58,686,7,0,1,1
49,"Apr 04, 2020",770,34,66,52,720,7,0,1,1
50,"Apr 05, 2020",822,52,53,57,758,7,0,0,0
51,"Apr 06, 2020",833,11,32,50,763,8,1,0,1
52,"Apr 07, 2020",853,20,28,46,758,8,0,1,1
53,"Apr 08, 2020",881,28,20,44,758,9,1,0,1
54,"Apr 09, 2020",921,40,29,37,773,10,1,1,0
55,"Apr 10, 2020",937,16,28,29,776,12,2,1,1
56,"Apr 11, 2020",967,30,29,28,781,13,1,2,1
57,"Apr 12, 2020",1013,46,30,27,803,13,0,1,0
58,"Apr 13, 2020",1039,26,34,29,814,14,1,0,1
59,"Apr 14, 2020",1067,28,34,31,786,16,2,1,1
60,"Apr 15, 2020",1111,44,32,33,797,17,1,2,2
61,"Apr 16, 2020",1159,48,40,34,783,18,1,1,1
62,"Apr 17, 2020",1201,42,45,38,780,19,1,1,1
63,"Apr 18, 2020",1248,47,46,40,705,20,1,1,1
64,"Apr 19, 2020",1291,43,44,39,726,20,0,1,1
65,"Apr 20, 2020",1339,48,46,43,737,22,2,1,1
66,"Apr 21, 2020",1401,62,51,48,768,24,2,1,1
67,"Apr 22, 2020",1473,72,60,52,816,24,0,1,1
68,"Apr 23, 2020",1523,50,62,52,840,24,0,1,1
