Days,Date,0_CurrentlyInfected,1_DeathRate,2_RecoveryRate,3_Cases,4_DailyCases,5_DailyCases- 3-daymovingaverage,6_DailyCases- 7-daymovingaverage,7_CurrentlyInfected,8_Deaths,9_DailyDeaths,10_DailyDeaths- 3-daymovingaverage,11_DailyDeaths- 7-daymovingaverage,12_NewRecoveries,13_NewCases,14_DeathRate,15_RecoveryRate
0,"Feb 15, 2020",5,0.000,100.000,15,0,0,0,5,0,0,0,0,0,0,0.000,100.000
1,"Feb 16, 2020",5,0.000,100.000,15,0,0,0,5,0,0,0,0,0,0,0.000,100.000
2,"Feb 17, 2020",5,0.000,100.000,15,0,0,0,5,0,0,0,0,0,0,0.000,100.000
3,"Feb 18, 2020",5,0.000,100.000,15,0,0,0,5,0,0,0,0,0,0,0.000,100.000
4,"Feb 19, 2020",5,0.000,100.000,15,0,0,0,5,0,0,0,0,0,0,0.000,100.000
5,"Feb 20, 2020",6,0.000,100.000,17,2,1,0,6,0,0,0,0,1,2,0.000,100.000
6,"Feb 21, 2020",8,0.000,100.000,19,2,1,1,8,0,0,0,0,0,2,0.000,100.000
7,"Feb 22, 2020",10,0.000,100.000,21,2,2,1,10,0,0,0,0,0,2,0.000,100.000
8,"Feb 23, 2020",11,0.000,100.000,22,1,2,1,11,0,0,0,0,0,1,0.000,100.000
9,"Feb 24, 2020",11,0.000,100.000,22,0,1,1,11,0,0,0,0,0,0,0.000,100.000
10,"Feb 25, 2020",7,0.000,100.000,22,0,0,1,7,0,0,0,0,4,0,0.000,100.000
11,"Feb 26, 2020",8,0.000,100.000,23,1,0,1,8,0,0,0,0,0,1,0.000,100.000
12,"Feb 27, 2020",8,0.000,100.000,23,0,1,1,8,0,0,0,0,0,0,0.000,100.000
13,"Feb 28, 2020",10,0.000,100.000,25,2,1,1,10,0,0,0,0,0,2,0.000,100.000
14,"Feb 29, 2020",10,0.000,100.000,25,0,0,0,10,0,0,0,0,0,0,0.000,100.000
15,"Mar 01, 2020",13,6.250,93.750,29,4,2,1,13,1,1,0,0,0,4,6.250,93.750
16,"Mar 02, 2020",17,6.250,93.750,33,4,3,2,17,1,0,0,0,0,4,6.250,93.750
17,"Mar 03, 2020",17,4.550,95.450,39,6,5,2,17,1,0,0,0,6,6,4.550,95.450
18,"Mar 04, 2020",30,8.700,91.300,53,14,8,4,30,2,1,0,0,0,14,8.700,91.300
19,"Mar 05, 2020",36,8.330,91.670,60,7,9,6,36,2,0,1,0,1,7,8.330,91.670
20,"Mar 06, 2020",39,8.330,91.670,63,3,8,5,39,2,0,0,0,0,3,8.330,91.670
21,"Mar 07, 2020",49,12.000,88.000,74,11,7,7,49,3,1,0,1,0,11,12.000,88.000
22,"Mar 08, 2020",58,12.000,88.000,83,9,7,8,58,3,0,1,0,0,9,12.000,88.000
23,"Mar 09, 2020",68,12.000,88.000,93,10,10,8,68,3,0,0,0,0,10,12.000,88.000
24,"Mar 10, 2020",91,12.000,88.000,116,23,14,11,91,3,0,0,1,0,23,12.000,88.000
25,"Mar 11, 2020",101,11.110,88.890,128,12,15,11,101,3,0,0,0,2,12,11.110,88.890
26,"Mar 12, 2020",127,10.340,89.660,156,28,21,14,127,3,0,0,0,2,28,10.340,89.660
27,"Mar 13, 2020",170,10.340,89.660,199,43,28,19,170,3,0,0,0,0,43,10.340,89.660
28,"Mar 14, 2020",218,10.000,90.000,248,49,40,25,218,3,0,0,0,1,49,10.000,90.000
29,"Mar 15, 2020",268,15.630,84.380,300,52,48,31,268,5,2,1,0,0,52,15.630,84.380
30,"Mar 16, 2020",369,15.630,84.380,401,101,67,44,369,5,0,0,1,0,101,15.630,84.380
31,"Mar 17, 2020",423,15.630,84.380,455,54,69,49,423,5,0,1,0,0,54,15.630,84.380
32,"Mar 18, 2020",547,12.240,87.760,596,141,99,66,547,6,1,0,0,16,141,12.240,87.760
33,"Mar 19, 2020",703,13.210,86.790,756,160,118,86,703,7,1,1,1,3,160,13.210,86.790
34,"Mar 20, 2020",875,13.210,86.790,928,172,158,104,875,7,0,1,0,0,172,13.210,86.790
35,"Mar 21, 2020",1019,13.210,86.790,1072,144,159,118,1019,7,0,0,1,0,144,13.210,86.790
36,"Mar 22, 2020",1514,7.370,92.630,1609,537,284,187,1514,7,0,0,0,42,537,7.370,92.630
37,"Mar 23, 2020",1762,5.600,94.400,1887,278,320,212,1762,7,0,0,1,30,278,5.600,94.400
38,"Mar 24, 2020",2191,6.350,93.650,2317,430,415,266,2191,8,1,0,0,0,430,6.350,93.650
39,"Mar 25, 2020",2547,8.530,91.470,2676,359,355,297,2547,11,3,2,1,0,359,8.530,91.470
40,"Mar 26, 2020",2867,7.100,92.900,3050,374,388,328,2867,13,2,2,1,52,374,7.100,92.900
41,"Mar 27, 2020",3195,7.100,92.900,3378,328,354,350,3195,13,0,1,0,0,328,7.100,92.900
42,"Mar 28, 2020",3451,7.610,92.390,3635,257,319,366,3451,14,1,1,1,0,257,7.610,92.390
43,"Mar 29, 2020",3902,6.510,93.490,4163,528,371,365,3902,17,3,2,2,74,528,6.510,93.490
44,"Mar 30, 2020",4197,7.220,92.780,4460,297,361,368,4197,19,2,2,2,0,297,7.220,92.780
45,"Mar 31, 2020",4398,5.480,94.520,4763,303,376,349,4398,20,1,2,1,101,303,5.480,94.520
46,"Apr 01, 2020",4680,6.250,93.750,5048,285,295,339,4680,23,3,2,2,0,285,6.250,93.750
47,"Apr 02, 2020",4704,4.100,95.900,5314,266,285,323,4704,25,2,2,2,240,266,4.100,95.900
48,"Apr 03, 2020",4841,4.570,95.430,5454,140,230,297,4841,28,3,2,2,0,140,4.570,95.430
49,"Apr 04, 2020",4935,4.880,95.120,5550,96,167,274,4935,30,2,3,2,0,96,4.880,95.120
50,"Apr 05, 2020",4633,3.310,96.690,5750,200,146,226,4633,37,7,4,3,495,200,3.310,96.690
51,"Apr 06, 2020",3418,1.820,98.180,5895,145,147,205,3418,45,8,5,4,1352,145,1.820,98.180
52,"Apr 07, 2020",3392,1.890,98.110,5988,93,146,175,3392,49,4,7,4,115,93,1.890,98.110
53,"Apr 08, 2020",3189,1.750,98.250,6052,64,100,144,3189,50,1,4,4,266,64,1.750,98.250
54,"Apr 09, 2020",3114,1.680,98.320,6152,100,86,119,3114,51,1,2,3,174,100,1.680,98.320
55,"Apr 10, 2020",3043,1.690,98.310,6238,86,83,112,3043,54,3,2,4,154,86,1.690,98.310
56,"Apr 11, 2020",2982,1.690,98.310,6303,65,84,108,2982,56,2,2,4,124,65,1.690,98.310
57,"Apr 12, 2020",2916,1.740,98.260,6313,10,54,80,2916,59,3,2,3,73,10,1.740,98.260
58,"Apr 13, 2020",2804,1.720,98.280,6359,46,40,67,2804,61,2,3,2,156,46,1.720,98.280
59,"Apr 14, 2020",2741,1.670,98.330,6400,41,32,59,2741,61,0,1,2,104,41,1.670,98.330
60,"Apr 15, 2020",2698,1.680,98.320,6447,47,45,56,2698,63,2,2,2,88,47,1.680,98.320
61,"Apr 16, 2020",2658,1.650,98.350,6468,21,36,45,2658,63,0,0,2,61,21,1.650,98.350
62,"Apr 17, 2020",2647,1.670,98.330,6533,65,45,42,2647,65,2,2,1,74,65,1.670,98.330
63,"Apr 18, 2020",2349,1.650,98.350,6586,53,46,41,2349,70,5,2,2,346,53,1.650,98.350
64,"Apr 19, 2020",2311,1.650,98.350,6612,26,48,42,2311,71,1,3,2,63,26,1.650,98.350
