Days,Date,0_CurrentlyInfected,1_DeathRate,2_RecoveryRate,3_Cases,4_DailyCases,5_DailyCases- 3-daymovingaverage,6_DailyCases- 7-daymovingaverage,7_CurrentlyInfected,8_Deaths,9_DailyDeaths,10_DailyDeaths- 3-daymovingaverage,11_DailyDeaths- 7-daymovingaverage,12_NewRecoveries,13_NewCases,14_DeathRate,15_RecoveryRate
0,"Feb 15, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
1,"Feb 16, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
2,"Feb 17, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
3,"Feb 18, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
4,"Feb 19, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
5,"Feb 20, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
6,"Feb 21, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
7,"Feb 22, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
8,"Feb 23, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
9,"Feb 24, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
10,"Feb 25, 2020",2,0.000,0.000,2,0,0,0,2,0,0,0,0,0,0,0.000,0.000
11,"Feb 26, 2020",2,0.000,0.000,2,0,0,0,2,0,0,0,0,0,0,0.000,0.000
12,"Feb 27, 2020",5,0.000,0.000,5,3,2,0,5,0,0,0,0,0,3,0.000,0.000
13,"Feb 28, 2020",7,0.000,0.000,7,2,2,1,7,0,0,0,0,0,2,0.000,0.000
14,"Feb 29, 2020",10,0.000,0.000,10,3,2,2,10,0,0,0,0,0,3,0.000,0.000
15,"Mar 01, 2020",14,0.000,0.000,14,4,3,2,14,0,0,0,0,0,4,0.000,0.000
16,"Mar 02, 2020",18,0.000,0.000,18,4,4,2,18,0,0,0,0,0,4,0.000,0.000
17,"Mar 03, 2020",24,0.000,0.000,24,6,5,3,24,0,0,0,0,0,6,0.000,0.000
18,"Mar 04, 2020",29,0.000,0.000,29,5,5,4,29,0,0,0,0,0,5,0.000,0.000
19,"Mar 05, 2020",41,0.000,100.000,43,14,8,6,41,0,0,0,0,2,14,0.000,100.000
20,"Mar 06, 2020",64,0.000,100.000,66,23,14,8,64,0,0,0,0,0,23,0.000,100.000
21,"Mar 07, 2020",79,0.000,100.000,81,15,17,10,79,0,0,0,0,0,15,0.000,100.000
22,"Mar 08, 2020",102,0.000,100.000,104,23,21,13,102,0,0,0,0,0,23,0.000,100.000
23,"Mar 09, 2020",129,0.000,100.000,131,27,21,16,129,0,0,0,0,0,27,0.000,100.000
24,"Mar 10, 2020",178,0.000,100.000,182,51,34,23,178,0,0,0,0,2,51,0.000,100.000
25,"Mar 11, 2020",242,0.000,100.000,246,64,47,31,242,0,0,0,0,0,64,0.000,100.000
26,"Mar 12, 2020",356,20.000,80.000,361,115,77,45,356,1,1,0,0,0,115,20.000,80.000
27,"Mar 13, 2020",497,14.290,85.710,504,143,107,63,497,1,0,0,0,2,143,14.290,85.710
28,"Mar 14, 2020",648,14.290,85.710,655,151,137,82,648,1,0,0,0,0,151,14.290,85.710
29,"Mar 15, 2020",853,14.290,85.710,860,205,166,108,853,1,0,0,0,0,205,14.290,85.710
30,"Mar 16, 2020",1007,27.270,72.730,1018,158,171,127,1007,3,2,1,0,2,158,27.270,72.730
31,"Mar 17, 2020",1319,30.770,69.230,1332,314,226,164,1319,4,1,1,1,1,314,30.770,69.230
32,"Mar 18, 2020",1633,30.770,69.230,1646,314,262,200,1633,4,0,1,0,0,314,30.770,69.230
33,"Mar 19, 2020",2164,40.000,60.000,2179,533,387,260,2164,6,2,1,1,0,533,40.000,60.000
34,"Mar 20, 2020",2634,40.000,60.000,2649,470,439,306,2634,6,0,0,1,0,470,40.000,60.000
35,"Mar 21, 2020",2975,47.060,52.940,2992,343,449,334,2975,8,2,2,1,0,343,47.060,52.940
36,"Mar 22, 2020",3557,64.000,36.000,3582,590,467,389,3557,16,8,3,2,0,590,64.000,36.000
37,"Mar 23, 2020",4444,70.000,30.000,4474,892,609,493,4444,21,5,5,2,0,892,70.000,30.000
38,"Mar 24, 2020",5246,75.680,24.320,5283,809,763,565,5246,28,7,7,4,0,809,75.680,24.320
39,"Mar 25, 2020",5548,77.500,22.500,5588,305,669,563,5548,31,3,5,4,0,305,77.500,22.500
40,"Mar 26, 2020",6748,30.430,69.570,6909,1321,812,676,6748,49,18,9,6,103,1321,30.430,69.570
41,"Mar 27, 2020",7414,20.490,79.510,7697,788,804,721,7414,58,9,10,7,113,788,20.490,79.510
42,"Mar 28, 2020",7978,23.210,76.790,8271,574,895,754,7978,68,10,12,9,0,574,23.210,76.790
43,"Mar 29, 2020",8223,15.220,84.780,8788,517,626,744,8223,86,18,13,10,254,517,15.220,84.780
44,"Mar 30, 2020",8874,14.520,85.480,9618,830,640,735,8874,108,22,16,12,157,830,14.520,85.480
45,"Mar 31, 2020",8957,10.470,89.530,10180,562,637,699,8957,128,20,20,14,459,562,10.470,89.530
46,"Apr 01, 2020",9129,9.230,90.770,10711,531,641,732,9129,146,18,20,17,341,531,9.230,90.770
47,"Apr 02, 2020",9222,8.290,91.710,11129,418,503,603,9222,158,12,17,15,313,418,8.290,91.710
48,"Apr 03, 2020",9334,7.670,92.330,11524,395,448,547,9334,168,10,13,16,273,395,7.670,92.330
49,"Apr 04, 2020",9088,6.910,93.090,11781,257,357,501,9088,186,18,14,17,485,257,6.910,93.090
50,"Apr 05, 2020",8849,6.370,93.630,12051,270,307,466,8849,204,18,15,17,491,270,6.370,93.630
51,"Apr 06, 2020",8614,5.970,94.030,12297,246,258,383,8614,220,16,17,16,465,246,5.970,94.030
52,"Apr 07, 2020",8350,5.670,94.330,12639,342,286,351,8350,243,23,19,16,583,342,5.670,94.330
53,"Apr 08, 2020",8157,5.710,94.290,12942,303,297,319,8157,273,30,23,18,466,303,5.710,94.290
54,"Apr 09, 2020",7709,5.330,94.670,13244,302,316,302,7709,295,22,25,20,728,302,5.330,94.670
55,"Apr 10, 2020",7177,5.000,95.000,13560,316,307,291,7177,319,24,26,22,824,316,5.000,95.000
56,"Apr 11, 2020",6865,4.860,95.140,13806,246,288,289,6865,337,18,21,21,540,246,4.860,95.140
57,"Apr 12, 2020",6608,4.770,95.230,13945,139,233,271,6608,350,13,18,21,383,139,4.770,95.230
58,"Apr 13, 2020",6330,4.770,95.230,14041,96,161,249,6330,368,18,17,21,356,96,4.770,95.230
59,"Apr 14, 2020",6209,4.790,95.210,14226,185,140,227,6209,384,16,15,20,290,185,4.790,95.210
60,"Apr 15, 2020",5859,4.630,95.370,14350,124,135,201,5859,393,9,15,17,465,124,4.630,95.370
61,"Apr 16, 2020",5080,4.360,95.640,14476,126,145,176,5080,410,17,14,17,888,126,4.360,95.640
62,"Apr 17, 2020",4460,4.250,95.750,14595,119,123,148,4460,431,21,15,16,718,119,4.250,95.750
63,"Apr 18, 2020",4014,4.160,95.840,14671,76,107,123,4014,443,12,17,15,510,76,4.160,95.840
64,"Apr 19, 2020",3796,4.130,95.870,14749,78,91,115,3796,452,9,14,15,287,78,4.130,95.870
65,"Apr 20, 2020",3694,4.230,95.770,14795,46,66,108,3694,470,18,13,14,130,46,4.230,95.770
66,"Apr 21, 2020",3411,4.280,95.720,14873,78,68,92,3411,491,21,16,15,340,78,4.280,95.720
67,"Apr 22, 2020",3087,4.310,95.690,14925,52,58,82,3087,510,19,19,17,357,52,4.310,95.690
68,"Apr 23, 2020",2786,4.270,95.730,15002,77,69,75,2786,522,12,18,16,366,77,4.270,95.730
69,"Apr 24, 2020",2669,4.270,95.730,15071,69,66,68,2669,530,8,13,14,178,69,4.270,95.730
70,"Apr 25, 2020",2509,4.240,95.760,15148,77,75,69,2509,536,6,8,14,231,77,4.240,95.760
71,"Apr 26, 2020",2401,4.230,95.770,15225,77,74,68,2401,542,6,7,12,179,77,4.230,95.770
72,"Apr 27, 2020",2363,4.250,95.750,15274,49,68,68,2363,549,7,6,12,80,49,4.250,95.750
73,"Apr 28, 2020",2208,4.330,95.670,15357,83,69,69,2208,569,20,11,11,218,83,4.330,95.670
74,"Apr 29, 2020",2043,4.340,95.660,15402,45,59,68,2043,580,11,13,10,199,45,4.340,95.660
75,"Apr 30, 2020",1961,4.330,95.670,15452,50,60,65,1961,584,4,12,9,128,50,4.330,95.670
76,"May 01, 2020",1832,4.300,95.700,15531,79,58,65,1832,589,5,6,8,203,79,4.300,95.700
77,"May 02, 2020",1782,4.330,95.670,15558,27,52,59,1782,596,7,6,9,70,27,4.330,95.670
78,"May 03, 2020",1771,4.330,95.670,15597,39,48,53,1771,598,2,4,8,48,39,4.330,95.670
79,"May 04, 2020",1705,4.310,95.690,15621,24,30,50,1705,600,2,4,7,88,24,4.310,95.690
80,"May 05, 2020",1582,4.310,95.690,15650,29,31,41,1582,606,6,3,5,146,29,4.310,95.690
81,"May 06, 2020",1437,4.270,95.730,15684,34,29,41,1437,608,2,4,4,177,34,4.270,95.730
82,"May 07, 2020",1445,4.260,95.740,15752,68,43,43,1445,609,1,3,4,59,68,4.260,95.740
83,"May 08, 2020",1324,4.250,95.750,15774,22,42,34,1324,614,5,2,3,138,22,4.250,95.750
84,"May 09, 2020",1290,4.230,95.770,15833,59,49,40,1290,615,1,3,3,92,59,4.230,95.770
85,"May 10, 2020",1262,4.230,95.770,15871,38,40,39,1262,618,3,3,3,63,38,4.230,95.770
86,"May 11, 2020",1201,4.220,95.780,15882,11,36,37,1201,620,2,2,3,70,11,4.220,95.780
87,"May 12, 2020",1190,4.220,95.780,15961,79,43,44,1190,623,3,2,2,87,79,4.220,95.780
88,"May 13, 2020",1069,4.180,95.820,15997,36,42,45,1069,624,1,2,3,156,36,4.180,95.820
89,"May 14, 2020",1027,4.160,95.840,16058,61,58,44,1027,626,2,2,2,101,61,4.160,95.840
90,"May 15, 2020",1010,4.160,95.840,16109,51,50,48,1010,628,2,2,2,66,51,4.160,95.840
91,"May 16, 2020",1048,4.150,95.850,16201,92,68,52,1048,629,1,2,2,53,92,4.150,95.850
92,"May 17, 2020",1050,4.140,95.860,16242,41,61,53,1050,629,0,1,2,39,41,4.140,95.860
93,"May 18, 2020",1026,4.130,95.870,16269,27,53,56,1026,629,0,0,1,51,27,4.130,95.870
94,"May 19, 2020",1011,4.130,95.870,16321,52,40,51,1011,632,3,1,1,64,52,4.130,95.870
95,"May 20, 2020",838,4.080,95.920,16353,32,37,51,838,633,1,1,1,204,32,4.080,95.920
96,"May 21, 2020",820,4.060,95.940,16404,51,45,49,820,633,0,2,1,69,51,4.060,95.940
97,"May 22, 2020",796,4.060,95.940,16436,32,39,47,796,635,2,1,1,54,32,4.060,95.940
98,"May 23, 2020",810,4.080,95.920,16486,50,44,41,810,639,4,2,2,32,50,4.080,95.920
