Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",1,0,0,0,1,0,0,0,0
14,"Feb 29, 2020",3,2,0,0,3,0,0,0,0
15,"Mar 01, 2020",3,0,1,0,3,0,0,0,0
16,"Mar 02, 2020",3,0,1,0,3,0,0,0,0
17,"Mar 03, 2020",3,0,0,1,3,0,0,0,0
18,"Mar 04, 2020",3,0,0,0,3,0,0,0,0
19,"Mar 05, 2020",6,3,1,1,6,0,0,0,0
20,"Mar 06, 2020",9,3,2,1,9,0,0,0,0
21,"Mar 07, 2020",9,0,2,1,9,0,0,0,0
22,"Mar 08, 2020",9,0,1,1,9,0,0,0,0
23,"Mar 09, 2020",9,0,0,1,9,0,0,0,0
24,"Mar 10, 2020",11,2,1,1,11,0,0,0,0
25,"Mar 11, 2020",11,0,0,1,8,0,0,0,0
26,"Mar 12, 2020",15,4,2,1,11,1,1,0,0
27,"Mar 13, 2020",15,0,2,1,11,1,0,0,0
28,"Mar 14, 2020",19,4,2,2,12,1,0,0,0
29,"Mar 15, 2020",23,4,3,2,16,1,0,0,0
30,"Mar 16, 2020",25,2,3,2,18,1,0,0,0
31,"Mar 17, 2020",34,9,5,3,27,1,0,0,0
32,"Mar 18, 2020",34,0,4,4,26,1,0,0,0
33,"Mar 19, 2020",44,10,6,4,36,1,0,0,0
34,"Mar 20, 2020",44,0,4,4,36,1,0,0,0
35,"Mar 21, 2020",53,9,6,5,41,1,0,0,0
36,"Mar 22, 2020",65,12,7,6,53,1,0,0,0
37,"Mar 23, 2020",72,7,9,6,61,1,0,0,0
38,"Mar 24, 2020",87,15,12,8,76,1,0,0,0
39,"Mar 25, 2020",93,6,9,8,81,2,1,0,0
40,"Mar 26, 2020",122,29,17,12,104,3,1,1,0
41,"Mar 27, 2020",165,43,26,17,147,3,0,1,1
42,"Mar 28, 2020",182,17,29,18,163,4,1,0,0
43,"Mar 29, 2020",209,27,29,21,190,4,0,1,1
44,"Mar 30, 2020",273,64,36,29,243,4,0,0,0
45,"Mar 31, 2020",298,25,39,30,267,5,1,0,1
46,"Apr 01, 2020",359,61,50,38,328,5,0,1,0
47,"Apr 02, 2020",400,41,42,39,369,5,0,0,0
48,"Apr 03, 2020",443,43,49,40,406,5,0,0,1
49,"Apr 04, 2020",521,78,54,49,484,5,0,0,0
50,"Apr 05, 2020",584,63,61,53,545,7,2,1,0
51,"Apr 06, 2020",641,57,66,53,590,7,0,0,1
52,"Apr 07, 2020",717,76,65,60,665,8,1,1,0
53,"Apr 08, 2020",822,105,80,66,751,8,0,1,0
54,"Apr 09, 2020",926,104,95,75,816,9,1,0,1
55,"Apr 10, 2020",991,65,91,78,822,10,1,1,1
56,"Apr 11, 2020",1058,67,79,77,847,11,1,1,1
57,"Apr 12, 2020",1098,40,57,73,837,11,0,1,0
58,"Apr 13, 2020",1148,50,52,73,847,12,1,0,1
59,"Apr 14, 2020",1197,49,47,68,833,13,1,1,1
60,"Apr 15, 2020",1253,56,51,62,836,13,0,1,0
61,"Apr 16, 2020",1283,30,45,51,808,15,2,1,1
62,"Apr 17, 2020",1340,57,48,50,797,15,0,0,1
63,"Apr 18, 2020",1373,33,40,45,765,18,3,2,1
64,"Apr 19, 2020",1398,25,38,43,667,19,1,1,1
65,"Apr 20, 2020",1436,38,32,41,626,19,0,2,1
66,"Apr 21, 2020",1480,44,36,40,595,20,1,0,1
67,"Apr 22, 2020",1518,38,40,38,591,20,0,1,1
68,"Apr 23, 2020",1548,30,37,38,580,20,0,0,1
