Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",5,0,0,0,5,0,0,0,0
10,"Feb 25, 2020",23,18,7,3,23,0,0,0,0
11,"Feb 26, 2020",33,10,11,5,33,0,0,0,0
12,"Feb 27, 2020",33,0,10,4,33,0,0,0,0
13,"Feb 28, 2020",40,7,5,6,40,0,0,0,0
14,"Feb 29, 2020",42,2,3,6,42,0,0,0,0
15,"Mar 01, 2020",48,6,5,7,48,0,0,0,0
16,"Mar 02, 2020",49,1,3,6,49,0,0,0,0
17,"Mar 03, 2020",49,0,3,4,49,0,0,0,0
18,"Mar 04, 2020",54,5,2,3,53,0,0,0,0
19,"Mar 05, 2020",56,2,2,3,52,0,0,0,0
20,"Mar 06, 2020",62,6,4,3,58,0,0,0,0
21,"Mar 07, 2020",85,23,11,7,77,0,0,0,0
22,"Mar 08, 2020",87,2,10,5,71,0,0,0,0
23,"Mar 09, 2020",111,24,16,9,87,0,0,0,0
24,"Mar 10, 2020",190,79,35,20,158,0,0,0,0
25,"Mar 11, 2020",197,7,37,21,160,0,0,0,0
26,"Mar 12, 2020",206,9,32,21,160,0,0,0,0
27,"Mar 13, 2020",212,6,7,21,150,0,0,0,0
28,"Mar 14, 2020",214,2,6,19,152,0,0,0,0
29,"Mar 15, 2020",217,3,3,18,138,0,0,0,0
30,"Mar 16, 2020",235,18,8,18,151,1,1,0,0
31,"Mar 17, 2020",246,11,11,8,155,1,0,0,0
32,"Mar 18, 2020",264,18,15,10,161,1,0,0,0
33,"Mar 19, 2020",284,20,17,11,171,1,0,0,0
34,"Mar 20, 2020",300,16,18,12,172,1,0,0,0
35,"Mar 21, 2020",312,12,16,14,160,1,0,0,0
36,"Mar 22, 2020",338,26,18,18,174,2,1,0,0
37,"Mar 23, 2020",383,45,27,21,202,2,0,1,0
38,"Mar 24, 2020",408,25,32,23,213,3,1,0,1
39,"Mar 25, 2020",423,15,29,23,213,4,1,1,0
40,"Mar 26, 2020",460,37,25,25,227,4,0,1,0
41,"Mar 27, 2020",468,8,20,24,208,4,0,0,1
42,"Mar 28, 2020",500,32,26,27,225,4,0,0,0
43,"Mar 29, 2020",502,2,14,23,217,4,0,0,1
44,"Mar 30, 2020",528,26,20,21,227,4,0,0,0
45,"Mar 31, 2020",569,41,23,23,247,4,0,0,0
46,"Apr 01, 2020",577,8,25,22,230,4,0,0,0
47,"Apr 02, 2020",666,89,46,29,278,4,0,0,0
48,"Apr 03, 2020",676,10,36,30,271,4,0,0,0
49,"Apr 04, 2020",694,18,39,28,261,4,0,0,0
50,"Apr 05, 2020",704,10,12,29,247,4,0,0,0
51,"Apr 06, 2020",765,61,30,33,301,4,0,0,0
52,"Apr 07, 2020",813,48,40,35,338,5,1,0,0
53,"Apr 08, 2020",825,12,40,36,323,5,0,1,0
54,"Apr 09, 2020",903,78,46,34,366,5,0,0,0
55,"Apr 10, 2020",1000,97,62,46,441,6,1,0,1
56,"Apr 11, 2020",1053,53,76,51,488,6,0,1,0
57,"Apr 12, 2020",1312,259,137,87,725,6,0,0,0
58,"Apr 13, 2020",1387,75,129,89,779,6,0,0,1
59,"Apr 14, 2020",1555,168,167,106,889,7,1,0,0
60,"Apr 15, 2020",1688,133,125,123,1012,7,0,1,0
61,"Apr 16, 2020",1727,39,114,118,994,7,0,0,0
62,"Apr 17, 2020",1756,29,67,108,1020,7,0,0,1
63,"Apr 18, 2020",1794,38,35,106,1027,7,0,0,0
64,"Apr 19, 2020",1894,100,56,83,1116,7,0,0,0
65,"Apr 20, 2020",1914,20,52,75,1123,7,0,0,0
66,"Apr 21, 2020",1976,62,61,60,1180,7,0,0,0
67,"Apr 22, 2020",2043,67,50,51,997,7,0,0,0
68,"Apr 23, 2020",2327,284,137,86,1224,8,1,0,0
