Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",0,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",0,0,0,0,0,0,0,0,0
21,"Mar 07, 2020",0,0,0,0,0,0,0,0,0
22,"Mar 08, 2020",3,0,0,0,3,0,0,0,0
23,"Mar 09, 2020",3,0,1,0,3,0,0,0,0
24,"Mar 10, 2020",3,0,1,0,3,0,0,0,0
25,"Mar 11, 2020",3,0,0,1,3,0,0,0,0
26,"Mar 12, 2020",3,0,0,0,3,0,0,0,0
27,"Mar 13, 2020",3,0,0,1,2,0,0,0,0
28,"Mar 14, 2020",5,2,1,0,3,0,0,0,0
29,"Mar 15, 2020",5,0,0,1,3,0,0,0,0
30,"Mar 16, 2020",8,3,2,0,5,0,0,0,0
31,"Mar 17, 2020",10,2,2,1,7,0,0,0,0
32,"Mar 18, 2020",14,4,3,2,10,1,0,0,0
33,"Mar 19, 2020",18,4,3,2,14,1,0,0,0
34,"Mar 20, 2020",20,2,3,2,16,1,0,0,0
35,"Mar 21, 2020",24,4,4,3,19,2,1,0,0
36,"Mar 22, 2020",27,3,3,3,22,2,0,1,0
37,"Mar 23, 2020",33,6,4,4,25,3,1,0,0
38,"Mar 24, 2020",39,6,5,4,30,4,1,1,1
39,"Mar 25, 2020",39,0,4,4,27,5,1,1,1
40,"Mar 26, 2020",44,5,4,3,28,5,0,1,0
41,"Mar 27, 2020",48,4,3,4,32,5,0,0,1
42,"Mar 28, 2020",48,0,3,4,28,5,0,0,0
43,"Mar 29, 2020",48,0,1,3,28,5,0,0,1
44,"Mar 30, 2020",49,1,0,2,25,5,0,0,0
45,"Mar 31, 2020",51,2,1,2,21,5,0,0,0
46,"Apr 01, 2020",54,3,2,2,23,6,1,0,0
47,"Apr 02, 2020",56,2,3,2,25,6,0,1,0
48,"Apr 03, 2020",61,5,3,1,29,6,0,0,0
49,"Apr 04, 2020",70,9,5,4,32,8,2,1,1
50,"Apr 05, 2020",88,18,11,5,46,9,1,1,0
51,"Apr 06, 2020",123,35,21,11,78,12,3,2,1
52,"Apr 07, 2020",164,41,31,16,114,17,5,3,2
53,"Apr 08, 2020",218,54,43,23,165,20,3,3,2
54,"Apr 09, 2020",330,112,69,40,276,21,1,3,2
55,"Apr 10, 2020",424,94,87,51,364,27,6,4,3
56,"Apr 11, 2020",482,58,88,59,416,30,3,3,3
57,"Apr 12, 2020",621,139,97,76,548,34,4,4,4
58,"Apr 13, 2020",803,182,126,98,722,39,5,4,4
59,"Apr 14, 2020",1012,209,177,121,924,46,7,6,4
60,"Apr 15, 2020",1231,219,203,144,1132,50,4,5,4
61,"Apr 16, 2020",1572,341,257,178,1463,60,10,7,6
62,"Apr 17, 2020",1838,266,275,202,1705,75,15,10,7
63,"Apr 18, 2020",2144,306,304,237,1994,84,9,11,7
64,"Apr 19, 2020",2456,312,295,262,2290,91,7,10,9
65,"Apr 20, 2020",2948,492,370,307,2762,101,10,9,8
66,"Apr 21, 2020",3382,434,413,338,3185,110,9,9,10
67,"Apr 22, 2020",3772,390,438,363,3560,120,10,9,10
68,"Apr 23, 2020",4186,414,413,374,3951,127,7,9,9
