Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",1,0,0,0,1,0,0,0,0
14,"Feb 29, 2020",1,0,0,0,1,0,0,0,0
15,"Mar 01, 2020",1,0,0,0,1,0,0,0,0
16,"Mar 02, 2020",1,0,0,0,1,0,0,0,0
17,"Mar 03, 2020",4,3,1,0,4,0,0,0,0
18,"Mar 04, 2020",6,2,2,1,6,0,0,0,0
19,"Mar 05, 2020",6,0,1,1,6,0,0,0,0
20,"Mar 06, 2020",6,0,1,1,6,0,0,0,0
21,"Mar 07, 2020",6,0,0,0,6,0,0,0,0
22,"Mar 08, 2020",6,0,0,1,6,0,0,0,0
23,"Mar 09, 2020",6,0,0,1,6,0,0,0,0
24,"Mar 10, 2020",9,3,1,0,6,0,0,0,0
25,"Mar 11, 2020",9,0,1,1,6,0,0,0,0
26,"Mar 12, 2020",21,12,5,2,18,0,0,0,0
27,"Mar 13, 2020",27,6,6,3,24,0,0,0,0
28,"Mar 14, 2020",27,0,6,3,24,0,0,0,0
29,"Mar 15, 2020",27,0,2,3,24,0,0,0,0
30,"Mar 16, 2020",36,9,3,4,33,0,0,0,0
31,"Mar 17, 2020",36,0,3,4,33,0,0,0,0
32,"Mar 18, 2020",51,15,8,6,46,0,0,0,0
33,"Mar 19, 2020",51,0,5,4,46,0,0,0,0
34,"Mar 20, 2020",69,18,11,6,54,0,0,0,0
35,"Mar 21, 2020",76,7,8,7,61,0,0,0,0
36,"Mar 22, 2020",76,0,9,7,61,0,0,0,0
37,"Mar 23, 2020",81,5,4,7,59,0,0,0,0
38,"Mar 24, 2020",81,0,1,6,59,0,0,0,0
39,"Mar 25, 2020",86,5,4,5,57,0,0,0,0
40,"Mar 26, 2020",86,0,1,5,57,0,0,0,0
41,"Mar 27, 2020",94,8,5,4,62,0,0,0,0
42,"Mar 28, 2020",94,0,2,2,62,0,0,0,0
43,"Mar 29, 2020",94,0,3,3,62,0,0,0,0
44,"Mar 30, 2020",152,58,19,10,120,0,0,0,0
45,"Mar 31, 2020",152,0,20,10,104,1,1,0,0
46,"Apr 01, 2020",163,11,23,11,108,2,1,0,0
47,"Apr 02, 2020",304,141,50,31,247,4,2,1,0
48,"Apr 03, 2020",351,47,67,37,294,4,0,1,1
49,"Apr 04, 2020",440,89,92,50,382,5,1,1,0
50,"Apr 05, 2020",562,122,86,66,502,8,3,2,1
51,"Apr 06, 2020",700,138,116,79,634,13,5,3,2
52,"Apr 07, 2020",861,161,141,101,794,13,0,2,2
53,"Apr 08, 2020",1066,205,168,129,976,13,0,2,2
54,"Apr 09, 2020",1486,420,262,169,1331,16,3,1,1
55,"Apr 10, 2020",1981,495,373,233,1793,19,3,2,2
56,"Apr 11, 2020",2226,245,387,255,2031,23,4,3,3
57,"Apr 12, 2020",2578,352,364,288,2349,26,3,4,3
58,"Apr 13, 2020",2919,341,312,317,2687,29,3,3,2
59,"Apr 14, 2020",3281,362,352,346,3045,33,4,3,3
60,"Apr 15, 2020",3728,447,383,380,3489,36,3,4,3
61,"Apr 16, 2020",4204,476,429,388,3961,40,4,3,3
62,"Apr 17, 2020",4779,575,499,400,4395,42,2,3,4
63,"Apr 18, 2020",4779,0,350,365,4392,45,3,3,3
64,"Apr 19, 2020",4779,0,192,314,4238,47,2,3,3
65,"Apr 20, 2020",6264,1485,495,478,5699,51,4,3,3
66,"Apr 21, 2020",6723,459,648,492,6091,55,4,3,3
67,"Apr 22, 2020",7281,558,834,507,6454,58,3,4,3
68,"Apr 23, 2020",8022,741,586,546,7024,60,2,3,3
