Days,Date,0_CurrentlyInfected,1_DeathRate,2_RecoveryRate,3_Cases,4_DailyCases,5_DailyCases- 3-daymovingaverage,6_DailyCases- 7-daymovingaverage,7_CurrentlyInfected,8_Deaths,9_DailyDeaths,10_DailyDeaths- 3-daymovingaverage,11_DailyDeaths- 7-daymovingaverage,12_NewRecoveries,13_NewCases,14_DeathRate,15_RecoveryRate
0,"Feb 15, 2020",0,0.000,100.000,1,0,0,0,0,0,0,0,0,0,0,0.000,100.000
1,"Feb 16, 2020",0,0.000,100.000,1,0,0,0,0,0,0,0,0,0,0,0.000,100.000
2,"Feb 17, 2020",0,0.000,100.000,1,0,0,0,0,0,0,0,0,0,0,0.000,100.000
3,"Feb 18, 2020",0,0.000,100.000,1,0,0,0,0,0,0,0,0,0,0,0.000,100.000
4,"Feb 19, 2020",0,0.000,100.000,1,0,0,0,0,0,0,0,0,0,0,0.000,100.000
5,"Feb 20, 2020",0,0.000,100.000,1,0,0,0,0,0,0,0,0,0,0,0.000,100.000
6,"Feb 21, 2020",0,0.000,100.000,1,0,0,0,0,0,0,0,0,0,0,0.000,100.000
7,"Feb 22, 2020",0,0.000,100.000,1,0,0,0,0,0,0,0,0,0,0,0.000,100.000
8,"Feb 23, 2020",0,0.000,100.000,1,0,0,0,0,0,0,0,0,0,0,0.000,100.000
9,"Feb 24, 2020",0,0.000,100.000,1,0,0,0,0,0,0,0,0,0,0,0.000,100.000
10,"Feb 25, 2020",0,0.000,100.000,1,0,0,0,0,0,0,0,0,0,0,0.000,100.000
11,"Feb 26, 2020",0,0.000,100.000,1,0,0,0,0,0,0,0,0,0,0,0.000,100.000
12,"Feb 27, 2020",0,0.000,100.000,1,0,0,0,0,0,0,0,0,0,0,0.000,100.000
13,"Feb 28, 2020",0,0.000,100.000,1,0,0,0,0,0,0,0,0,0,0,0.000,100.000
14,"Feb 29, 2020",0,0.000,100.000,1,0,0,0,0,0,0,0,0,0,0,0.000,100.000
15,"Mar 01, 2020",1,0.000,100.000,2,1,0,0,1,0,0,0,0,0,1,0.000,100.000
16,"Mar 02, 2020",7,0.000,100.000,8,6,3,1,7,0,0,0,0,0,6,0.000,100.000
17,"Mar 03, 2020",14,0.000,100.000,15,7,4,2,14,0,0,0,0,0,7,0.000,100.000
18,"Mar 04, 2020",22,0.000,100.000,23,8,7,3,22,0,0,0,0,0,8,0.000,100.000
19,"Mar 05, 2020",49,0.000,100.000,50,27,14,7,49,0,0,0,0,0,27,0.000,100.000
20,"Mar 06, 2020",108,0.000,100.000,109,59,32,16,108,0,0,0,0,0,59,0.000,100.000
21,"Mar 07, 2020",168,0.000,100.000,169,60,48,24,168,0,0,0,0,0,60,0.000,100.000
22,"Mar 08, 2020",199,0.000,100.000,200,31,50,28,199,0,0,0,0,0,31,0.000,100.000
23,"Mar 09, 2020",238,0.000,100.000,239,39,44,33,238,0,0,0,0,0,39,0.000,100.000
24,"Mar 10, 2020",266,0.000,100.000,267,28,32,36,266,0,0,0,0,0,28,0.000,100.000
25,"Mar 11, 2020",312,50.000,50.000,314,47,38,42,312,1,1,0,0,0,47,50.000,50.000
26,"Mar 12, 2020",394,80.000,20.000,399,85,54,49,394,4,3,0,0,0,85,80.000,20.000
27,"Mar 13, 2020",553,83.330,16.670,559,160,97,65,553,5,1,1,0,0,160,83.330,16.670
28,"Mar 14, 2020",680,88.890,11.110,689,130,125,74,680,8,3,3,2,0,130,88.890,11.110
29,"Mar 15, 2020",872,92.860,7.140,886,197,162,98,872,13,5,3,1,0,197,92.860,7.140
30,"Mar 16, 2020",1038,95.000,5.000,1058,172,167,117,1038,19,6,4,3,0,172,95.000,5.000
31,"Mar 17, 2020",1199,68.180,31.820,1243,185,184,139,1199,30,11,8,4,13,185,68.180,31.820
32,"Mar 18, 2020",1415,56.340,43.660,1486,243,200,168,1415,40,10,9,6,17,243,56.340,43.660
33,"Mar 19, 2020",1568,27.310,72.690,1795,309,246,199,1568,62,22,14,8,134,309,27.310,72.690
34,"Mar 20, 2020",1958,31.770,68.230,2257,462,338,243,1958,95,33,22,13,39,462,31.770,68.230
35,"Mar 21, 2020",2421,33.250,66.750,2815,558,443,304,2421,131,36,30,18,59,558,33.250,66.750
36,"Mar 22, 2020",2967,39.400,60.600,3401,586,535,359,2967,171,40,36,22,0,586,39.400,60.600
37,"Mar 23, 2020",3124,35.220,64.780,3743,342,496,383,3124,218,47,41,29,138,342,35.220,64.780
