Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",0,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",0,0,0,0,0,0,0,0,0
21,"Mar 07, 2020",0,0,0,0,0,0,0,0,0
22,"Mar 08, 2020",0,0,0,0,0,0,0,0,0
23,"Mar 09, 2020",0,0,0,0,0,0,0,0,0
24,"Mar 10, 2020",2,0,0,0,2,0,0,0,0
25,"Mar 11, 2020",2,0,0,0,2,0,0,0,0
26,"Mar 12, 2020",3,1,1,0,3,0,0,0,0
27,"Mar 13, 2020",10,7,3,1,10,0,0,0,0
28,"Mar 14, 2020",10,0,3,2,10,0,0,0,0
29,"Mar 15, 2020",10,0,2,1,10,0,0,0,0
30,"Mar 16, 2020",11,1,0,2,11,0,0,0,0
31,"Mar 17, 2020",12,1,1,1,12,0,0,0,0
32,"Mar 18, 2020",12,0,1,2,12,0,0,0,0
33,"Mar 19, 2020",15,3,1,1,15,0,0,0,0
34,"Mar 20, 2020",16,1,1,1,16,0,0,0,0
35,"Mar 21, 2020",19,3,3,2,19,0,0,0,0
36,"Mar 22, 2020",24,5,3,2,24,0,0,0,0
37,"Mar 23, 2020",27,3,3,2,27,0,0,0,0
38,"Mar 24, 2020",29,2,4,2,29,0,0,0,0
39,"Mar 25, 2020",32,3,2,3,32,0,0,0,0
40,"Mar 26, 2020",61,29,12,7,61,0,0,0,0
41,"Mar 27, 2020",61,0,10,6,61,0,0,0,0
42,"Mar 28, 2020",74,13,14,8,74,0,0,0,0
43,"Mar 29, 2020",81,7,7,8,80,1,0,0,0
44,"Mar 30, 2020",97,16,12,10,92,5,4,0,0
45,"Mar 31, 2020",107,10,11,11,99,8,3,3,1
46,"Apr 01, 2020",115,8,11,12,105,9,1,2,1
47,"Apr 02, 2020",123,8,9,9,112,10,1,2,2
48,"Apr 03, 2020",132,9,8,10,120,11,1,1,1
49,"Apr 04, 2020",139,7,8,9,126,12,1,1,2
50,"Apr 05, 2020",157,18,12,11,143,12,0,1,2
51,"Apr 06, 2020",183,26,17,13,168,13,1,0,1
52,"Apr 07, 2020",194,11,18,12,175,17,4,2,1
53,"Apr 08, 2020",210,16,18,14,190,18,1,2,1
54,"Apr 09, 2020",264,54,27,20,240,22,4,3,2
55,"Apr 10, 2020",268,4,24,19,243,23,1,2,2
56,"Apr 11, 2020",275,7,22,20,249,24,1,2,1
57,"Apr 12, 2020",300,25,12,20,269,29,5,2,3
58,"Apr 13, 2020",330,30,21,21,295,33,4,4,3
59,"Apr 14, 2020",354,24,26,23,314,34,1,3,2
60,"Apr 15, 2020",397,43,32,27,356,34,0,2,2
61,"Apr 16, 2020",441,44,37,25,392,35,1,0,2
62,"Apr 17, 2020",465,24,37,28,401,38,3,2,2
63,"Apr 18, 2020",493,28,32,31,424,38,0,1,2
64,"Apr 19, 2020",520,27,27,32,450,39,1,1,2
65,"Apr 20, 2020",564,44,33,33,493,40,1,1,1
66,"Apr 21, 2020",598,34,35,35,520,41,1,1,1
67,"Apr 22, 2020",609,11,29,30,520,45,4,2,1
68,"Apr 23, 2020",672,63,36,33,579,49,4,3,2
69,"Apr 24, 2020",703,31,35,34,606,53,4,4,3
