Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",2,0,0,0,2,0,0,0,0
20,"Mar 06, 2020",3,1,1,0,3,0,0,0,0
21,"Mar 07, 2020",3,0,1,0,3,0,0,0,0
22,"Mar 08, 2020",3,0,0,1,3,0,0,0,0
23,"Mar 09, 2020",5,2,1,0,5,0,0,0,0
24,"Mar 10, 2020",7,2,1,1,7,0,0,0,0
25,"Mar 11, 2020",7,0,1,1,7,0,0,0,0
26,"Mar 12, 2020",11,4,2,2,11,0,0,0,0
27,"Mar 13, 2020",18,7,4,2,18,0,0,0,0
28,"Mar 14, 2020",21,3,5,2,21,0,0,0,0
29,"Mar 15, 2020",24,3,4,3,24,0,0,0,0
30,"Mar 16, 2020",25,1,2,3,23,0,0,0,0
31,"Mar 17, 2020",34,9,5,4,32,0,0,0,0
32,"Mar 18, 2020",39,5,5,5,37,0,0,0,0
33,"Mar 19, 2020",64,25,13,7,62,0,0,0,0
34,"Mar 20, 2020",89,25,18,10,87,0,0,0,0
35,"Mar 21, 2020",93,4,18,11,90,1,0,0,0
36,"Mar 22, 2020",126,33,21,14,123,1,0,0,0
37,"Mar 23, 2020",136,10,15,16,133,1,0,0,0
38,"Mar 24, 2020",168,32,25,19,163,3,2,1,0
39,"Mar 25, 2020",176,8,17,20,171,3,0,0,0
40,"Mar 26, 2020",191,15,18,18,186,3,0,1,1
41,"Mar 27, 2020",237,46,23,21,228,4,1,0,0
42,"Mar 28, 2020",278,41,34,26,264,6,2,1,1
43,"Mar 29, 2020",323,45,44,29,309,6,0,1,1
44,"Mar 30, 2020",368,45,44,33,341,10,4,2,1
45,"Mar 31, 2020",420,52,47,36,390,13,3,3,1
46,"Apr 01, 2020",459,39,46,40,427,13,0,2,2
47,"Apr 02, 2020",533,74,55,49,497,16,3,2,2
48,"Apr 03, 2020",579,46,53,49,535,17,1,1,2
49,"Apr 04, 2020",624,45,55,49,573,21,4,3,2
50,"Apr 05, 2020",654,30,40,48,601,23,2,2,2
51,"Apr 06, 2020",674,20,32,43,598,29,6,4,3
52,"Apr 07, 2020",764,90,46,49,663,33,4,4,3
53,"Apr 08, 2020",804,40,50,50,691,34,1,4,3
54,"Apr 09, 2020",858,54,62,46,722,35,1,2,2
55,"Apr 10, 2020",901,43,45,46,736,36,1,1,3
56,"Apr 11, 2020",946,45,48,46,770,37,1,1,2
57,"Apr 12, 2020",1009,63,50,51,777,39,2,1,3
58,"Apr 13, 2020",1037,28,45,52,792,39,0,1,1
59,"Apr 14, 2020",1083,46,46,45,807,40,1,1,1
60,"Apr 15, 2020",1110,27,34,44,816,41,1,1,1
61,"Apr 16, 2020",1167,57,43,44,847,43,2,1,1
62,"Apr 17, 2020",1214,47,44,45,848,46,3,2,2
63,"Apr 18, 2020",1268,54,52,46,883,47,1,2,1
64,"Apr 19, 2020",1285,17,40,39,890,48,1,2,1
65,"Apr 20, 2020",1309,24,31,39,879,49,1,1,2
66,"Apr 21, 2020",1342,33,25,37,854,51,2,1,1
67,"Apr 22, 2020",1368,26,28,37,855,53,2,2,2
68,"Apr 23, 2020",1413,45,34,35,874,54,1,2,2
