Days,Date,0_CurrentlyInfected,1_DeathRate,2_RecoveryRate,3_Cases,4_DailyCases,5_DailyCases- 3-daymovingaverage,6_DailyCases- 7-daymovingaverage,7_CurrentlyInfected,8_Deaths,9_DailyDeaths,10_DailyDeaths- 3-daymovingaverage,11_DailyDeaths- 7-daymovingaverage,12_NewRecoveries,13_NewCases,14_DeathRate,15_RecoveryRate
0,"Feb 15, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
1,"Feb 16, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
2,"Feb 17, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
3,"Feb 18, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
4,"Feb 19, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
5,"Feb 20, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
6,"Feb 21, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
7,"Feb 22, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
8,"Feb 23, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
9,"Feb 24, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
10,"Feb 25, 2020",1,0.000,0.000,1,0,0,0,1,0,0,0,0,0,0,0.000,0.000
11,"Feb 26, 2020",1,0.000,0.000,1,0,0,0,1,0,0,0,0,0,0,0.000,0.000
12,"Feb 27, 2020",1,0.000,0.000,1,0,0,0,1,0,0,0,0,0,0,0.000,0.000
13,"Feb 28, 2020",1,0.000,0.000,1,0,0,0,1,0,0,0,0,0,0,0.000,0.000
14,"Feb 29, 2020",2,0.000,0.000,2,1,0,0,2,0,0,0,0,0,1,0.000,0.000
15,"Mar 01, 2020",2,0.000,0.000,2,0,1,0,2,0,0,0,0,0,0,0.000,0.000
16,"Mar 02, 2020",2,0.000,0.000,2,0,0,0,2,0,0,0,0,0,0,0.000,0.000
17,"Mar 03, 2020",2,0.000,0.000,2,0,0,1,2,0,0,0,0,0,0,0.000,0.000
18,"Mar 04, 2020",3,0.000,0.000,3,1,0,0,3,0,0,0,0,0,1,0.000,0.000
19,"Mar 05, 2020",8,0.000,0.000,8,5,2,1,8,0,0,0,0,0,5,0.000,0.000
20,"Mar 06, 2020",13,0.000,0.000,13,5,4,2,13,0,0,0,0,0,5,0.000,0.000
21,"Mar 07, 2020",19,0.000,0.000,19,6,5,2,19,0,0,0,0,0,6,0.000,0.000
22,"Mar 08, 2020",25,0.000,0.000,25,6,6,3,25,0,0,0,0,0,6,0.000,0.000
23,"Mar 09, 2020",25,0.000,0.000,25,0,4,4,25,0,0,0,0,0,0,0.000,0.000
24,"Mar 10, 2020",34,0.000,0.000,34,9,5,4,34,0,0,0,0,0,9,0.000,0.000
25,"Mar 11, 2020",52,0.000,0.000,52,18,9,7,52,0,0,0,0,0,18,0.000,0.000
26,"Mar 12, 2020",77,0.000,0.000,77,25,17,10,77,0,0,0,0,0,25,0.000,0.000
27,"Mar 13, 2020",150,0.000,100.000,151,74,39,20,150,0,0,0,0,1,74,0.000,100.000
28,"Mar 14, 2020",150,0.000,100.000,151,0,33,19,150,0,0,0,0,0,0,0.000,100.000
29,"Mar 15, 2020",198,0.000,100.000,200,49,41,25,198,0,0,0,0,1,49,0.000,100.000
30,"Mar 16, 2020",232,0.000,100.000,234,34,28,29,232,0,0,0,0,0,34,0.000,100.000
31,"Mar 17, 2020",343,33.330,66.670,346,112,65,45,343,1,1,0,0,0,112,33.330,66.670
32,"Mar 18, 2020",523,66.670,33.330,529,183,110,68,523,4,3,0,0,0,183,66.670,33.330
33,"Mar 19, 2020",631,77.780,22.220,640,111,135,81,631,7,3,2,1,0,111,77.780,22.220
34,"Mar 20, 2020",957,84.620,15.380,970,330,208,117,957,11,4,3,1,0,330,84.620,15.380
35,"Mar 21, 2020",1158,90.000,10.000,1178,208,216,146,1158,18,7,5,3,0,208,90.000,10.000
36,"Mar 22, 2020",1519,92.590,7.410,1546,368,302,193,1519,25,7,6,3,0,368,92.590,7.410
37,"Mar 23, 2020",1888,94.440,5.560,1924,378,318,241,1888,34,9,8,5,0,378,94.440,5.560
38,"Mar 24, 2020",2199,95.830,4.170,2247,323,357,272,2199,46,12,9,7,0,323,95.830,4.170
39,"Mar 25, 2020",2493,96.720,3.280,2554,307,336,289,2493,59,13,11,8,0,307,96.720,3.280
40,"Mar 26, 2020",2902,92.770,7.230,2985,431,353,335,2902,77,18,15,10,4,431,92.770,7.230
41,"Mar 27, 2020",3319,93.880,6.120,3417,432,390,349,3319,92,15,15,11,0,432,93.880,6.120
42,"Mar 28, 2020",3784,95.000,5.000,3904,487,450,390,3784,114,22,18,14,0,487,95.000,5.000
43,"Mar 29, 2020",4114,95.770,4.230,4256,352,424,387,4114,136,22,20,16,0,352,95.770,4.230
44,"Mar 30, 2020",4347,57.600,42.400,4630,374,404,387,4347,163,27,24,18,114,374,57.600,42.400
45,"Mar 31, 2020",5389,61.280,38.720,5717,1087,605,495,5389,201,38,29,22,7,1087,61.280,38.720
46,"Apr 01, 2020",6511,65.580,34.420,6880,1163,874,618,6511,242,41,35,26,0,1163,65.580,34.420
47,"Apr 02, 2020",7593,71.840,28.160,8044,1164,1138,723,7593,324,82,54,36,0,1164,71.840,28.160
48,"Apr 03, 2020",8704,74.080,25.920,9194,1150,1159,825,8704,363,39,54,38,0,1150,74.080,25.920
49,"Apr 04, 2020",9788,77.800,22.200,10360,1166,1160,923,9788,445,82,67,48,0,1166,77.800,22.200
50,"Apr 05, 2020",10641,79.280,20.720,11254,894,1070,999,10641,486,41,54,50,0,894,79.280,20.720
51,"Apr 06, 2020",11492,81.620,18.380,12183,929,997,1079,11492,564,78,67,57,0,929,81.620,18.380
52,"Apr 07, 2020",13221,84.380,15.620,14034,1851,1224,1188,13221,686,122,81,69,0,1851,84.380,15.620
53,"Apr 08, 2020",15241,86.590,13.410,16188,2154,1645,1330,15241,820,134,111,83,0,2154,86.590,13.410
54,"Apr 09, 2020",17018,84.650,15.350,18145,1957,1987,1443,17018,954,134,130,90,46,1957,84.650,15.350
55,"Apr 10, 2020",18548,86.060,13.940,19789,1644,1919,1514,18548,1068,114,127,101,0,1644,86.060,13.940
56,"Apr 11, 2020",19649,86.820,13.180,20962,1173,1591,1514,19649,1140,72,107,99,0,1173,86.820,13.180
57,"Apr 12, 2020",20796,87.610,12.390,22192,1230,1349,1563,20796,1223,83,90,105,0,1230,87.610,12.390
58,"Apr 13, 2020",21929,88.470,11.530,23430,1238,1214,1607,21929,1328,105,86,109,0,1238,88.470,11.530
59,"Apr 14, 2020",9704,9.850,90.150,25262,1832,1433,1604,9704,1532,204,131,121,13853,1832,9.850,90.150
60,"Apr 15, 2020",12827,11.130,88.870,28610,3348,2139,1774,12827,1757,225,178,134,0,3348,11.130,88.870
61,"Apr 16, 2020",14710,12.190,87.810,30683,2073,2418,1791,14710,1947,190,206,142,0,2073,12.190,87.810
62,"Apr 17, 2020",17515,13.240,86.760,33682,2999,2807,1985,17515,2141,194,203,153,0,2999,13.240,86.760
63,"Apr 18, 2020",20335,14.410,85.590,36722,3040,2704,2251,20335,2361,220,202,175,0,3040,14.410,85.590
64,"Apr 19, 2020",14062,10.010,89.990,38654,1932,2657,2352,14062,2462,101,171,177,8104,1932,10.010,89.990
65,"Apr 20, 2020",16026,10.470,89.530,40743,2089,2353,2473,16026,2587,125,149,179,0,2089,10.470,89.530
66,"Apr 21, 2020",16013,10.130,89.870,43079,2336,2119,2546,16013,2741,154,127,173,2195,2336,10.130,89.870
67,"Apr 22, 2020",17533,10.300,89.700,45757,2678,2368,2449,17533,2906,165,148,164,993,2678,10.300,89.700
68,"Apr 23, 2020",19606,11.090,88.910,49492,3735,2916,2687,19606,3313,407,242,195,1255,3735,11.090,88.910
69,"Apr 24, 2020",21670,11.720,88.280,52995,3503,3306,2759,21670,3670,357,309,219,1082,3503,11.720,88.280
70,"Apr 25, 2020",25991,12.180,87.820,59196,6201,4479,3211,25991,4045,375,380,240,1505,6201,12.180,87.820
71,"Apr 26, 2020",28436,12.410,87.590,62859,3663,4456,3458,28436,4271,226,319,259,992,3663,12.410,87.590
72,"Apr 27, 2020",30816,12.730,87.270,66501,3642,4502,3679,30816,4543,272,291,279,990,3642,12.730,87.270
73,"Apr 28, 2020",35292,13.460,86.540,72899,6398,4568,4260,35292,5063,520,340,332,1402,6398,13.460,86.540
74,"Apr 29, 2020",39718,13.900,86.100,79361,6462,5500,4801,39718,5511,448,413,372,1588,6462,13.900,86.100
75,"Apr 30, 2020",43544,14.110,85.890,85380,6019,6293,5127,43544,5901,390,453,370,1803,6019,14.110,85.890
76,"May 01, 2020",47660,14.420,85.580,92109,6729,6404,5588,47660,6410,509,449,391,2104,6729,14.420,85.580
77,"May 02, 2020",48872,14.150,85.850,96559,4450,5732,5337,48872,6750,340,413,387,2898,4450,14.150,85.850
78,"May 03, 2020",51131,14.050,85.950,101147,4588,5256,5470,51131,7025,275,374,393,2054,4588,14.050,85.950
79,"May 04, 2020",55108,13.810,86.190,108266,7119,5386,5966,55108,7343,318,311,400,2824,7119,13.810,86.190
80,"May 05, 2020",58573,14.110,85.890,114715,6449,6052,5974,58573,7921,578,391,408,2406,6449,14.110,85.890
81,"May 06, 2020",66653,14.320,85.680,126611,11896,8488,6750,66653,8588,667,521,440,3149,11896,14.320,85.680
82,"May 07, 2020",71155,14.240,85.760,135693,9082,9142,7188,71155,9188,600,615,470,3980,9082,14.240,85.760
83,"May 08, 2020",76603,14.420,85.580,145892,10199,10392,7683,76603,9992,804,690,511,3947,10199,14.420,85.580
84,"May 09, 2020",83720,14.730,85.270,156061,10169,9817,8500,83720,10656,664,689,558,2388,10169,14.730,85.270
85,"May 10, 2020",86619,14.620,85.380,162699,6638,9002,8793,86619,11123,467,645,586,3272,6638,14.620,85.380
86,"May 11, 2020",90134,14.710,85.290,169143,6444,7750,8697,90134,11625,502,545,611,2427,6444,14.710,85.290
87,"May 12, 2020",92601,14.590,85.410,177602,8459,7181,8984,92601,12404,779,582,641,5213,8459,14.590,85.410
88,"May 13, 2020",97575,14.370,85.630,189157,11555,8819,8935,97575,13158,754,679,653,5827,11555,14.370,85.630
89,"May 14, 2020",109446,14.970,85.030,202918,13761,11258,9604,109446,13993,835,789,686,1055,13761,14.970,85.030
90,"May 15, 2020",118436,14.850,85.150,218223,15305,13541,10333,118436,14817,824,804,689,5491,15305,14.850,85.150
91,"May 16, 2020",127837,14.850,85.150,233142,14919,14661,11011,127837,15633,816,825,711,4702,14919,14.850,85.150
92,"May 17, 2020",130840,14.620,85.380,241080,7938,12721,11197,130840,16118,485,709,714,4450,7938,14.620,85.380
93,"May 18, 2020",138056,14.370,85.630,255368,14288,12382,12318,138056,16853,735,678,747,6337,14288,14.370,85.630
