Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",0,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",0,0,0,0,0,0,0,0,0
21,"Mar 07, 2020",0,0,0,0,0,0,0,0,0
22,"Mar 08, 2020",0,0,0,0,0,0,0,0,0
23,"Mar 09, 2020",1,0,0,0,1,0,0,0,0
24,"Mar 10, 2020",6,5,0,0,6,0,0,0,0
25,"Mar 11, 2020",11,5,4,2,11,0,0,0,0
26,"Mar 12, 2020",25,14,8,3,25,0,0,0,0
27,"Mar 13, 2020",37,12,10,5,37,0,0,0,0
28,"Mar 14, 2020",40,3,10,6,40,0,0,0,0
29,"Mar 15, 2020",50,10,8,7,50,0,0,0,0
30,"Mar 16, 2020",54,4,6,8,54,0,0,0,0
31,"Mar 17, 2020",56,2,5,7,56,0,0,0,0
32,"Mar 18, 2020",68,12,6,8,68,0,0,0,0
33,"Mar 19, 2020",73,5,7,7,73,0,0,0,0
34,"Mar 20, 2020",78,5,7,6,77,0,0,0,0
35,"Mar 21, 2020",83,5,5,6,82,0,0,0,0
36,"Mar 22, 2020",88,5,5,5,86,0,0,0,0
37,"Mar 23, 2020",91,3,4,6,89,0,0,0,0
38,"Mar 24, 2020",104,13,7,7,102,0,0,0,0
39,"Mar 25, 2020",109,5,7,5,107,0,0,0,0
40,"Mar 26, 2020",114,5,8,6,109,0,0,0,0
41,"Mar 27, 2020",115,1,4,6,104,0,0,0,0
42,"Mar 28, 2020",120,5,3,5,94,1,0,0,0
43,"Mar 29, 2020",126,6,4,5,91,1,0,0,0
44,"Mar 30, 2020",127,1,4,5,88,1,0,0,0
45,"Mar 31, 2020",129,2,3,4,83,1,0,0,0
46,"Apr 01, 2020",131,2,2,3,78,1,0,0,0
47,"Apr 02, 2020",133,2,2,3,76,1,0,0,0
48,"Apr 03, 2020",134,1,2,3,68,1,0,0,0
49,"Apr 04, 2020",135,1,1,2,68,1,0,0,0
50,"Apr 05, 2020",135,0,1,1,61,1,0,0,0
51,"Apr 06, 2020",135,0,0,1,52,1,0,0,0
52,"Apr 07, 2020",135,0,0,1,49,1,0,0,0
53,"Apr 08, 2020",135,0,0,1,43,1,0,0,0
54,"Apr 09, 2020",135,0,0,0,42,1,0,0,0
55,"Apr 10, 2020",136,1,0,0,36,1,0,0,0
56,"Apr 11, 2020",136,0,1,0,31,1,0,0,0
57,"Apr 12, 2020",136,0,0,0,29,1,0,0,0
58,"Apr 13, 2020",136,0,0,1,28,1,0,0,0
59,"Apr 14, 2020",136,0,0,0,28,1,0,0,0
60,"Apr 15, 2020",136,0,0,0,27,1,0,0,0
61,"Apr 16, 2020",136,0,0,0,27,1,0,0,0
62,"Apr 17, 2020",136,0,0,0,23,1,0,0,0
63,"Apr 18, 2020",137,1,0,0,23,1,0,0,0
64,"Apr 19, 2020",138,1,1,0,22,1,0,0,0
65,"Apr 20, 2020",138,0,1,1,21,1,0,0,0
66,"Apr 21, 2020",138,0,0,0,21,1,0,0,0
67,"Apr 22, 2020",138,0,0,0,20,1,0,0,0
68,"Apr 23, 2020",138,0,0,1,18,1,0,0,0
69,"Apr 24, 2020",138,0,0,0,17,1,0,0,0
