Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",0,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",0,0,0,0,0,0,0,0,0
21,"Mar 07, 2020",2,0,0,0,2,0,0,0,0
22,"Mar 08, 2020",4,2,1,0,4,0,0,0,0
23,"Mar 09, 2020",4,0,1,0,4,0,0,0,0
24,"Mar 10, 2020",6,2,2,1,6,0,0,0,0
25,"Mar 11, 2020",7,1,1,1,6,1,0,0,0
26,"Mar 12, 2020",23,16,6,4,22,1,0,0,0
27,"Mar 13, 2020",31,8,8,4,30,1,0,0,0
28,"Mar 14, 2020",41,10,12,6,39,2,1,0,0
29,"Mar 15, 2020",51,10,9,6,49,2,0,1,0
30,"Mar 16, 2020",62,11,10,9,60,2,0,0,0
31,"Mar 17, 2020",81,19,14,10,79,2,0,0,1
32,"Mar 18, 2020",92,11,13,12,90,2,0,0,0
33,"Mar 19, 2020",107,15,15,12,104,3,1,0,0
34,"Mar 20, 2020",127,20,16,14,123,3,0,1,0
35,"Mar 21, 2020",163,36,23,18,157,3,0,0,0
36,"Mar 22, 2020",187,24,27,19,181,3,0,0,1
37,"Mar 23, 2020",201,14,25,20,195,3,0,0,0
38,"Mar 24, 2020",218,17,18,19,212,3,0,0,0
39,"Mar 25, 2020",242,24,18,22,235,3,0,0,0
40,"Mar 26, 2020",264,22,21,22,253,3,0,0,0
41,"Mar 27, 2020",293,29,25,24,281,3,0,0,0
42,"Mar 28, 2020",331,38,30,24,313,7,4,1,1
43,"Mar 29, 2020",346,15,27,23,324,8,1,2,0
44,"Mar 30, 2020",359,13,22,22,334,8,0,2,1
45,"Mar 31, 2020",399,40,23,26,374,8,0,0,1
46,"Apr 01, 2020",422,23,25,26,392,10,2,1,1
47,"Apr 02, 2020",457,35,33,27,422,10,0,0,1
48,"Apr 03, 2020",485,28,29,28,441,14,4,2,1
49,"Apr 04, 2020",503,18,27,24,452,17,3,3,2
50,"Apr 05, 2020",531,28,24,27,474,20,3,3,1
51,"Apr 06, 2020",549,18,22,27,488,22,2,3,2
52,"Apr 07, 2020",577,28,24,25,512,23,1,2,3
53,"Apr 08, 2020",593,16,21,25,527,24,1,1,2
54,"Apr 09, 2020",618,25,23,23,546,24,0,1,2
55,"Apr 10, 2020",635,17,19,21,556,25,1,0,1
56,"Apr 11, 2020",661,26,23,23,571,28,3,2,2
57,"Apr 12, 2020",675,14,19,20,578,29,1,1,1
58,"Apr 13, 2020",685,10,17,20,582,32,3,3,1
59,"Apr 14, 2020",713,28,17,19,597,35,3,2,2
60,"Apr 15, 2020",747,34,24,22,606,36,1,2,2
61,"Apr 16, 2020",800,53,38,26,640,38,2,2,2
62,"Apr 17, 2020",846,46,45,30,664,41,3,2,2
63,"Apr 18, 2020",878,32,43,31,684,41,0,2,2
64,"Apr 19, 2020",894,16,32,32,691,42,1,1,2
65,"Apr 20, 2020",929,35,27,35,719,43,1,1,1
66,"Apr 21, 2020",975,46,33,37,760,45,2,1,2
67,"Apr 22, 2020",1024,49,43,40,801,49,4,3,2
68,"Apr 23, 2020",1097,73,56,42,855,52,3,3,2
69,"Apr 24, 2020",1188,91,71,49,941,54,2,3,2
