Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",0,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",0,0,0,0,0,0,0,0,0
21,"Mar 07, 2020",0,0,0,0,0,0,0,0,0
22,"Mar 08, 2020",0,0,0,0,0,0,0,0,0
23,"Mar 09, 2020",1,0,0,0,1,0,0,0,0
24,"Mar 10, 2020",2,1,0,0,2,0,0,0,0
25,"Mar 11, 2020",2,0,1,0,2,0,0,0,0
26,"Mar 12, 2020",2,0,0,0,2,0,0,0,0
27,"Mar 13, 2020",2,0,0,0,2,0,0,0,0
28,"Mar 14, 2020",2,0,0,1,2,0,0,0,0
29,"Mar 15, 2020",3,1,0,0,3,0,0,0,0
30,"Mar 16, 2020",15,12,5,2,15,0,0,0,0
31,"Mar 17, 2020",15,0,4,2,15,0,0,0,0
32,"Mar 18, 2020",27,12,8,3,26,1,0,0,0
33,"Mar 19, 2020",33,6,6,5,32,1,0,0,0
34,"Mar 20, 2020",40,7,8,5,35,1,0,0,0
35,"Mar 21, 2020",64,24,13,9,56,3,2,1,0
36,"Mar 22, 2020",75,11,14,10,66,4,1,1,0
37,"Mar 23, 2020",99,24,19,12,90,4,0,1,1
38,"Mar 24, 2020",114,15,17,15,103,4,0,0,1
39,"Mar 25, 2020",146,32,24,17,132,4,0,0,0
40,"Mar 26, 2020",152,6,17,17,135,7,3,1,1
41,"Mar 27, 2020",180,28,22,20,159,9,2,2,1
42,"Mar 28, 2020",207,27,21,20,175,11,2,2,1
43,"Mar 29, 2020",222,15,23,21,187,12,1,2,1
44,"Mar 30, 2020",246,24,22,21,203,12,0,1,1
45,"Mar 31, 2020",261,15,18,21,215,14,2,1,2
46,"Apr 01, 2020",282,21,20,19,220,16,2,1,2
47,"Apr 02, 2020",288,6,14,20,222,16,0,1,1
48,"Apr 03, 2020",302,14,14,17,236,16,0,1,1
49,"Apr 04, 2020",318,16,12,16,236,16,0,0,1
50,"Apr 05, 2020",345,27,19,18,238,17,1,0,0
51,"Apr 06, 2020",364,19,20,17,238,18,1,1,1
52,"Apr 07, 2020",384,20,22,17,238,19,1,1,1
53,"Apr 08, 2020",414,30,23,19,257,23,4,2,1
54,"Apr 09, 2020",443,29,27,22,273,24,1,2,1
55,"Apr 10, 2020",448,5,21,21,273,26,2,2,1
56,"Apr 11, 2020",484,36,23,24,302,27,1,2,2
57,"Apr 12, 2020",497,13,18,21,309,27,0,1,1
58,"Apr 13, 2020",515,18,23,22,327,27,0,0,2
59,"Apr 14, 2020",528,13,14,21,321,30,3,1,1
60,"Apr 15, 2020",542,14,15,18,284,32,2,2,2
61,"Apr 16, 2020",546,4,11,15,257,32,0,1,1
62,"Apr 17, 2020",557,11,9,15,228,35,3,2,1
63,"Apr 18, 2020",565,8,8,12,208,36,1,1,1
64,"Apr 19, 2020",576,11,10,11,202,36,0,2,2
65,"Apr 20, 2020",581,5,8,9,186,38,2,1,1
66,"Apr 21, 2020",600,19,12,11,200,38,0,0,1
67,"Apr 22, 2020",609,9,11,9,181,39,1,1,1
68,"Apr 23, 2020",616,7,11,10,165,41,2,1,2
69,"Apr 24, 2020",629,13,10,11,163,41,0,1,0
