Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected
0,"Feb 15, 2020",1,0,0,0,0
1,"Feb 16, 2020",1,0,0,0,0
2,"Feb 17, 2020",1,0,0,0,0
3,"Feb 18, 2020",1,0,0,0,0
4,"Feb 19, 2020",1,0,0,0,0
5,"Feb 20, 2020",1,0,0,0,0
6,"Feb 21, 2020",1,0,0,0,0
7,"Feb 22, 2020",1,0,0,0,0
8,"Feb 23, 2020",1,0,0,0,0
9,"Feb 24, 2020",1,0,0,0,0
10,"Feb 25, 2020",1,0,0,0,0
11,"Feb 26, 2020",1,0,0,0,0
12,"Feb 27, 2020",1,0,0,0,0
13,"Feb 28, 2020",1,0,0,0,0
14,"Feb 29, 2020",1,0,0,0,0
15,"Mar 01, 2020",1,0,0,0,0
16,"Mar 02, 2020",1,0,0,0,0
17,"Mar 03, 2020",1,0,0,0,0
18,"Mar 04, 2020",1,0,0,0,0
19,"Mar 05, 2020",1,0,0,0,0
20,"Mar 06, 2020",1,0,0,0,0
21,"Mar 07, 2020",2,1,0,0,1
22,"Mar 08, 2020",2,0,1,0,1
23,"Mar 09, 2020",2,0,0,0,1
24,"Mar 10, 2020",3,1,0,1,2
25,"Mar 11, 2020",5,2,1,0,4
26,"Mar 12, 2020",5,0,1,1,4
27,"Mar 13, 2020",7,2,2,1,6
28,"Mar 14, 2020",7,0,0,0,6
29,"Mar 15, 2020",12,5,3,2,11
30,"Mar 16, 2020",12,0,1,1,11
31,"Mar 17, 2020",33,21,9,5,32
32,"Mar 18, 2020",37,4,8,4,36
33,"Mar 19, 2020",37,0,9,5,36
34,"Mar 20, 2020",51,14,6,6,50
35,"Mar 21, 2020",53,2,5,7,51
36,"Mar 22, 2020",84,31,16,10,82
37,"Mar 23, 2020",87,3,12,11,85
38,"Mar 24, 2020",91,4,12,8,87
39,"Mar 25, 2020",96,5,4,8,86
40,"Mar 26, 2020",98,2,4,9,88
41,"Mar 27, 2020",99,1,3,7,88
42,"Mar 28, 2020",99,0,1,6,86
43,"Mar 29, 2020",103,4,1,3,82
44,"Mar 30, 2020",107,4,3,3,86
45,"Mar 31, 2020",109,2,3,3,86
46,"Apr 01, 2020",109,0,2,1,84
47,"Apr 02, 2020",110,1,1,2,76
48,"Apr 03, 2020",114,4,2,2,79
49,"Apr 04, 2020",114,0,2,2,64
50,"Apr 05, 2020",114,0,1,2,64
51,"Apr 06, 2020",114,0,0,1,61
52,"Apr 07, 2020",115,1,0,1,57
53,"Apr 08, 2020",117,2,1,1,54
54,"Apr 09, 2020",119,2,2,1,57
55,"Apr 10, 2020",119,0,1,1,47
56,"Apr 11, 2020",120,1,1,1,45
57,"Apr 12, 2020",122,2,1,1,45
58,"Apr 13, 2020",122,0,1,1,45
59,"Apr 14, 2020",122,0,1,1,31
60,"Apr 15, 2020",122,0,0,1,26
61,"Apr 16, 2020",122,0,0,0,24
62,"Apr 17, 2020",122,0,0,1,24
63,"Apr 18, 2020",122,0,0,0,19
64,"Apr 19, 2020",122,0,0,0,17
65,"Apr 20, 2020",122,0,0,0,15
66,"Apr 21, 2020",122,0,0,0,12
67,"Apr 22, 2020",122,0,0,0,12
68,"Apr 23, 2020",122,0,0,0,12
69,"Apr 24, 2020",122,0,0,0,5
70,"Apr 25, 2020",122,0,0,0,5
71,"Apr 26, 2020",122,0,0,0,5
72,"Apr 27, 2020",122,0,0,0,3
73,"Apr 28, 2020",122,0,0,0,3
74,"Apr 29, 2020",122,0,0,0,3
75,"Apr 30, 2020",122,0,0,0,3
76,"May 01, 2020",122,0,0,0,3
77,"May 02, 2020",122,0,0,0,2
78,"May 03, 2020",122,0,0,0,2
79,"May 04, 2020",122,0,0,0,2
80,"May 05, 2020",122,0,0,0,2
81,"May 06, 2020",122,0,0,0,2
82,"May 07, 2020",122,0,0,0,2
83,"May 08, 2020",122,0,0,0,2
84,"May 09, 2020",122,0,0,0,2
85,"May 10, 2020",122,0,0,0,2
86,"May 11, 2020",122,0,0,0,2
87,"May 12, 2020",122,0,0,0,1
88,"May 13, 2020",122,0,0,0,1
89,"May 14, 2020",122,0,0,0,1
90,"May 15, 2020",122,0,0,0,1
91,"May 16, 2020",122,0,0,0,0
92,"May 17, 2020",122,0,0,0,0
93,"May 18, 2020",122,0,0,0,0
94,"May 19, 2020",122,0,0,0,0
95,"May 20, 2020",122,0,0,0,0
96,"May 21, 2020",123,1,0,0,1
97,"May 22, 2020",123,0,1,0,1
98,"May 23, 2020",124,1,0,1,2
99,"May 24, 2020",124,0,1,0,2
100,"May 25, 2020",124,0,0,0,2
101,"May 26, 2020",124,0,0,0,2
102,"May 27, 2020",124,0,0,1,2
103,"May 28, 2020",124,0,0,0,2
104,"May 29, 2020",124,0,0,0,2
105,"May 30, 2020",125,1,0,0,2
106,"May 31, 2020",125,0,1,0,2
107,"Jun 01, 2020",125,0,0,0,2
108,"Jun 02, 2020",125,0,0,1,2
109,"Jun 03, 2020",125,0,0,0,2
110,"Jun 04, 2020",125,0,0,0,2
111,"Jun 05, 2020",125,0,0,0,2
112,"Jun 06, 2020",125,0,0,0,2
