Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",0,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",2,0,0,0,2,0,0,0,0
21,"Mar 07, 2020",2,0,0,0,2,0,0,0,0
22,"Mar 08, 2020",2,0,1,0,2,0,0,0,0
23,"Mar 09, 2020",2,0,0,0,2,0,0,0,0
24,"Mar 10, 2020",2,0,0,0,2,0,0,0,0
25,"Mar 11, 2020",2,0,0,1,2,0,0,0,0
26,"Mar 12, 2020",2,0,0,0,2,0,0,0,0
27,"Mar 13, 2020",2,0,0,0,2,0,0,0,0
28,"Mar 14, 2020",3,1,0,0,3,0,0,0,0
29,"Mar 15, 2020",4,1,1,0,4,0,0,0,0
30,"Mar 16, 2020",5,1,1,1,5,0,0,0,0
31,"Mar 17, 2020",10,5,2,1,10,0,0,0,0
32,"Mar 18, 2020",13,3,3,2,13,0,0,0,0
33,"Mar 19, 2020",13,0,3,1,13,0,0,0,0
34,"Mar 20, 2020",27,14,6,4,25,0,0,0,0
35,"Mar 21, 2020",40,13,9,5,38,0,0,0,0
36,"Mar 22, 2020",40,0,9,5,38,0,0,0,0
37,"Mar 23, 2020",56,16,9,7,54,0,0,0,0
38,"Mar 24, 2020",66,10,9,8,63,1,0,0,0
39,"Mar 25, 2020",75,9,12,9,72,1,0,0,0
40,"Mar 26, 2020",75,0,6,9,72,1,0,0,0
41,"Mar 27, 2020",91,16,8,9,87,2,1,0,0
42,"Mar 28, 2020",91,0,6,8,87,2,0,1,0
43,"Mar 29, 2020",139,48,21,14,128,6,4,1,1
44,"Mar 30, 2020",139,0,16,12,128,6,0,2,1
45,"Mar 31, 2020",193,54,34,18,182,6,0,1,0
46,"Apr 01, 2020",233,40,31,22,217,6,0,0,1
47,"Apr 02, 2020",306,73,56,33,289,7,1,0,1
48,"Apr 03, 2020",509,203,105,60,484,8,1,1,1
49,"Apr 04, 2020",555,46,108,66,529,9,1,1,1
50,"Apr 05, 2020",650,95,114,73,624,9,0,1,0
51,"Apr 06, 2020",658,8,50,74,632,9,0,0,1
52,"Apr 07, 2020",685,27,43,71,616,9,0,0,0
53,"Apr 08, 2020",730,45,27,71,660,10,1,0,1
54,"Apr 09, 2020",803,73,48,71,730,12,2,1,0
55,"Apr 10, 2020",820,17,45,44,710,12,0,1,1
56,"Apr 11, 2020",820,0,30,38,710,12,0,1,0
57,"Apr 12, 2020",820,0,6,24,710,12,0,0,1
58,"Apr 13, 2020",848,28,9,27,738,12,0,0,0
59,"Apr 14, 2020",848,0,10,24,704,14,2,1,1
60,"Apr 15, 2020",848,0,9,17,666,17,3,1,1
61,"Apr 16, 2020",996,148,49,27,810,22,5,4,1
62,"Apr 17, 2020",996,0,50,25,810,22,0,2,2
63,"Apr 18, 2020",1017,21,56,28,670,42,20,9,4
64,"Apr 19, 2020",1017,0,7,29,670,42,0,6,4
65,"Apr 20, 2020",1163,146,56,45,816,42,0,7,5
66,"Apr 21, 2020",1163,0,48,45,791,43,1,0,4
67,"Apr 22, 2020",1163,0,49,45,723,43,0,1,4
68,"Apr 23, 2020",1334,171,57,48,623,43,0,0,3
69,"Apr 24, 2020",1430,96,89,62,719,43,0,0,3
