Days,Date,0_CurrentlyInfected,1_DeathRate,2_RecoveryRate,3_Cases,4_DailyCases,5_DailyCases- 3-daymovingaverage,6_DailyCases- 7-daymovingaverage,7_CurrentlyInfected,8_Deaths,9_DailyDeaths,10_DailyDeaths- 3-daymovingaverage,11_DailyDeaths- 7-daymovingaverage,12_NewRecoveries,13_NewCases,14_DeathRate,15_RecoveryRate
0,"Feb 15, 2020",7,0.000,100.000,8,0,0,0,7,0,0,0,0,0,0,0.000,100.000
1,"Feb 16, 2020",7,0.000,100.000,8,0,0,0,7,0,0,0,0,0,0,0.000,100.000
2,"Feb 17, 2020",7,0.000,100.000,8,0,0,1,7,0,0,0,0,0,0,0.000,100.000
3,"Feb 18, 2020",7,0.000,100.000,8,0,0,0,7,0,0,0,0,0,0,0.000,100.000
4,"Feb 19, 2020",7,0.000,100.000,8,0,0,0,7,0,0,0,0,0,0,0.000,100.000
5,"Feb 20, 2020",6,0.000,100.000,8,0,0,0,6,0,0,0,0,1,0,0.000,100.000
6,"Feb 21, 2020",6,0.000,100.000,9,1,0,0,6,0,0,0,0,1,1,0.000,100.000
7,"Feb 22, 2020",6,0.000,100.000,9,0,1,0,6,0,0,0,0,0,0,0.000,100.000
8,"Feb 23, 2020",7,0.000,100.000,10,1,0,1,7,0,0,0,0,0,1,0.000,100.000
9,"Feb 24, 2020",8,0.000,100.000,11,1,1,0,8,0,0,0,0,0,1,0.000,100.000
10,"Feb 25, 2020",8,0.000,100.000,11,0,1,0,8,0,0,0,0,0,0,0.000,100.000
11,"Feb 26, 2020",9,0.000,100.000,12,1,0,1,9,0,0,0,0,0,1,0.000,100.000
12,"Feb 27, 2020",11,0.000,100.000,14,2,1,1,11,0,0,0,0,0,2,0.000,100.000
13,"Feb 28, 2020",12,0.000,100.000,15,1,2,1,12,0,0,0,0,0,1,0.000,100.000
14,"Feb 29, 2020",16,0.000,100.000,20,5,2,1,16,0,0,0,0,1,5,0.000,100.000
15,"Mar 01, 2020",20,0.000,100.000,24,4,4,2,20,0,0,0,0,0,4,0.000,100.000
16,"Mar 02, 2020",20,0.000,100.000,27,3,4,3,20,0,0,0,0,3,3,0.000,100.000
17,"Mar 03, 2020",23,0.000,100.000,30,3,3,2,23,0,0,0,0,0,3,0.000,100.000
18,"Mar 04, 2020",27,0.000,100.000,34,4,3,3,27,0,0,0,0,0,4,0.000,100.000
19,"Mar 05, 2020",29,0.000,100.000,37,3,4,4,29,0,0,0,0,1,3,0.000,100.000
20,"Mar 06, 2020",46,0.000,100.000,54,17,8,5,46,0,0,0,0,0,17,0.000,100.000
21,"Mar 07, 2020",52,0.000,100.000,60,6,8,6,52,0,0,0,0,0,6,0.000,100.000
22,"Mar 08, 2020",58,0.000,100.000,66,6,10,6,58,0,0,0,0,0,6,0.000,100.000
23,"Mar 09, 2020",68,11.110,88.890,77,11,8,7,68,1,1,0,0,0,11,11.110,88.890
24,"Mar 10, 2020",86,11.110,88.890,95,18,11,9,86,1,0,0,0,0,18,11.110,88.890
25,"Mar 11, 2020",100,10.000,90.000,110,15,15,11,100,1,0,0,0,1,15,10.000,90.000
26,"Mar 12, 2020",130,8.330,91.670,142,32,22,15,130,1,0,0,0,2,32,8.330,91.670
27,"Mar 13, 2020",186,8.330,91.670,198,56,34,21,186,1,0,0,0,0,56,8.330,91.670
28,"Mar 14, 2020",240,8.330,91.670,252,54,47,27,240,1,0,0,0,0,54,8.330,91.670
29,"Mar 15, 2020",329,8.330,91.670,341,89,67,40,329,1,0,0,0,0,89,8.330,91.670
30,"Mar 16, 2020",426,26.670,73.330,441,100,81,52,426,4,3,1,0,0,100,26.670,73.330
31,"Mar 17, 2020",578,40.000,60.000,598,157,115,71,578,8,4,2,1,1,157,40.000,60.000
32,"Mar 18, 2020",706,42.860,57.140,727,129,129,89,706,9,1,3,2,0,129,42.860,57.140
33,"Mar 19, 2020",850,52.170,47.830,873,146,144,104,850,12,3,3,1,-1,146,52.170,47.830
34,"Mar 20, 2020",1061,46.150,53.850,1087,214,163,127,1061,12,0,1,2,3,214,46.150,53.850
35,"Mar 21, 2020",1295,57.580,42.420,1328,241,200,154,1295,19,7,3,2,0,241,57.580,42.420
36,"Mar 22, 2020",1436,58.820,41.180,1470,142,199,161,1436,20,1,3,3,0,142,58.820,41.180
37,"Mar 23, 2020",1747,6.980,93.020,2091,621,335,236,1747,24,4,4,3,306,621,6.980,93.020
38,"Mar 24, 2020",2654,18.840,81.160,2792,701,488,313,2654,26,2,2,2,-208,701,18.840,81.160
39,"Mar 25, 2020",3188,16.290,83.710,3409,617,646,383,3188,36,10,6,4,73,617,16.290,83.710
40,"Mar 26, 2020",3776,14.610,85.390,4043,634,651,453,3776,39,3,5,4,43,634,14.610,85.390
41,"Mar 27, 2020",4348,13.450,86.550,4757,714,655,524,4348,55,16,9,6,126,714,13.450,86.550
42,"Mar 28, 2020",5199,13.160,86.840,5655,898,748,619,5199,60,5,8,6,42,898,13.160,86.840
