Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",0,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",0,0,0,0,0,0,0,0,0
21,"Mar 07, 2020",0,0,0,0,0,0,0,0,0
22,"Mar 08, 2020",0,0,0,0,0,0,0,0,0
23,"Mar 09, 2020",1,0,0,0,1,0,0,0,0
24,"Mar 10, 2020",2,1,0,0,2,0,0,0,0
25,"Mar 11, 2020",2,0,1,0,2,0,0,0,0
26,"Mar 12, 2020",3,1,0,0,3,0,0,0,0
27,"Mar 13, 2020",3,0,1,1,3,0,0,0,0
28,"Mar 14, 2020",3,0,0,0,3,0,0,0,0
29,"Mar 15, 2020",3,0,0,0,3,0,0,0,0
30,"Mar 16, 2020",6,3,1,1,6,0,0,0,0
31,"Mar 17, 2020",6,0,1,1,6,0,0,0,0
32,"Mar 18, 2020",7,1,1,0,7,0,0,0,0
33,"Mar 19, 2020",11,4,2,2,11,0,0,0,0
34,"Mar 20, 2020",12,1,2,1,12,0,0,0,0
35,"Mar 21, 2020",32,20,8,4,32,0,0,0,0
36,"Mar 22, 2020",32,0,7,4,32,0,0,0,0
37,"Mar 23, 2020",36,4,8,4,36,0,0,0,0
38,"Mar 24, 2020",36,0,2,5,36,0,0,0,0
39,"Mar 25, 2020",46,10,4,5,46,0,0,0,0
40,"Mar 26, 2020",66,20,10,8,65,1,0,0,0
41,"Mar 27, 2020",88,22,18,11,87,1,0,0,0
42,"Mar 28, 2020",97,9,17,9,96,1,0,0,0
43,"Mar 29, 2020",108,11,14,11,106,2,1,0,0
44,"Mar 30, 2020",141,33,17,15,139,2,0,1,0
45,"Mar 31, 2020",141,0,15,15,138,3,1,0,0
46,"Apr 01, 2020",172,31,21,18,169,3,0,1,1
47,"Apr 02, 2020",193,21,18,18,190,3,0,0,0
48,"Apr 03, 2020",232,39,30,21,215,4,1,0,1
49,"Apr 04, 2020",262,30,30,23,244,5,1,1,0
50,"Apr 05, 2020",309,47,39,29,276,6,1,1,1
51,"Apr 06, 2020",323,14,30,26,289,7,1,1,0
52,"Apr 07, 2020",335,12,24,28,294,7,0,1,1
53,"Apr 08, 2020",351,16,14,25,305,8,1,0,1
54,"Apr 09, 2020",361,10,13,24,313,8,0,1,0
55,"Apr 10, 2020",398,37,21,24,349,9,1,0,1
56,"Apr 11, 2020",407,9,19,21,350,9,0,1,1
57,"Apr 12, 2020",431,24,23,17,374,9,0,0,0
58,"Apr 13, 2020",436,5,13,16,379,9,0,0,0
59,"Apr 14, 2020",440,4,11,15,379,13,4,1,1
60,"Apr 15, 2020",447,7,5,14,363,15,2,2,1
61,"Apr 16, 2020",457,10,7,14,365,19,4,4,2
62,"Apr 17, 2020",470,13,10,10,377,20,1,2,1
63,"Apr 18, 2020",484,14,12,11,390,21,1,2,2
64,"Apr 19, 2020",488,4,11,8,394,21,0,1,2
65,"Apr 20, 2020",488,0,6,8,391,24,3,1,2
66,"Apr 21, 2020",496,8,4,8,216,24,0,1,2
67,"Apr 22, 2020",498,2,3,7,185,28,4,2,1
68,"Apr 23, 2020",521,23,11,9,197,29,1,2,2
69,"Apr 24, 2020",523,2,9,8,194,34,5,3,2
