Days,Date,0_DeathRate,1_RecoveryRate,2_Cases,3_DailyCases,4_DailyCases- 3-daymovingaverage,5_DailyCases- 7-daymovingaverage,6_CurrentlyInfected,7_Deaths,8_DailyDeaths,9_DailyDeaths- 3-daymovingaverage,10_DailyDeaths- 7-daymovingaverage,11_NewRecoveries,12_NewCases,13_DeathRate,14_RecoveryRate
0,"Feb 15, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
1,"Feb 16, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
2,"Feb 17, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
3,"Feb 18, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
4,"Feb 19, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
5,"Feb 20, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
6,"Feb 21, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
7,"Feb 22, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
8,"Feb 23, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
9,"Feb 24, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
10,"Feb 25, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
11,"Feb 26, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
12,"Feb 27, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
13,"Feb 28, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
14,"Feb 29, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
15,"Mar 01, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
16,"Mar 02, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
17,"Mar 03, 2020",0.000,0.000,1,0,0,0,1,0,0,0,0,0,0,0.000,0.000
18,"Mar 04, 2020",0.000,0.000,3,2,0,0,3,0,0,0,0,0,2,0.000,0.000
19,"Mar 05, 2020",0.000,0.000,4,1,2,0,4,0,0,0,0,0,1,0.000,0.000
20,"Mar 06, 2020",0.000,0.000,5,1,1,1,5,0,0,0,0,0,1,0.000,0.000
21,"Mar 07, 2020",0.000,0.000,7,2,1,1,7,0,0,0,0,0,2,0.000,0.000
22,"Mar 08, 2020",0.000,0.000,11,4,3,1,11,0,0,0,0,0,4,0.000,0.000
23,"Mar 09, 2020",0.000,0.000,15,4,3,3,15,0,0,0,0,0,4,0.000,0.000
24,"Mar 10, 2020",0.000,0.000,20,5,4,2,20,0,0,0,0,0,5,0.000,0.000
25,"Mar 11, 2020",0.000,0.000,27,7,6,4,27,0,0,0,0,0,7,0.000,0.000
26,"Mar 12, 2020",0.000,0.000,39,12,8,5,39,0,0,0,0,0,12,0.000,0.000
27,"Mar 13, 2020",0.000,0.000,51,12,10,6,51,0,0,0,0,0,12,0.000,0.000
28,"Mar 14, 2020",0.000,0.000,72,21,15,10,72,0,0,0,0,0,21,0.000,0.000
29,"Mar 15, 2020",0.000,0.000,88,16,16,11,88,0,0,0,0,0,16,0.000,0.000
30,"Mar 16, 2020",0.000,0.000,183,95,44,24,183,0,0,0,0,0,95,0.000,0.000
31,"Mar 17, 2020",0.000,0.000,236,53,55,30,236,0,0,0,0,0,53,0.000,0.000
32,"Mar 18, 2020",0.000,0.000,279,43,64,36,279,0,0,0,0,0,43,0.000,0.000
33,"Mar 19, 2020",0.000,0.000,401,122,72,52,401,0,0,0,0,0,122,0.000,0.000
34,"Mar 20, 2020",0.000,100.000,509,108,91,66,503,0,0,0,0,6,108,0.000,100.000
35,"Mar 21, 2020",11.110,88.890,630,121,117,79,621,1,0,0,0,2,121,11.110,88.890
36,"Mar 22, 2020",11.110,88.890,741,111,114,94,732,1,0,0,0,0,111,11.110,88.890
37,"Mar 23, 2020",15.380,84.620,874,133,121,98,861,2,1,0,0,3,133,15.380,84.620
38,"Mar 24, 2020",10.530,89.470,1080,206,150,121,1061,2,0,1,0,6,206,10.530,89.470
39,"Mar 25, 2020",12.000,88.000,1337,257,199,151,1312,3,1,0,0,5,257,12.000,88.000
40,"Mar 26, 2020",15.380,84.620,1529,192,218,161,1503,4,1,1,1,0,192,15.380,84.620
41,"Mar 27, 2020",10.420,89.580,1885,356,269,197,1837,5,1,1,1,21,356,10.420,89.580
42,"Mar 28, 2020",8.960,91.040,2235,350,299,229,2168,6,1,1,0,18,350,8.960,91.040
43,"Mar 29, 2020",8.540,91.460,2504,269,325,252,2422,7,1,1,1,14,269,8.540,91.460
44,"Mar 30, 2020",4.880,95.120,2867,363,327,285,2703,8,1,1,1,81,363,4.880,95.120
45,"Mar 31, 2020",7.690,92.310,3205,338,324,303,3036,13,5,2,2,0,338,7.690,92.310
46,"Apr 01, 2020",7.140,92.860,3548,343,348,316,3296,18,5,4,2,78,343,7.140,92.860
47,"Apr 02, 2020",5.630,94.370,3985,437,372,351,3630,20,2,4,2,101,437,5.630,94.370
48,"Apr 03, 2020",5.530,94.470,4375,390,390,356,3923,25,5,4,3,92,390,5.530,94.470
49,"Apr 04, 2020",5.550,94.450,4871,496,441,376,4312,31,6,4,3,101,496,5.550,94.450
50,"Apr 05, 2020",5.940,94.060,5234,363,417,390,4577,39,8,7,5,90,363,5.940,94.060
51,"Apr 06, 2020",5.450,94.550,5637,403,420,396,4867,42,3,5,5,110,403,5.450,94.550
52,"Apr 07, 2020",5.170,94.830,5989,352,373,398,5042,49,7,6,5,170,352,5.170,94.830
53,"Apr 08, 2020",4.700,95.300,6492,503,419,420,5322,55,6,6,5,217,503,4.700,95.300
54,"Apr 09, 2020",4.850,95.150,6991,499,452,430,5652,65,10,7,7,159,499,4.850,95.150
55,"Apr 10, 2020",4.500,95.500,7610,619,540,462,5965,74,9,9,7,297,619,4.500,95.500
56,"Apr 11, 2020",4.260,95.740,8109,499,539,462,6162,83,9,9,7,293,499,4.260,95.740
57,"Apr 12, 2020",4.230,95.770,8444,335,484,459,6294,91,8,9,8,195,335,4.230,95.770
58,"Apr 13, 2020",3.780,96.220,8809,365,400,453,6349,93,2,6,7,308,365,3.780,96.220
59,"Apr 14, 2020",3.780,96.220,9268,459,386,468,6518,104,11,7,8,279,459,3.780,96.220
60,"Apr 15, 2020",3.480,96.520,9685,417,414,457,6642,106,2,5,7,291,417,3.480,96.520
61,"Apr 16, 2020",3.450,96.550,10310,625,500,474,6893,118,12,8,8,362,625,3.450,96.550
62,"Apr 17, 2020",3.470,96.530,10831,521,521,460,7080,130,12,9,8,322,521,3.470,96.530
63,"Apr 18, 2020",3.380,96.620,11390,559,569,469,7214,141,11,12,8,414,559,3.380,96.620
64,"Apr 19, 2020",3.320,96.680,11809,419,499,480,7322,149,8,10,8,303,419,3.320,96.680
65,"Apr 20, 2020",3.230,96.770,12299,490,490,499,7467,156,7,9,9,338,490,3.230,96.770
66,"Apr 21, 2020",3.210,96.790,12679,380,429,487,7545,165,9,8,9,293,380,3.210,96.790
67,"Apr 22, 2020",3.230,96.770,13222,543,471,505,7656,180,15,10,10,417,543,3.230,96.770
68,"Apr 23, 2020",3.150,96.850,13826,604,509,503,7833,189,9,11,11,418,604,3.150,96.850
69,"Apr 24, 2020",3.000,97.000,14404,578,575,510,7881,196,7,10,9,523,578,3.000,97.000
70,"Apr 25, 2020",2.940,97.060,15050,646,610,523,8100,204,8,8,9,419,646,2.940,97.060
71,"Apr 26, 2020",2.940,97.060,15604,554,592,542,8367,213,9,8,9,278,554,2.940,97.060
72,"Apr 27, 2020",2.950,97.050,16168,564,588,553,8618,223,10,9,10,303,564,2.950,97.050
73,"Apr 28, 2020",2.930,97.070,16814,646,588,591,8871,233,10,10,9,383,646,2.930,97.070
74,"Apr 29, 2020",2.930,97.070,17423,609,607,600,9123,243,10,10,9,347,609,2.930,97.070
75,"Apr 30, 2020",2.890,97.110,18755,1332,862,704,9920,255,12,11,10,523,1332,2.890,97.110
76,"May 01, 2020",2.830,97.170,19908,1153,1031,786,10627,263,8,10,9,438,1153,2.830,97.170
77,"May 02, 2020",2.820,97.180,21578,1670,1385,933,11728,278,15,11,11,554,1670,2.820,97.180
78,"May 03, 2020",2.840,97.160,23015,1437,1420,1058,12681,293,15,13,11,469,1437,2.840,97.160
79,"May 04, 2020",2.840,97.160,24162,1147,1418,1142,13443,304,11,14,12,374,1147,2.840,97.160
80,"May 05, 2020",2.810,97.190,25769,1607,1397,1280,14749,310,6,10,11,295,1607,2.810,97.190
81,"May 06, 2020",2.760,97.240,26977,1208,1321,1365,15471,317,7,8,11,479,1208,2.760,97.240
82,"May 07, 2020",2.690,97.310,28771,1794,1536,1430,16785,322,5,6,9,475,1794,2.690,97.310
83,"May 08, 2020",2.660,97.340,30399,1628,1544,1499,17907,332,10,8,10,496,1628,2.660,97.340
84,"May 09, 2020",2.640,97.360,31858,1459,1627,1469,18848,343,11,8,9,507,1459,2.640,97.360
85,"May 10, 2020",2.610,97.390,33786,1928,1671,1538,20322,352,9,10,9,445,1928,2.610,97.390
86,"May 11, 2020",2.610,97.390,35187,1401,1596,1575,21218,364,12,11,8,493,1401,2.610,97.390
87,"May 12, 2020",2.610,97.390,37127,1940,1757,1623,22624,378,14,12,10,520,1940,2.610,97.390
88,"May 13, 2020",2.560,97.440,40241,3114,2151,1895,24986,390,12,12,10,740,3114,2.560,97.440
89,"May 14, 2020",2.580,97.420,43354,3113,2723,2083,27284,415,25,17,14,790,3113,2.580,97.420
90,"May 15, 2020",2.600,97.400,46283,2929,3052,2269,29225,444,29,22,16,959,2929,2.600,97.400
91,"May 16, 2020",2.570,97.430,48491,2208,2750,2376,30002,475,31,29,19,1400,2208,2.570,97.430
92,"May 17, 2020",2.580,97.420,51246,2755,2630,2495,31525,508,33,31,22,1199,2755,2.580,97.420
93,"May 18, 2020",2.610,97.390,53913,2667,2544,2675,33208,540,32,32,25,952,2667,2.610,97.390
94,"May 19, 2020",2.600,97.400,58034,4121,3181,2987,35952,575,35,33,28,1342,4121,2.600,97.400
95,"May 20, 2020",2.660,97.340,62761,4727,3838,3217,39642,615,40,36,32,997,4727,2.660,97.340
96,"May 21, 2020",2.700,97.300,67401,4640,4496,3435,42743,666,51,42,36,1488,4640,2.700,97.300
97,"May 22, 2020",2.730,97.270,72406,5005,4791,3732,46352,712,46,45,38,1350,5005,2.730,97.270
98,"May 23, 2020",2.790,97.210,76545,4139,4594,4008,49238,761,49,49,41,1204,4139,2.790,97.210
99,"May 24, 2020",2.800,97.200,80887,4342,4496,4234,51927,812,51,49,44,1602,4342,2.800,97.200
100,"May 25, 2020",2.850,97.150,86617,5730,4737,4672,56454,861,49,49,46,1154,5730,2.850,97.150
101,"May 26, 2020",2.870,97.130,91257,4640,4904,4746,59430,912,51,51,48,1613,4640,2.870,97.130
102,"May 27, 2020",2.760,97.240,96323,5066,5145,4795,61831,952,40,46,48,2625,5066,2.760,97.240
103,"May 28, 2020",2.710,97.290,101771,5448,5051,4910,64614,1007,55,49,49,2610,5448,2.710,97.290
104,"May 29, 2020",2.690,97.310,106096,4325,4947,4813,66430,1068,61,52,50,2448,4325,2.690,97.310
105,"May 30, 2020",2.710,97.290,111036,4940,4904,4927,69477,1128,60,59,53,1833,4940,2.710,97.290
106,"May 31, 2020",2.710,97.290,116690,5654,4973,5115,72771,1192,64,61,54,2296,5654,2.710,97.290
107,"Jun 01, 2020",2.720,97.280,123094,6404,5666,5211,76889,1259,67,64,57,2219,6404,2.720,97.280
108,"Jun 02, 2020",2.900,97.100,127223,4129,5396,5138,80933,1344,85,72,62,0,4129,2.900,97.100
109,"Jun 03, 2020",1.650,98.350,133008,5785,5439,5240,45393,1442,98,83,70,41227,5785,1.650,98.350
110,"Jun 04, 2020",1.660,98.340,138468,5460,5125,5243,46186,1534,92,92,75,4575,5460,1.660,98.340
111,"Jun 05, 2020",1.680,98.320,143393,4925,5390,5328,46124,1638,104,98,81,4883,4925,1.680,98.320
112,"Jun 06, 2020",1.790,98.210,149534,6141,5508,5500,52160,1743,105,100,88,0,6141,1.790,98.210
113,"Jun 07, 2020",2.520,97.480,157032,7498,6188,5763,58924,2477,734,315,184,0,7498,2.520,97.480
114,"Jun 08, 2020",2.610,97.390,162529,5497,6379,5633,64337,2561,84,307,186,0,5497,2.610,97.390
115,"Jun 09, 2020",2.630,97.370,167110,4581,5859,5698,68897,2582,21,280,177,0,4581,2.630,97.370
