Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",56,0,0,0,54,1,0,0,0
1,"Feb 16, 2020",57,1,1,3,54,1,0,0,0
2,"Feb 17, 2020",60,3,2,2,57,1,0,0,0
3,"Feb 18, 2020",62,2,2,2,59,1,0,0,0
4,"Feb 19, 2020",65,3,2,2,58,2,1,0,0
5,"Feb 20, 2020",69,4,3,3,61,2,0,1,0
6,"Feb 21, 2020",69,0,3,2,61,2,0,0,0
7,"Feb 22, 2020",70,1,1,2,57,2,0,0,1
8,"Feb 23, 2020",74,4,2,2,60,2,0,0,0
9,"Feb 24, 2020",81,7,4,3,67,2,0,0,0
10,"Feb 25, 2020",85,4,5,3,65,2,0,0,0
11,"Feb 26, 2020",89,4,5,4,69,2,0,0,0
12,"Feb 27, 2020",92,3,4,3,72,2,0,0,0
13,"Feb 28, 2020",93,1,2,3,73,2,0,0,0
14,"Feb 29, 2020",95,2,2,4,63,2,0,0,0
15,"Mar 01, 2020",100,5,3,4,62,2,0,0,0
16,"Mar 02, 2020",100,0,2,2,62,2,0,0,0
17,"Mar 03, 2020",101,1,2,3,62,2,0,0,0
18,"Mar 04, 2020",103,2,1,2,64,2,0,0,0
19,"Mar 05, 2020",105,2,2,2,66,2,0,0,0
20,"Mar 06, 2020",108,3,2,2,55,2,0,0,0
21,"Mar 07, 2020",108,0,2,2,55,2,0,0,0
22,"Mar 08, 2020",115,7,3,2,53,3,1,0,0
23,"Mar 09, 2020",116,1,3,2,54,3,0,1,0
24,"Mar 10, 2020",121,5,4,3,58,3,0,0,0
25,"Mar 11, 2020",130,9,5,4,50,3,0,0,1
26,"Mar 12, 2020",131,1,5,3,51,3,0,0,0
27,"Mar 13, 2020",132,1,4,4,50,4,1,0,0
28,"Mar 14, 2020",142,10,4,5,57,4,0,1,0
29,"Mar 15, 2020",149,7,6,5,64,4,0,0,0
30,"Mar 16, 2020",155,6,8,5,70,4,0,0,1
31,"Mar 17, 2020",168,13,8,7,83,4,0,0,0
32,"Mar 18, 2020",193,25,15,9,94,4,0,0,0
33,"Mar 19, 2020",208,15,18,11,106,4,0,0,0
34,"Mar 20, 2020",256,48,29,18,154,4,0,0,0
35,"Mar 21, 2020",274,18,27,18,170,4,0,0,0
36,"Mar 22, 2020",318,44,37,25,214,4,0,0,0
37,"Mar 23, 2020",357,39,33,28,253,4,0,0,0
38,"Mar 24, 2020",387,30,38,32,281,4,0,0,0
39,"Mar 25, 2020",411,24,31,31,305,4,0,0,0
40,"Mar 26, 2020",454,43,32,35,340,4,0,0,0
41,"Mar 27, 2020",519,65,44,38,404,4,0,0,0
42,"Mar 28, 2020",560,41,50,40,444,4,0,0,0
43,"Mar 29, 2020",642,82,63,47,520,4,0,0,0
44,"Mar 30, 2020",683,41,54,46,561,4,0,0,0
45,"Mar 31, 2020",715,32,52,47,583,4,0,0,0
46,"Apr 01, 2020",766,51,41,51,615,4,0,0,0
47,"Apr 02, 2020",802,36,40,50,644,4,0,0,0
48,"Apr 03, 2020",845,43,43,46,668,4,0,0,0
49,"Apr 04, 2020",862,17,32,43,685,4,0,0,0
50,"Apr 05, 2020",891,29,30,36,681,4,0,0,0
51,"Apr 06, 2020",915,24,23,33,695,4,0,0,0
52,"Apr 07, 2020",936,21,25,32,696,4,0,0,0
53,"Apr 08, 2020",961,25,23,27,693,4,0,0,0
54,"Apr 09, 2020",974,13,20,25,677,4,0,0,0
55,"Apr 10, 2020",990,16,18,21,677,4,0,0,0
56,"Apr 11, 2020",1001,11,13,20,661,4,0,0,0
57,"Apr 12, 2020",1005,4,11,16,641,4,0,0,0
58,"Apr 13, 2020",1010,5,6,13,609,4,0,0,0
59,"Apr 14, 2020",1013,3,4,11,575,4,0,0,0
60,"Apr 15, 2020",1017,4,4,8,554,4,0,0,0
61,"Apr 16, 2020",1018,1,3,7,529,4,0,0,0
62,"Apr 17, 2020",1022,4,3,4,485,4,0,0,0
63,"Apr 18, 2020",1024,2,2,4,452,4,0,0,0
64,"Apr 19, 2020",1026,2,3,3,420,4,0,0,0
65,"Apr 20, 2020",1026,0,1,2,392,4,0,0,0
66,"Apr 21, 2020",1030,4,2,2,376,4,0,0,0
67,"Apr 22, 2020",1034,4,3,3,352,4,0,0,0
68,"Apr 23, 2020",1036,2,3,2,333,4,0,0,0
69,"Apr 24, 2020",1036,0,2,2,307,4,0,0,0
70,"Apr 25, 2020",1038,2,2,2,281,4,0,0,0
71,"Apr 26, 2020",1038,0,0,2,262,4,0,0,0
72,"Apr 27, 2020",1038,0,1,2,247,4,0,0,0
73,"Apr 28, 2020",1038,0,0,1,223,4,0,0,0
74,"Apr 29, 2020",1038,0,0,0,204,4,0,0,0
75,"Apr 30, 2020",1038,0,0,1,188,4,0,0,0
76,"May 01, 2020",1040,2,1,0,177,4,0,0,0
77,"May 02, 2020",1040,0,0,1,172,4,0,0,0
78,"May 03, 2020",1040,0,1,0,157,4,0,0,0
79,"May 04, 2020",1041,1,0,0,137,4,0,0,0
80,"May 05, 2020",1041,0,1,1,117,4,0,0,0
81,"May 06, 2020",1041,0,0,0,105,4,0,0,0
82,"May 07, 2020",1045,4,1,1,97,4,0,0,0
83,"May 08, 2020",1045,0,2,1,81,4,0,0,0
84,"May 09, 2020",1045,0,1,1,74,4,0,0,0
85,"May 10, 2020",1048,3,1,1,62,4,0,0,0
86,"May 11, 2020",1048,0,1,1,59,4,0,0,0
87,"May 12, 2020",1048,0,1,1,53,4,0,0,0
88,"May 13, 2020",1051,3,1,1,39,4,0,0,0
89,"May 14, 2020",1052,1,1,1,39,4,0,0,0
90,"May 15, 2020",1053,1,2,1,30,4,0,0,0
91,"May 16, 2020",1053,0,1,1,27,4,0,0,0
92,"May 17, 2020",1056,3,1,2,28,4,0,0,0
93,"May 18, 2020",1056,0,1,1,27,4,0,0,0
94,"May 19, 2020",1056,0,1,1,27,4,0,0,0
95,"May 20, 2020",1056,0,0,1,26,4,0,0,0
96,"May 21, 2020",1064,8,3,1,31,4,0,0,0
97,"May 22, 2020",1066,2,3,2,33,4,0,0,0
98,"May 23, 2020",1066,0,3,2,33,4,0,0,0
99,"May 24, 2020",1066,0,1,1,32,4,0,0,0
100,"May 25, 2020",1066,0,0,2,32,4,0,0,0
101,"May 26, 2020",1066,0,0,1,29,4,0,0,0
102,"May 27, 2020",1067,1,0,2,29,4,0,0,0
103,"May 28, 2020",1067,0,1,0,28,4,0,0,0
104,"May 29, 2020",1080,13,4,2,41,4,0,0,0
105,"May 30, 2020",1083,3,6,3,43,4,0,0,0
106,"May 31, 2020",1085,2,6,2,44,4,0,0,0
107,"Jun 01, 2020",1088,3,2,4,47,4,0,0,0
108,"Jun 02, 2020",1094,6,4,4,52,4,0,0,0
109,"Jun 03, 2020",1094,0,3,3,51,4,0,0,0
110,"Jun 04, 2020",1099,5,4,5,54,4,0,0,0
111,"Jun 05, 2020",1103,4,3,3,54,4,0,0,0
112,"Jun 06, 2020",1106,3,4,4,54,4,0,0,0
113,"Jun 07, 2020",1107,1,2,3,54,4,0,0,0
114,"Jun 08, 2020",1108,1,2,3,55,4,0,0,0
115,"Jun 09, 2020",1108,0,1,2,55,4,0,0,0
116,"Jun 10, 2020",1108,0,0,2,53,4,0,0,0
117,"Jun 11, 2020",1108,0,0,1,49,4,0,0,0
118,"Jun 12, 2020",1109,1,0,1,45,4,0,0,0
119,"Jun 13, 2020",1110,1,1,0,45,4,0,0,0
120,"Jun 14, 2020",1110,0,1,1,39,4,0,0,0
121,"Jun 15, 2020",1113,3,1,0,42,4,0,0,0
122,"Jun 16, 2020",1113,0,1,1,40,4,0,0,0
123,"Jun 17, 2020",1121,8,4,2,46,4,0,0,0
124,"Jun 18, 2020",1125,4,4,2,49,4,0,0,0
125,"Jun 19, 2020",1128,3,5,3,50,4,0,0,0
