Days,Date,0_CurrentlyInfected,1_DeathRate,2_RecoveryRate,3_Cases,4_DailyCases,5_DailyCases- 3-daymovingaverage,6_DailyCases- 7-daymovingaverage,7_CurrentlyInfected,8_Deaths,9_DailyDeaths,10_DailyDeaths- 3-daymovingaverage,11_DailyDeaths- 7-daymovingaverage,12_NewRecoveries,13_NewCases,14_DeathRate,15_RecoveryRate
0,"Jan 22, 2020",554,-,-,571,0,0,0,554,17,0,0,0,0,0,-,-
1,"Jan 23, 2020",771,-,-,830,259,0,0,771,25,8,0,0,34,259,-,-
2,"Jan 24, 2020",1208,-,-,1287,457,0,0,1208,41,16,0,0,4,457,-,-
3,"Jan 25, 2020",1870,-,-,1975,688,0,0,1870,56,15,0,0,11,688,-,-
4,"Jan 26, 2020",2613,-,-,2744,769,638,0,2613,80,24,18,0,2,769,-,-
5,"Jan 27, 2020",4349,-,-,4515,1771,1076,0,4349,106,26,22,0,9,1771,-,-
6,"Jan 28, 2020",5739,-,-,5974,1459,1333,0,5739,132,26,25,0,43,1459,-,-
7,"Jan 29, 2020",7417,-,-,7711,1737,1656,0,7417,170,38,30,0,21,1737,-,-
8,"Jan 30, 2020",9308,-,-,9692,1981,1725,1266,9308,213,43,36,27,47,1981,-,-
9,"Jan 31, 2020",11289,-,-,11791,2099,1939,1500,11289,259,46,42,31,72,2099,-,-
10,"Feb 01, 2020",13748,-,-,14380,2589,2223,1772,13748,304,45,45,36,85,2589,-,-
11,"Feb 02, 2020",16369,43.18,56.82,17205,2825,2505,2066,16369,361,57,49,40,147,2825,43.18,56.82
12,"Feb 03, 2020",19383,40.21,59.79,20440,3235,2883,2275,19383,425,64,55,45,157,3235,40.21,59.79
13,"Feb 04, 2020",22942,35.46,64.54,24324,3884,3314,2622,22942,490,65,62,51,260,3884,35.46,64.54
14,"Feb 05, 2020",26302,32.81,67.19,28018,3694,3605,2901,26302,563,73,68,57,261,3694,32.81,67.19
15,"Feb 06, 2020",28985,29.23,70.77,31161,3143,3573,3067,28985,636,73,70,60,387,3143,29.23,70.77
16,"Feb 07, 2020",31774,26.05,73.95,34546,3385,3408,3250,31774,722,86,77,66,510,3385,26.05,73.95
17,"Feb 08, 2020",33738,23.44,76.56,37198,2652,3060,3260,33738,811,89,83,73,599,2652,23.44,76.56
18,"Feb 09, 2020",35982,21.68,78.32,40171,2973,3003,3281,35982,908,97,91,78,632,2973,21.68,78.32
19,"Feb 10, 2020",37626,20.27,79.73,42638,2467,2697,3171,37626,1016,108,98,84,715,2467,20.27,79.73
20,"Feb 11, 2020",38791,18.99,81.01,44653,2015,2485,2904,38791,1113,97,100,89,753,2015,18.99,81.01
21,"Feb 12, 2020",51591,17.56,82.44,58761,14108,6197,4392,51591,1259,146,117,100,1162,14108,17.56,82.44
22,"Feb 13, 2020",55748,17.03,82.97,63851,5090,7071,4670,55748,1380,121,122,106,812,5090,17.03,82.97
23,"Feb 14, 2020",56873,15.83,84.17,66492,2641,7280,4564,56873,1523,143,136,114,1373,2641,15.83,84.17
24,"Feb 15, 2020",57416,15.02,84.98,68500,2008,3246,4471,57416,1665,142,136,122,1323,2008,15.02,84.98
25,"Feb 16, 2020",57934,14.03,85.97,70548,2048,2232,4340,57934,1770,105,130,123,1425,2048,14.03,85.97
26,"Feb 17, 2020",58016,12.95,87.05,72436,1888,1982,4257,58016,1868,98,115,122,1708,1888,12.95,87.05
27,"Feb 18, 2020",57805,12.23,87.77,74185,1749,1895,4219,57805,2004,136,113,127,1824,1749,12.23,87.77
28,"Feb 19, 2020",56301,11.59,88.41,74576,391,1342,2259,56301,2118,114,116,123,1781,391,11.59,88.41
29,"Feb 20, 2020",54921,10.88,89.12,75465,889,1010,1659,54921,2236,118,122,122,2151,889,10.88,89.12
30,"Feb 21, 2020",53284,10.19,89.81,76288,823,701,1400,53284,2345,109,114,118,2351,823,10.19,89.81
31,"Feb 22, 2020",52093,9.83,90.17,76936,648,787,1205,52093,2442,97,108,111,1742,648,9.83,90.17
32,"Feb 23, 2020",49824,9.49,90.51,77150,214,561,943,49824,2592,150,119,117,2333,214,9.49,90.51
33,"Feb 24, 2020",47765,8.91,91.09,77658,508,457,746,47765,2663,71,106,114,2496,508,8.91,91.09
34,"Feb 25, 2020",45600,8.36,91.64,78064,406,376,554,45600,2715,52,91,101,2519,406,8.36,91.64
35,"Feb 26, 2020",43258,7.79,92.21,78497,433,449,560,43258,2744,29,50,90,2746,433,7.79,92.21
36,"Feb 27, 2020",39919,7.17,92.83,78824,327,389,480,39919,2788,44,42,79,3622,327,7.17,92.83
37,"Feb 28, 2020",37414,6.78,93.22,79251,427,395,423,37414,2835,47,40,70,2885,427,6.78,93.22
38,"Feb 29, 2020",35129,6.42,93.58,79824,573,443,413,35129,2870,35,42,61,2823,573,6.42,93.58
39,"Mar 01, 2020",32616,6.14,93.86,80026,202,400,411,32616,2912,42,41,46,2673,202,6.14,93.86
40,"Mar 02, 2020",30004,5.87,94.13,80151,125,300,356,30004,2943,31,36,40,2706,125,5.87,94.13
41,"Mar 03, 2020",27423,5.64,94.36,80270,119,149,315,27423,2981,38,37,38,2662,119,5.64,94.36
42,"Mar 04, 2020",25353,5.47,94.53,80409,139,128,273,25353,3012,31,34,38,2178,139,5.47,94.53
43,"Mar 05, 2020",23784,5.36,94.64,80552,143,133,247,23784,3042,30,33,36,1682,143,5.36,94.64
44,"Mar 06, 2020",22179,5.25,94.75,80651,99,127,200,22179,3070,28,29,34,1676,99,5.25,94.75
45,"Mar 07, 2020",20533,5.15,94.85,80695,44,96,124,20533,3097,27,29,32,1663,44,5.15,94.85
