Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",0,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",1,0,0,0,1,0,0,0,0
21,"Mar 07, 2020",1,0,0,0,1,0,0,0,0
22,"Mar 08, 2020",1,0,0,0,1,0,0,0,0
23,"Mar 09, 2020",3,2,1,0,3,0,0,0,0
24,"Mar 10, 2020",3,0,0,0,3,0,0,0,0
25,"Mar 11, 2020",9,6,3,2,9,0,0,0,0
26,"Mar 12, 2020",9,0,2,1,9,0,0,0,0
27,"Mar 13, 2020",16,7,4,2,16,0,0,0,0
28,"Mar 14, 2020",24,8,5,3,24,0,0,0,0
29,"Mar 15, 2020",34,10,9,5,34,0,0,0,0
30,"Mar 16, 2020",54,20,12,7,53,0,0,0,0
31,"Mar 17, 2020",65,11,14,9,64,0,0,0,0
32,"Mar 18, 2020",93,28,20,12,92,0,0,0,0
33,"Mar 19, 2020",108,15,18,14,107,0,0,0,0
34,"Mar 20, 2020",145,37,26,19,144,0,0,0,0
35,"Mar 21, 2020",196,51,35,24,195,0,0,0,0
36,"Mar 22, 2020",231,35,41,28,226,2,0,0,0
37,"Mar 23, 2020",277,46,44,32,271,3,1,1,0
38,"Mar 24, 2020",378,101,60,45,369,3,0,1,0
39,"Mar 25, 2020",470,92,80,54,458,4,1,0,1
40,"Mar 26, 2020",491,21,71,55,477,6,2,1,1
41,"Mar 27, 2020",539,48,54,56,523,6,0,1,0
42,"Mar 28, 2020",608,69,46,59,592,6,0,1,1
43,"Mar 29, 2020",702,94,70,67,682,10,4,1,1
44,"Mar 30, 2020",798,96,87,74,769,14,4,3,2
45,"Mar 31, 2020",906,108,99,76,859,16,2,3,2
46,"Apr 01, 2020",1065,159,121,85,1009,17,1,3,2
47,"Apr 02, 2020",1161,96,121,96,1087,19,2,1,2
48,"Apr 03, 2020",1267,106,120,104,1187,25,6,3,2
49,"Apr 04, 2020",1406,139,114,114,1289,32,7,5,4
50,"Apr 05, 2020",1485,79,108,111,1362,35,3,6,4
51,"Apr 06, 2020",1579,94,104,112,1445,46,11,7,4
52,"Apr 07, 2020",1780,201,125,125,1630,50,4,6,5
53,"Apr 08, 2020",2054,274,189,141,1876,55,5,6,5
54,"Apr 09, 2020",2223,169,215,152,1980,69,14,8,8
55,"Apr 10, 2020",2473,250,231,172,2196,80,11,10,7
56,"Apr 11, 2020",2709,236,218,186,2395,100,20,15,10
57,"Apr 12, 2020",2776,67,185,185,2397,109,9,13,11
58,"Apr 13, 2020",2852,76,126,182,2421,112,3,11,9
59,"Apr 14, 2020",2979,127,90,171,2498,127,15,9,11
60,"Apr 15, 2020",3105,126,110,150,2522,131,4,7,11
61,"Apr 16, 2020",3233,128,127,144,2539,144,13,11,11
62,"Apr 17, 2020",3439,206,153,138,2652,153,9,9,10
63,"Apr 18, 2020",3621,182,172,131,2764,166,13,11,10
64,"Apr 19, 2020",3792,171,186,145,2902,179,13,12,10
65,"Apr 20, 2020",3977,185,180,160,2984,189,10,12,11
66,"Apr 21, 2020",4149,172,176,168,3149,196,7,10,9
67,"Apr 22, 2020",4356,207,188,178,3280,206,10,9,11
