Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",1,0,0,0,1,0,0,0,0
20,"Mar 06, 2020",1,0,0,0,1,0,0,0,0
21,"Mar 07, 2020",1,0,0,0,1,0,0,0,0
22,"Mar 08, 2020",9,8,3,0,9,0,0,0,0
23,"Mar 09, 2020",9,0,2,1,9,0,0,0,0
24,"Mar 10, 2020",13,4,4,2,13,0,0,0,0
25,"Mar 11, 2020",22,9,5,3,22,0,0,0,0
26,"Mar 12, 2020",23,1,4,3,23,0,0,0,0
27,"Mar 13, 2020",23,0,4,3,23,0,0,0,0
28,"Mar 14, 2020",27,4,1,4,27,0,0,0,0
29,"Mar 15, 2020",35,8,4,4,35,0,0,0,0
30,"Mar 16, 2020",41,6,6,4,41,0,0,0,0
31,"Mar 17, 2020",50,9,8,6,50,0,0,0,0
32,"Mar 18, 2020",69,19,11,6,68,1,0,0,0
33,"Mar 19, 2020",87,18,16,9,86,1,0,0,0
34,"Mar 20, 2020",113,26,21,13,109,2,1,0,0
35,"Mar 21, 2020",117,4,16,13,113,2,0,1,0
36,"Mar 22, 2020",134,17,15,14,130,2,0,0,0
37,"Mar 23, 2020",158,24,15,17,154,2,0,0,0
38,"Mar 24, 2020",177,19,20,18,173,2,0,0,1
39,"Mar 25, 2020",201,24,23,19,197,2,0,0,0
40,"Mar 26, 2020",231,30,24,21,227,2,0,0,0
41,"Mar 27, 2020",263,32,29,21,258,2,0,0,0
42,"Mar 28, 2020",295,32,31,25,290,2,0,0,0
43,"Mar 29, 2020",314,19,28,26,309,2,0,0,0
44,"Mar 30, 2020",330,16,22,25,324,2,0,0,0
45,"Mar 31, 2020",347,17,17,24,341,2,0,0,0
46,"Apr 01, 2020",375,28,21,25,369,2,0,0,0
47,"Apr 02, 2020",396,21,22,23,388,2,0,0,0
48,"Apr 03, 2020",416,20,23,22,403,2,0,0,0
49,"Apr 04, 2020",435,19,20,20,420,2,0,0,0
50,"Apr 05, 2020",454,19,19,20,436,2,0,0,0
51,"Apr 06, 2020",467,13,17,20,447,2,0,0,0
52,"Apr 07, 2020",483,16,16,19,457,2,0,0,0
53,"Apr 08, 2020",502,19,16,18,470,3,1,0,0
54,"Apr 09, 2020",539,37,24,21,506,3,0,1,0
55,"Apr 10, 2020",558,19,25,20,513,3,0,0,0
56,"Apr 11, 2020",577,19,25,20,525,3,0,0,1
57,"Apr 12, 2020",595,18,19,21,536,3,0,0,0
58,"Apr 13, 2020",612,17,18,20,547,3,0,0,0
59,"Apr 14, 2020",618,6,13,20,549,3,0,0,0
60,"Apr 15, 2020",626,8,11,17,555,4,1,0,0
61,"Apr 16, 2020",642,16,10,15,564,4,0,1,0
62,"Apr 17, 2020",649,7,10,13,557,4,0,0,0
63,"Apr 18, 2020",655,6,10,11,554,4,0,0,1
64,"Apr 19, 2020",660,5,6,9,543,5,1,0,0
65,"Apr 20, 2020",662,2,4,8,532,6,1,1,0
66,"Apr 21, 2020",669,7,5,7,513,6,0,1,1
67,"Apr 22, 2020",681,12,7,8,495,6,0,0,0
68,"Apr 23, 2020",686,5,8,6,484,6,0,0,0
69,"Apr 24, 2020",687,1,6,5,465,6,0,0,1
