Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",0,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",0,0,0,0,0,0,0,0,0
21,"Mar 07, 2020",0,0,0,0,0,0,0,0,0
22,"Mar 08, 2020",0,0,0,0,0,0,0,0,0
23,"Mar 09, 2020",0,0,0,0,0,0,0,0,0
24,"Mar 10, 2020",0,0,0,0,0,0,0,0,0
25,"Mar 11, 2020",1,0,0,0,1,0,0,0,0
26,"Mar 12, 2020",1,0,0,0,1,0,0,0,0
27,"Mar 13, 2020",1,0,0,0,1,0,0,0,0
28,"Mar 14, 2020",2,1,0,0,2,0,0,0,0
29,"Mar 15, 2020",4,2,1,0,4,0,0,0,0
30,"Mar 16, 2020",4,0,1,1,4,0,0,0,0
31,"Mar 17, 2020",4,0,1,0,4,0,0,0,0
32,"Mar 18, 2020",9,5,2,2,8,0,0,0,0
33,"Mar 19, 2020",9,0,1,1,8,0,0,0,0
34,"Mar 20, 2020",9,0,2,1,8,0,0,0,0
35,"Mar 21, 2020",14,5,2,2,13,0,0,0,0
36,"Mar 22, 2020",14,0,1,1,13,0,0,0,0
37,"Mar 23, 2020",25,11,6,3,23,0,0,0,0
38,"Mar 24, 2020",73,48,19,10,71,0,0,0,0
39,"Mar 25, 2020",80,7,22,10,77,0,0,0,0
40,"Mar 26, 2020",96,16,24,12,93,0,0,0,0
41,"Mar 27, 2020",101,5,9,14,98,0,0,0,0
42,"Mar 28, 2020",101,0,7,12,98,0,0,0,0
43,"Mar 29, 2020",165,64,23,22,160,1,0,0,0
44,"Mar 30, 2020",168,3,23,20,161,1,0,0,0
45,"Mar 31, 2020",179,11,26,15,171,1,0,0,0
46,"Apr 01, 2020",190,11,8,16,180,1,0,0,0
47,"Apr 02, 2020",194,4,9,14,178,1,0,0,0
48,"Apr 03, 2020",218,24,13,17,198,1,0,0,0
49,"Apr 04, 2020",245,27,18,20,219,1,0,0,0
50,"Apr 05, 2020",261,16,22,14,221,3,2,1,0
51,"Apr 06, 2020",323,62,35,22,279,3,0,0,1
52,"Apr 07, 2020",349,26,35,24,305,3,0,1,0
53,"Apr 08, 2020",384,35,41,28,333,3,0,0,0
54,"Apr 09, 2020",444,60,40,36,389,3,0,0,0
55,"Apr 10, 2020",480,36,44,37,423,3,0,0,1
56,"Apr 11, 2020",533,53,50,41,471,4,1,0,0
57,"Apr 12, 2020",574,41,43,45,484,5,1,1,0
58,"Apr 13, 2020",626,52,49,43,531,6,1,1,1
59,"Apr 14, 2020",638,12,35,42,518,6,0,1,0
60,"Apr 15, 2020",654,16,26,38,502,6,0,0,1
61,"Apr 16, 2020",654,0,10,30,502,6,0,0,0
62,"Apr 17, 2020",688,34,16,30,489,6,0,0,1
63,"Apr 18, 2020",801,113,49,38,554,8,2,1,0
64,"Apr 19, 2020",847,46,65,39,578,9,1,1,1
65,"Apr 20, 2020",879,32,63,36,582,10,1,1,0
66,"Apr 21, 2020",916,37,39,40,600,13,3,2,1
67,"Apr 22, 2020",952,36,35,43,628,14,1,1,1
68,"Apr 23, 2020",1004,52,41,50,631,14,0,2,2
69,"Apr 24, 2020",1077,73,54,55,644,14,0,0,1
