Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",1,0,0,0,1,0,0,0,0
11,"Feb 26, 2020",3,2,0,0,3,0,0,0,0
12,"Feb 27, 2020",3,0,1,0,3,0,0,0,0
13,"Feb 28, 2020",5,2,2,1,5,0,0,0,0
14,"Feb 29, 2020",6,1,1,1,6,0,0,0,0
15,"Mar 01, 2020",7,1,1,1,7,0,0,0,0
16,"Mar 02, 2020",8,1,1,1,8,0,0,0,0
17,"Mar 03, 2020",9,1,1,1,9,0,0,0,0
18,"Mar 04, 2020",10,1,1,1,10,0,0,0,0
19,"Mar 05, 2020",10,0,1,1,10,0,0,0,0
20,"Mar 06, 2020",11,1,0,1,11,0,0,0,0
21,"Mar 07, 2020",12,1,1,1,12,0,0,0,0
22,"Mar 08, 2020",12,0,1,0,12,0,0,0,0
23,"Mar 09, 2020",13,1,0,1,13,0,0,0,0
24,"Mar 10, 2020",15,2,1,1,15,0,0,0,0
25,"Mar 11, 2020",19,4,3,1,19,0,0,0,0
26,"Mar 12, 2020",27,8,4,3,26,0,0,0,0
27,"Mar 13, 2020",32,5,6,3,31,0,0,0,0
28,"Mar 14, 2020",39,7,7,3,37,0,0,0,0
29,"Mar 15, 2020",49,10,7,6,47,0,0,0,0
30,"Mar 16, 2020",57,8,8,6,54,0,0,0,0
31,"Mar 17, 2020",69,12,10,8,64,0,0,0,0
32,"Mar 18, 2020",89,20,14,10,84,0,0,0,0
33,"Mar 19, 2020",110,21,17,12,104,1,1,0,0
34,"Mar 20, 2020",130,20,21,14,124,1,0,0,0
35,"Mar 21, 2020",206,76,39,23,200,1,0,0,0
36,"Mar 22, 2020",254,48,48,30,248,1,0,0,0
37,"Mar 23, 2020",315,61,61,37,309,1,0,0,0
38,"Mar 24, 2020",382,67,59,44,376,1,0,0,0
39,"Mar 25, 2020",442,60,63,51,419,1,0,0,0
40,"Mar 26, 2020",495,53,60,55,470,3,2,1,0
41,"Mar 27, 2020",586,91,68,65,546,3,0,0,1
42,"Mar 28, 2020",657,71,71,64,607,5,2,2,0
43,"Mar 29, 2020",713,56,73,66,652,6,1,1,1
44,"Mar 30, 2020",790,77,68,68,717,6,0,1,1
45,"Mar 31, 2020",867,77,70,69,794,6,0,0,0
46,"Apr 01, 2020",963,96,83,74,884,6,0,0,1
47,"Apr 02, 2020",1011,48,74,74,916,7,1,0,1
48,"Apr 03, 2020",1079,68,71,71,979,8,1,1,0
49,"Apr 04, 2020",1126,47,54,67,995,12,4,2,1
50,"Apr 05, 2020",1182,56,57,67,1042,15,3,3,2
51,"Apr 06, 2020",1222,40,48,61,1076,16,1,2,1
52,"Apr 07, 2020",1282,60,52,60,1097,18,2,2,2
53,"Apr 08, 2020",1343,61,53,54,1145,19,1,2,2
54,"Apr 09, 2020",1407,64,62,56,1168,20,1,1,1
55,"Apr 10, 2020",1495,88,71,60,1243,21,1,1,2
56,"Apr 11, 2020",1534,39,64,58,1190,21,0,1,2
57,"Apr 12, 2020",1600,66,64,60,1204,23,2,1,1
58,"Apr 13, 2020",1650,50,52,61,1225,25,2,1,1
59,"Apr 14, 2020",1704,54,56,60,1258,31,6,3,2
60,"Apr 15, 2020",1741,37,47,57,1235,33,2,4,2
61,"Apr 16, 2020",1791,50,47,55,1227,35,2,3,2
62,"Apr 17, 2020",1814,23,37,46,1178,36,1,2,2
63,"Apr 18, 2020",1832,18,30,42,1178,39,3,2,3
64,"Apr 19, 2020",1871,39,27,39,1115,47,8,4,3
65,"Apr 20, 2020",1881,10,22,33,1063,47,0,3,3
66,"Apr 21, 2020",1908,27,26,29,1059,48,1,3,3
67,"Apr 22, 2020",1950,42,26,30,1033,48,0,1,2
68,"Apr 23, 2020",1981,31,33,27,1048,50,2,1,2
