Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",0,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",0,0,0,0,0,0,0,0,0
21,"Mar 07, 2020",0,0,0,0,0,0,0,0,0
22,"Mar 08, 2020",0,0,0,0,0,0,0,0,0
23,"Mar 09, 2020",0,0,0,0,0,0,0,0,0
24,"Mar 10, 2020",0,0,0,0,0,0,0,0,0
25,"Mar 11, 2020",3,0,0,0,3,0,0,0,0
26,"Mar 12, 2020",3,0,1,0,3,0,0,0,0
27,"Mar 13, 2020",4,1,1,0,4,0,0,0,0
28,"Mar 14, 2020",4,0,1,1,4,0,0,0,0
29,"Mar 15, 2020",4,0,0,1,4,0,0,0,0
30,"Mar 16, 2020",4,0,0,0,4,0,0,0,0
31,"Mar 17, 2020",7,3,1,1,7,0,0,0,0
32,"Mar 18, 2020",10,3,2,1,9,1,0,0,0
33,"Mar 19, 2020",11,1,2,1,10,1,0,0,0
34,"Mar 20, 2020",21,10,5,3,20,1,0,0,0
35,"Mar 21, 2020",21,0,4,2,20,1,0,0,0
36,"Mar 22, 2020",35,14,8,5,34,1,0,0,0
37,"Mar 23, 2020",40,5,6,5,39,1,0,0,0
38,"Mar 24, 2020",48,8,9,6,46,1,0,0,0
39,"Mar 25, 2020",57,9,7,6,55,1,0,0,0
40,"Mar 26, 2020",67,10,9,8,64,2,1,0,0
41,"Mar 27, 2020",80,13,11,9,74,2,0,1,0
42,"Mar 28, 2020",119,39,21,14,112,3,1,0,1
43,"Mar 29, 2020",139,20,24,15,132,3,0,1,0
44,"Mar 30, 2020",170,31,30,18,162,4,1,0,0
45,"Mar 31, 2020",186,16,22,20,172,6,2,1,1
46,"Apr 01, 2020",212,26,24,22,194,6,0,1,1
47,"Apr 02, 2020",233,21,21,24,214,6,0,1,0
48,"Apr 03, 2020",269,36,28,27,248,6,0,0,1
49,"Apr 04, 2020",288,19,25,24,267,6,0,0,0
50,"Apr 05, 2020",320,32,29,26,297,8,2,1,1
51,"Apr 06, 2020",350,30,27,25,323,9,1,1,1
52,"Apr 07, 2020",396,46,36,30,358,11,2,1,0
53,"Apr 08, 2020",457,61,46,35,418,12,1,2,1
54,"Apr 09, 2020",515,58,55,41,472,15,3,2,2
55,"Apr 10, 2020",564,49,56,42,498,15,0,1,1
56,"Apr 11, 2020",620,56,54,47,527,16,1,1,1
57,"Apr 12, 2020",669,49,52,50,559,18,2,1,2
58,"Apr 13, 2020",726,57,54,54,584,21,3,2,1
59,"Apr 14, 2020",766,40,48,53,613,21,0,2,2
60,"Apr 15, 2020",814,48,49,51,639,24,3,2,2
61,"Apr 16, 2020",862,48,45,49,664,27,3,2,1
62,"Apr 17, 2020",923,61,52,52,700,31,4,3,3
63,"Apr 18, 2020",986,63,58,52,727,32,1,3,2
64,"Apr 19, 2020",1035,49,57,52,746,34,2,2,2
65,"Apr 20, 2020",1087,52,55,52,766,36,2,2,2
66,"Apr 21, 2020",1137,50,50,53,790,38,2,2,3
67,"Apr 22, 2020",1189,52,52,53,808,40,2,2,2
68,"Apr 23, 2020",1235,46,49,54,827,43,3,2,2
69,"Apr 24, 2020",1285,50,49,51,820,49,6,4,3
