Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",0,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",0,0,0,0,0,0,0,0,0
21,"Mar 07, 2020",0,0,0,0,0,0,0,0,0
22,"Mar 08, 2020",0,0,0,0,0,0,0,0,0
23,"Mar 09, 2020",2,0,0,0,2,0,0,0,0
24,"Mar 10, 2020",2,0,0,0,2,0,0,0,0
25,"Mar 11, 2020",6,4,2,0,6,0,0,0,0
26,"Mar 12, 2020",10,4,3,2,10,0,0,0,0
27,"Mar 13, 2020",14,4,4,2,14,0,0,0,0
28,"Mar 14, 2020",26,12,7,4,26,0,0,0,0
29,"Mar 15, 2020",33,7,7,4,33,0,0,0,0
30,"Mar 16, 2020",46,13,11,7,46,0,0,0,0
31,"Mar 17, 2020",49,3,8,6,49,0,0,0,0
32,"Mar 18, 2020",58,9,8,8,58,0,0,0,0
33,"Mar 19, 2020",67,9,7,8,67,0,0,0,0
34,"Mar 20, 2020",75,8,9,9,75,0,0,0,0
35,"Mar 21, 2020",84,9,8,8,80,1,0,0,0
36,"Mar 22, 2020",95,11,10,9,91,1,0,0,0
37,"Mar 23, 2020",116,21,13,10,112,1,0,0,0
38,"Mar 24, 2020",124,8,14,10,118,3,2,1,0
39,"Mar 25, 2020",132,8,12,11,126,3,0,0,0
40,"Mar 26, 2020",146,14,10,11,139,3,0,1,1
41,"Mar 27, 2020",162,16,13,13,142,5,2,1,0
42,"Mar 28, 2020",179,17,15,13,159,5,0,0,1
43,"Mar 29, 2020",214,35,23,17,193,6,1,1,1
44,"Mar 30, 2020",230,16,23,17,201,7,1,1,1
45,"Mar 31, 2020",262,32,27,19,231,8,1,1,0
46,"Apr 01, 2020",320,58,36,27,283,9,1,1,1
47,"Apr 02, 2020",356,36,42,30,318,10,1,1,1
48,"Apr 03, 2020",396,40,44,34,357,11,1,1,1
49,"Apr 04, 2020",426,30,36,35,384,9,-2,0,1
50,"Apr 05, 2020",446,20,30,33,400,9,0,0,0
51,"Apr 06, 2020",465,19,23,34,411,9,0,-1,0
52,"Apr 07, 2020",494,29,22,33,438,9,0,0,0
53,"Apr 08, 2020",526,32,27,29,465,9,0,0,0
54,"Apr 09, 2020",564,38,33,30,501,10,1,0,0
55,"Apr 10, 2020",595,31,34,28,527,10,0,1,0
56,"Apr 11, 2020",616,21,30,27,545,10,0,0,0
57,"Apr 12, 2020",633,17,23,27,557,11,1,0,1
58,"Apr 13, 2020",662,29,22,28,585,12,1,1,0
59,"Apr 14, 2020",695,33,26,29,618,12,0,1,1
60,"Apr 15, 2020",715,20,28,27,638,12,0,0,0
61,"Apr 16, 2020",735,20,24,24,646,12,0,0,0
62,"Apr 17, 2020",750,15,18,23,661,12,0,0,1
63,"Apr 18, 2020",761,11,16,20,670,12,0,0,0
64,"Apr 19, 2020",767,6,10,19,674,12,0,0,0
65,"Apr 20, 2020",772,5,8,16,679,12,0,0,0
66,"Apr 21, 2020",784,12,7,13,674,12,0,0,0
67,"Apr 22, 2020",790,6,8,11,679,13,1,0,0
68,"Apr 23, 2020",795,5,8,8,684,13,0,1,0
69,"Apr 24, 2020",804,9,6,8,692,14,1,0,1
