Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",3,0,0,0,3,0,0,0,0
16,"Mar 02, 2020",3,0,1,0,3,0,0,0,0
17,"Mar 03, 2020",3,0,1,0,3,0,0,0,0
18,"Mar 04, 2020",5,2,1,1,5,0,0,0,0
19,"Mar 05, 2020",6,1,1,1,6,0,0,0,0
20,"Mar 06, 2020",9,3,2,1,9,0,0,0,0
21,"Mar 07, 2020",20,11,5,3,20,0,0,0,0
22,"Mar 08, 2020",27,7,7,3,27,0,0,0,0
23,"Mar 09, 2020",33,6,8,5,33,0,0,0,0
24,"Mar 10, 2020",39,6,6,5,39,0,0,0,0
25,"Mar 11, 2020",64,25,12,8,64,0,0,0,0
26,"Mar 12, 2020",95,31,21,13,95,0,0,0,0
27,"Mar 13, 2020",117,22,26,15,117,0,0,0,0
28,"Mar 14, 2020",142,25,26,18,142,0,0,0,0
29,"Mar 15, 2020",190,48,32,23,172,0,0,0,0
30,"Mar 16, 2020",299,109,60,38,278,0,0,0,0
31,"Mar 17, 2020",384,85,81,49,363,0,0,0,0
32,"Mar 18, 2020",451,67,87,56,430,0,0,0,0
33,"Mar 19, 2020",561,110,87,66,540,0,0,0,0
34,"Mar 20, 2020",767,206,128,93,745,0,0,0,0
35,"Mar 21, 2020",891,124,147,107,866,0,0,0,0
36,"Mar 22, 2020",1050,159,163,123,1019,1,1,0,0
37,"Mar 23, 2020",1165,115,132,124,1134,1,0,0,0
38,"Mar 24, 2020",1291,126,134,129,1255,1,0,0,0
39,"Mar 25, 2020",1476,185,142,147,1434,3,2,1,0
40,"Mar 26, 2020",1768,292,201,172,1715,10,7,3,1
41,"Mar 27, 2020",2027,259,245,180,1965,10,0,3,2
42,"Mar 28, 2020",2404,377,309,216,2325,12,2,3,1
43,"Mar 29, 2020",2667,263,300,231,2575,17,5,2,3
44,"Mar 30, 2020",2826,159,266,238,2710,23,6,4,3
45,"Mar 31, 2020",3010,184,202,245,2859,28,5,6,4
46,"Apr 01, 2020",3314,304,216,263,3135,35,7,6,4
47,"Apr 02, 2020",3597,283,257,261,3364,43,8,6,5
48,"Apr 03, 2020",3865,268,285,263,3584,49,6,7,6
49,"Apr 04, 2020",4198,333,295,256,3841,57,8,8,6
50,"Apr 05, 2020",4481,283,294,259,4068,66,9,7,7
51,"Apr 06, 2020",4598,117,245,253,4135,74,8,9,7
52,"Apr 07, 2020",4834,236,212,261,4264,82,8,8,8
53,"Apr 08, 2020",5030,196,183,245,4327,92,10,9,8
54,"Apr 09, 2020",5324,294,242,247,4491,107,15,11,9
55,"Apr 10, 2020",5581,257,249,245,4555,117,10,11,10
56,"Apr 11, 2020",5744,163,238,221,4559,128,11,12,10
57,"Apr 12, 2020",5914,170,196,204,4585,136,8,10,10
58,"Apr 13, 2020",6003,89,141,201,4553,146,10,10,10
59,"Apr 14, 2020",6071,68,109,177,4483,157,11,9,11
60,"Apr 15, 2020",6153,82,80,160,4358,166,9,10,11
61,"Apr 16, 2020",6313,160,103,141,4306,166,0,7,8
62,"Apr 17, 2020",6445,132,125,124,4158,168,2,4,7
63,"Apr 18, 2020",6561,116,136,117,3939,176,8,3,7
64,"Apr 19, 2020",6666,105,117,107,3871,180,4,5,7
65,"Apr 20, 2020",6758,92,105,108,3798,189,9,7,6
66,"Apr 21, 2020",6912,154,117,120,3703,196,7,6,5
67,"Apr 22, 2020",7045,133,126,127,3590,204,8,8,6
