Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",0,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",0,0,0,0,0,0,0,0,0
21,"Mar 07, 2020",0,0,0,0,0,0,0,0,0
22,"Mar 08, 2020",0,0,0,0,0,0,0,0,0
23,"Mar 09, 2020",0,0,0,0,0,0,0,0,0
24,"Mar 10, 2020",1,0,0,0,1,0,0,0,0
25,"Mar 11, 2020",1,0,0,0,1,0,0,0,0
26,"Mar 12, 2020",1,0,0,0,1,0,0,0,0
27,"Mar 13, 2020",2,1,0,0,2,0,0,0,0
28,"Mar 14, 2020",2,0,1,0,2,0,0,0,0
29,"Mar 15, 2020",2,0,0,0,2,0,0,0,0
30,"Mar 16, 2020",3,1,0,1,3,0,0,0,0
31,"Mar 17, 2020",3,0,1,0,3,0,0,0,0
32,"Mar 18, 2020",7,4,1,1,7,0,0,0,0
33,"Mar 19, 2020",14,7,4,2,14,0,0,0,0
34,"Mar 20, 2020",18,4,5,2,18,0,0,0,0
35,"Mar 21, 2020",23,5,5,3,22,1,0,0,0
36,"Mar 22, 2020",30,7,6,4,29,1,0,0,0
37,"Mar 23, 2020",36,6,6,5,34,2,1,0,0
38,"Mar 24, 2020",45,9,7,6,43,2,0,1,0
39,"Mar 25, 2020",48,3,6,6,46,2,0,0,0
40,"Mar 26, 2020",51,3,5,5,48,3,1,0,1
41,"Mar 27, 2020",51,0,2,5,46,3,0,1,0
42,"Mar 28, 2020",65,14,6,6,57,6,3,1,1
43,"Mar 29, 2020",81,16,10,7,71,8,2,2,1
44,"Mar 30, 2020",81,0,10,6,71,8,0,1,1
45,"Mar 31, 2020",98,17,11,8,88,8,0,1,0
46,"Apr 01, 2020",109,11,9,9,97,9,1,0,1
47,"Apr 02, 2020",134,25,18,11,118,13,4,2,2
48,"Apr 03, 2020",148,14,16,14,129,16,3,3,2
49,"Apr 04, 2020",154,6,15,13,133,18,2,3,1
50,"Apr 05, 2020",154,0,7,10,133,18,0,1,2
51,"Apr 06, 2020",161,7,4,12,138,18,0,1,1
52,"Apr 07, 2020",180,19,9,12,153,18,0,0,2
53,"Apr 08, 2020",180,0,9,10,153,18,0,0,1
54,"Apr 09, 2020",180,0,6,6,153,18,0,0,1
55,"Apr 10, 2020",223,43,14,11,187,20,2,1,0
56,"Apr 11, 2020",223,0,15,10,187,20,0,0,1
57,"Apr 12, 2020",234,11,18,11,198,20,0,1,0
58,"Apr 13, 2020",235,1,4,11,198,20,0,0,0
59,"Apr 14, 2020",241,6,6,9,201,20,0,0,0
60,"Apr 15, 2020",254,13,6,10,212,21,1,0,1
61,"Apr 16, 2020",267,13,11,13,222,22,1,1,0
62,"Apr 17, 2020",287,20,15,9,239,23,1,1,1
63,"Apr 18, 2020",307,20,18,12,256,25,2,1,1
64,"Apr 19, 2020",327,20,20,13,276,25,0,1,0
65,"Apr 20, 2020",332,5,15,14,280,25,0,1,1
66,"Apr 21, 2020",350,18,14,15,290,25,0,0,1
67,"Apr 22, 2020",359,9,11,15,289,25,0,0,0
68,"Apr 23, 2020",377,18,15,16,305,25,0,0,1
69,"Apr 24, 2020",394,17,15,15,321,25,0,0,0
