Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",1,0,0,0,1,0,0,0,0
16,"Mar 02, 2020",1,0,0,0,1,0,0,0,0
17,"Mar 03, 2020",1,0,0,0,1,0,0,0,0
18,"Mar 04, 2020",1,0,0,0,1,0,0,0,0
19,"Mar 05, 2020",1,0,0,0,1,0,0,0,0
20,"Mar 06, 2020",2,1,0,0,2,0,0,0,0
21,"Mar 07, 2020",2,0,1,0,2,0,0,0,0
22,"Mar 08, 2020",5,3,1,1,5,0,0,0,0
23,"Mar 09, 2020",5,0,1,0,5,0,0,0,0
24,"Mar 10, 2020",5,0,1,1,5,0,0,0,0
25,"Mar 11, 2020",5,0,0,1,5,0,0,0,0
26,"Mar 12, 2020",5,0,0,0,5,0,0,0,0
27,"Mar 13, 2020",5,0,0,1,5,0,0,0,0
28,"Mar 14, 2020",11,6,2,1,11,0,0,0,0
29,"Mar 15, 2020",11,0,2,1,11,0,0,0,0
30,"Mar 16, 2020",21,10,5,2,20,1,1,0,0
31,"Mar 17, 2020",21,0,4,2,20,1,0,0,0
32,"Mar 18, 2020",34,13,7,4,32,2,1,0,0
33,"Mar 19, 2020",34,0,5,5,32,2,0,1,0
34,"Mar 20, 2020",72,38,17,9,70,2,0,0,0
35,"Mar 21, 2020",112,40,26,15,109,3,1,0,1
36,"Mar 22, 2020",202,90,56,27,199,3,0,1,0
37,"Mar 23, 2020",245,43,57,32,239,3,0,0,0
38,"Mar 24, 2020",312,67,67,41,303,6,3,1,1
39,"Mar 25, 2020",392,80,63,52,379,10,4,2,1
40,"Mar 26, 2020",488,96,81,64,475,10,0,3,1
41,"Mar 27, 2020",581,93,90,73,558,20,10,4,3
42,"Mar 28, 2020",719,138,109,87,688,28,8,6,3
43,"Mar 29, 2020",859,140,124,94,817,39,11,10,6
44,"Mar 30, 2020",901,42,106,93,855,42,3,7,5
45,"Mar 31, 2020",1109,208,130,114,1053,51,9,8,7
46,"Apr 01, 2020",1284,175,142,128,1218,57,6,6,6
47,"Apr 02, 2020",1380,96,160,127,1304,60,3,6,7
48,"Apr 03, 2020",1488,108,126,130,1404,68,8,6,7
49,"Apr 04, 2020",1578,90,98,122,1484,77,9,6,7
50,"Apr 05, 2020",1745,167,122,127,1646,82,5,8,6
51,"Apr 06, 2020",1828,83,113,132,1709,86,4,6,7
52,"Apr 07, 2020",1956,128,126,121,1822,98,12,7,6
53,"Apr 08, 2020",2111,155,122,119,1953,108,10,8,8
54,"Apr 09, 2020",2349,238,174,138,2151,118,10,11,8
55,"Apr 10, 2020",2620,271,221,162,2396,126,8,9,8
56,"Apr 11, 2020",2759,139,216,168,2516,135,9,9,9
57,"Apr 12, 2020",2967,208,206,175,2663,173,38,19,13
58,"Apr 13, 2020",3167,200,182,191,2838,177,4,17,13
59,"Apr 14, 2020",3286,119,176,190,2941,183,6,16,12
60,"Apr 15, 2020",3614,328,216,215,3217,189,6,5,11
61,"Apr 16, 2020",3755,141,196,201,3344,196,7,6,11
62,"Apr 17, 2020",4126,371,280,215,3658,200,4,6,11
63,"Apr 18, 2020",4335,209,240,225,3806,217,17,9,12
64,"Apr 19, 2020",4680,345,308,245,4091,226,9,10,7
65,"Apr 20, 2020",4964,284,280,257,4313,235,9,12,9
66,"Apr 21, 2020",5044,80,236,251,4336,245,10,9,8
67,"Apr 22, 2020",5300,256,207,241,4459,260,15,12,11
