Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",1,0,0,0,1,0,0,0,0
15,"Mar 01, 2020",6,5,0,0,6,0,0,0,0
16,"Mar 02, 2020",6,0,2,1,6,0,0,0,0
17,"Mar 03, 2020",7,1,2,1,7,0,0,0,0
18,"Mar 04, 2020",10,3,2,1,10,0,0,0,0
19,"Mar 05, 2020",13,3,2,2,13,0,0,0,0
20,"Mar 06, 2020",13,0,2,2,13,0,0,0,0
21,"Mar 07, 2020",14,1,1,2,14,0,0,0,0
22,"Mar 08, 2020",14,0,1,1,14,0,0,0,0
23,"Mar 09, 2020",15,1,0,1,15,0,0,0,0
24,"Mar 10, 2020",17,2,1,2,17,0,0,0,0
25,"Mar 11, 2020",17,0,1,1,17,0,0,0,0
26,"Mar 12, 2020",17,0,1,0,17,0,0,0,0
27,"Mar 13, 2020",23,6,2,2,21,2,2,0,0
28,"Mar 14, 2020",28,5,4,2,24,4,2,1,0
29,"Mar 15, 2020",36,8,6,3,32,4,0,1,0
30,"Mar 16, 2020",56,20,11,6,52,4,0,1,1
31,"Mar 17, 2020",105,49,26,12,101,4,0,0,1
32,"Mar 18, 2020",158,53,40,20,151,6,2,1,0
33,"Mar 19, 2020",244,86,63,33,237,6,0,0,1
34,"Mar 20, 2020",398,154,98,53,383,12,6,3,2
35,"Mar 21, 2020",497,99,113,67,482,12,0,2,1
36,"Mar 22, 2020",736,239,164,100,710,23,11,6,3
37,"Mar 23, 2020",914,178,172,123,882,29,6,5,3
38,"Mar 24, 2020",1008,94,170,129,962,43,14,11,6
39,"Mar 25, 2020",1128,120,131,139,1079,46,3,7,5
40,"Mar 26, 2020",1306,178,130,151,1249,54,8,9,7
41,"Mar 27, 2020",1514,208,169,160,1446,65,11,7,8
42,"Mar 28, 2020",1696,182,189,171,1617,76,11,10,9
43,"Mar 29, 2020",1790,94,162,151,1695,92,16,13,10
44,"Mar 30, 2020",1829,39,105,130,1728,98,6,11,10
45,"Mar 31, 2020",2141,312,148,162,1964,125,27,16,11
46,"Apr 01, 2020",2565,424,258,205,2358,155,30,21,16
47,"Apr 02, 2020",2941,376,371,234,2694,189,34,30,19
48,"Apr 03, 2020",3132,191,330,231,2846,228,39,35,24
49,"Apr 04, 2020",3222,90,219,218,2863,270,42,38,27
50,"Apr 05, 2020",3390,168,150,229,3019,282,12,31,27
51,"Apr 06, 2020",3484,94,117,236,3096,299,17,24,29
52,"Apr 07, 2020",3715,231,165,225,3246,344,45,24,31
53,"Apr 08, 2020",4138,423,249,225,3635,378,34,32,32
54,"Apr 09, 2020",4617,479,378,239,3890,425,47,42,34
55,"Apr 10, 2020",6658,2041,981,504,5866,464,39,40,34
56,"Apr 11, 2020",6747,89,869,503,5889,492,28,38,31
57,"Apr 12, 2020",6941,194,775,508,5975,520,28,32,34
58,"Apr 13, 2020",7000,59,114,502,5915,554,34,30,37
59,"Apr 14, 2020",7069,69,107,479,5874,576,22,28,33
60,"Apr 15, 2020",7306,237,122,453,6006,606,30,29,33
61,"Apr 16, 2020",7647,341,216,433,6272,629,23,25,29
62,"Apr 17, 2020",7856,209,262,171,6453,657,28,27,27
63,"Apr 18, 2020",8388,532,361,234,6779,712,55,35,32
64,"Apr 19, 2020",8803,415,385,266,7119,740,28,37,31
65,"Apr 20, 2020",9416,613,520,345,7601,792,52,45,34
66,"Apr 21, 2020",9667,251,426,371,7781,812,20,33,34
67,"Apr 22, 2020",10087,420,428,398,8125,839,27,33,33
