Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",1,0,0,0,1,0,0,0,0
1,"Feb 16, 2020",1,0,0,0,1,0,0,0,0
2,"Feb 17, 2020",1,0,0,0,1,0,0,0,0
3,"Feb 18, 2020",1,0,0,0,1,0,0,0,0
4,"Feb 19, 2020",1,0,0,0,1,0,0,0,0
5,"Feb 20, 2020",1,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",1,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",1,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",1,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",1,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",1,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",1,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",1,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",1,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",1,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",2,1,0,0,1,0,0,0,0
16,"Mar 02, 2020",2,0,1,0,1,0,0,0,0
17,"Mar 03, 2020",2,0,0,0,1,0,0,0,0
18,"Mar 04, 2020",2,0,0,1,1,0,0,0,0
19,"Mar 05, 2020",3,1,0,0,2,0,0,0,0
20,"Mar 06, 2020",15,12,5,2,14,0,0,0,0
21,"Mar 07, 2020",48,33,15,7,47,0,0,0,0
22,"Mar 08, 2020",55,7,17,7,53,1,1,0,0
23,"Mar 09, 2020",59,4,15,8,57,1,0,0,0
24,"Mar 10, 2020",59,0,4,8,32,1,0,0,0
25,"Mar 11, 2020",67,8,4,10,39,1,0,0,0
26,"Mar 12, 2020",80,13,7,11,51,2,1,0,0
27,"Mar 13, 2020",93,13,11,11,64,2,0,1,0
28,"Mar 14, 2020",110,17,14,9,81,2,0,0,0
29,"Mar 15, 2020",126,16,16,10,92,2,0,0,1
30,"Mar 16, 2020",166,40,24,15,130,4,2,1,0
31,"Mar 17, 2020",196,30,29,20,164,6,2,1,1
32,"Mar 18, 2020",210,14,28,20,176,6,0,1,0
33,"Mar 19, 2020",256,46,30,25,207,7,1,1,1
34,"Mar 20, 2020",285,29,29,28,235,8,1,1,1
35,"Mar 21, 2020",294,9,28,26,242,10,2,1,1
36,"Mar 22, 2020",327,33,24,29,257,14,4,3,2
37,"Mar 23, 2020",366,39,27,28,279,19,5,3,2
38,"Mar 24, 2020",402,36,36,30,302,20,1,4,2
39,"Mar 25, 2020",456,54,43,35,340,21,1,2,2
40,"Mar 26, 2020",495,39,43,34,369,24,3,2,3
41,"Mar 27, 2020",536,41,45,36,390,30,6,3,3
42,"Mar 28, 2020",576,40,40,40,419,36,6,5,3
43,"Mar 29, 2020",609,33,38,40,437,40,4,5,4
44,"Mar 30, 2020",656,47,40,42,465,41,1,4,3
45,"Mar 31, 2020",710,54,44,44,507,46,5,3,4
46,"Apr 01, 2020",779,69,57,46,548,52,6,4,4
47,"Apr 02, 2020",865,86,70,53,606,58,6,6,5
48,"Apr 03, 2020",985,120,91,64,703,66,8,7,5
49,"Apr 04, 2020",1070,85,97,71,758,71,5,6,5
50,"Apr 05, 2020",1173,103,103,80,848,78,7,7,6
51,"Apr 06, 2020",1322,149,112,95,978,85,7,6,6
52,"Apr 07, 2020",1450,128,127,106,1080,94,9,8,7
