Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",1,0,0,0,1,0,0,0,0
13,"Feb 28, 2020",1,0,0,0,1,0,0,0,0
14,"Feb 29, 2020",1,0,0,0,1,0,0,0,0
15,"Mar 01, 2020",1,0,0,0,1,0,0,0,0
16,"Mar 02, 2020",1,0,0,0,1,0,0,0,0
17,"Mar 03, 2020",2,1,0,0,2,0,0,0,0
18,"Mar 04, 2020",2,0,1,0,2,0,0,0,0
19,"Mar 05, 2020",5,3,1,1,5,0,0,0,0
20,"Mar 06, 2020",10,5,3,1,10,0,0,0,0
21,"Mar 07, 2020",10,0,2,1,10,0,0,0,0
22,"Mar 08, 2020",10,0,2,2,10,0,0,0,0
23,"Mar 09, 2020",10,0,0,1,10,0,0,0,0
24,"Mar 10, 2020",13,3,1,2,13,0,0,0,0
25,"Mar 11, 2020",16,3,2,2,16,0,0,0,0
26,"Mar 12, 2020",27,11,6,3,27,0,0,0,0
27,"Mar 13, 2020",79,52,22,10,79,0,0,0,0
28,"Mar 14, 2020",115,36,33,15,115,0,0,0,0
29,"Mar 15, 2020",171,56,48,23,170,0,0,0,0
30,"Mar 16, 2020",205,34,42,27,204,0,0,0,0
31,"Mar 17, 2020",225,20,36,31,224,0,0,0,0
32,"Mar 18, 2020",258,33,29,34,257,0,0,0,0
33,"Mar 19, 2020",267,9,21,35,266,0,0,0,0
34,"Mar 20, 2020",283,16,19,29,282,0,0,0,0
35,"Mar 21, 2020",306,23,16,27,304,0,0,0,0
36,"Mar 22, 2020",326,20,20,22,322,0,0,0,0
37,"Mar 23, 2020",352,26,23,21,348,0,0,0,0
38,"Mar 24, 2020",369,17,21,21,362,0,0,0,0
39,"Mar 25, 2020",404,35,26,21,395,1,1,0,0
40,"Mar 26, 2020",538,134,62,38,529,1,0,0,0
41,"Mar 27, 2020",575,37,69,42,563,1,0,0,0
42,"Mar 28, 2020",645,70,80,48,624,1,0,0,0
43,"Mar 29, 2020",679,34,47,51,656,3,2,1,0
44,"Mar 30, 2020",715,36,47,52,692,3,0,0,0
45,"Mar 31, 2020",745,30,33,53,715,4,1,1,1
46,"Apr 01, 2020",779,34,33,54,741,5,1,1,1
47,"Apr 02, 2020",858,79,48,46,802,11,6,3,1
48,"Apr 03, 2020",961,103,72,55,901,12,1,2,2
49,"Apr 04, 2020",1039,78,87,56,967,13,1,3,1
50,"Apr 05, 2020",1097,58,79,60,1020,15,2,1,2
51,"Apr 06, 2020",1108,11,49,56,1027,19,4,3,2
52,"Apr 07, 2020",1149,41,37,58,1059,21,2,2,3
53,"Apr 08, 2020",1185,36,29,58,1089,24,3,3,2
54,"Apr 09, 2020",1207,22,33,50,1100,24,0,2,2
55,"Apr 10, 2020",1258,51,37,42,1141,24,0,1,2
56,"Apr 11, 2020",1304,46,39,38,1187,24,0,0,2
57,"Apr 12, 2020",1309,5,34,30,1186,25,1,0,1
58,"Apr 13, 2020",1332,23,25,32,1202,28,3,2,1
59,"Apr 14, 2020",1373,41,23,32,1227,31,3,2,2
60,"Apr 15, 2020",1400,27,30,31,1248,35,4,3,1
61,"Apr 16, 2020",1434,34,34,32,1265,36,1,3,2
62,"Apr 17, 2020",1459,25,29,29,1276,38,2,2,2
63,"Apr 18, 2020",1512,53,37,30,1312,38,0,1,2
64,"Apr 19, 2020",1528,16,32,31,1324,40,2,2,2
65,"Apr 20, 2020",1535,7,25,29,1330,40,0,0,2
66,"Apr 21, 2020",1552,17,13,26,1340,43,3,2,2
67,"Apr 22, 2020",1559,7,11,22,1331,44,1,1,1
68,"Apr 23, 2020",1592,33,19,23,1355,45,1,2,1
