Days,Date,0_CurrentlyInfected,1_DeathRate,2_RecoveryRate,3_Cases,4_DailyCases,5_DailyCases- 3-daymovingaverage,6_DailyCases- 7-daymovingaverage,7_CurrentlyInfected,8_Deaths,9_DailyDeaths,10_DailyDeaths- 3-daymovingaverage,11_DailyDeaths- 7-daymovingaverage,12_NewRecoveries,13_NewCases,14_DeathRate,15_RecoveryRate
0,"Feb 15, 2020",0,0.000,100.000,1,0,0,0,0,0,0,0,0,0,0,0.000,100.000
1,"Feb 16, 2020",0,0.000,100.000,1,0,0,0,0,0,0,0,0,0,0,0.000,100.000
2,"Feb 17, 2020",0,0.000,100.000,1,0,0,0,0,0,0,0,0,0,0,0.000,100.000
3,"Feb 18, 2020",0,0.000,100.000,1,0,0,0,0,0,0,0,0,0,0,0.000,100.000
4,"Feb 19, 2020",0,0.000,100.000,1,0,0,0,0,0,0,0,0,0,0,0.000,100.000
5,"Feb 20, 2020",0,0.000,100.000,1,0,0,0,0,0,0,0,0,0,0,0.000,100.000
6,"Feb 21, 2020",0,0.000,100.000,1,0,0,0,0,0,0,0,0,0,0,0.000,100.000
7,"Feb 22, 2020",0,0.000,100.000,1,0,0,0,0,0,0,0,0,0,0,0.000,100.000
8,"Feb 23, 2020",0,0.000,100.000,1,0,0,0,0,0,0,0,0,0,0,0.000,100.000
9,"Feb 24, 2020",0,0.000,100.000,1,0,0,0,0,0,0,0,0,0,0,0.000,100.000
10,"Feb 25, 2020",0,0.000,100.000,1,0,0,0,0,0,0,0,0,0,0,0.000,100.000
11,"Feb 26, 2020",1,0.000,100.000,2,1,0,0,1,0,0,0,0,0,1,0.000,100.000
12,"Feb 27, 2020",1,0.000,100.000,2,0,1,0,1,0,0,0,0,0,0,0.000,100.000
13,"Feb 28, 2020",2,0.000,100.000,3,1,0,1,2,0,0,0,0,0,1,0.000,100.000
14,"Feb 29, 2020",2,0.000,100.000,3,0,1,0,2,0,0,0,0,0,0,0.000,100.000
15,"Mar 01, 2020",5,0.000,100.000,6,3,1,1,5,0,0,0,0,0,3,0.000,100.000
16,"Mar 02, 2020",6,0.000,100.000,7,1,1,0,6,0,0,0,0,0,1,0.000,100.000
17,"Mar 03, 2020",6,0.000,100.000,7,0,2,1,6,0,0,0,0,0,0,0.000,100.000
18,"Mar 04, 2020",6,0.000,100.000,7,0,0,1,6,0,0,0,0,0,0,0.000,100.000
19,"Mar 05, 2020",11,0.000,100.000,12,5,2,1,11,0,0,0,0,0,5,0.000,100.000
20,"Mar 06, 2020",14,0.000,100.000,15,3,2,2,14,0,0,0,0,0,3,0.000,100.000
21,"Mar 07, 2020",18,0.000,100.000,19,4,4,2,18,0,0,0,0,0,4,0.000,100.000
22,"Mar 08, 2020",24,0.000,100.000,25,6,5,3,24,0,0,0,0,0,6,0.000,100.000
23,"Mar 09, 2020",32,0.000,100.000,33,8,6,4,32,0,0,0,0,0,8,0.000,100.000
24,"Mar 10, 2020",39,0.000,100.000,40,7,7,5,39,0,0,0,0,0,7,0.000,100.000
25,"Mar 11, 2020",64,0.000,100.000,65,25,13,8,64,0,0,0,0,0,25,0.000,100.000
26,"Mar 12, 2020",108,0.000,100.000,109,44,25,14,108,0,0,0,0,0,44,0.000,100.000
27,"Mar 13, 2020",154,0.000,100.000,155,46,39,20,154,0,0,0,0,0,46,0.000,100.000
28,"Mar 14, 2020",215,0.000,100.000,225,70,53,29,215,0,0,0,0,9,70,0.000,100.000
29,"Mar 15, 2020",234,0.000,100.000,244,19,45,31,234,0,0,0,0,0,19,0.000,100.000
30,"Mar 16, 2020",268,0.000,100.000,278,34,41,35,268,0,0,0,0,0,34,0.000,100.000
31,"Mar 17, 2020",312,0.000,100.000,322,44,32,41,312,0,0,0,0,0,44,0.000,100.000
32,"Mar 18, 2020",349,0.000,100.000,359,37,39,42,349,0,0,0,0,0,37,0.000,100.000
33,"Mar 19, 2020",390,0.000,100.000,400,41,40,41,390,0,0,0,0,0,41,0.000,100.000
34,"Mar 20, 2020",440,0.000,100.000,450,50,43,42,440,0,0,0,0,0,50,0.000,100.000
35,"Mar 21, 2020",512,9.090,90.910,523,73,55,43,512,1,1,0,0,0,73,9.090,90.910
36,"Mar 22, 2020",615,9.090,90.910,626,103,75,55,615,1,0,0,0,0,103,9.090,90.910
37,"Mar 23, 2020",689,9.090,90.910,700,74,83,60,689,1,0,0,0,0,74,9.090,90.910
