Days,Date,0_CurrentlyInfected,1_DeathRate,2_RecoveryRate,3_Cases,4_DailyCases,5_DailyCases- 3-daymovingaverage,6_DailyCases- 7-daymovingaverage,7_CurrentlyInfected,8_Deaths,9_DailyDeaths,10_DailyDeaths- 3-daymovingaverage,11_DailyDeaths- 7-daymovingaverage,12_NewRecoveries,13_NewCases,14_DeathRate,15_RecoveryRate
0,"Feb 15, 2020",7,20.000,80.000,12,0,0,0,7,1,0,0,0,0,0,20.000,80.000
1,"Feb 16, 2020",7,20.000,80.000,12,0,1,0,7,1,0,-4,-2,0,0,20.000,80.000
2,"Feb 17, 2020",6,16.670,83.330,12,0,0,0,6,1,0,-3,-1,1,0,16.670,83.330
3,"Feb 18, 2020",4,12.500,87.500,12,0,0,1,4,1,0,0,-2,2,0,12.500,87.500
4,"Feb 19, 2020",4,12.500,87.500,12,0,0,0,4,1,0,0,-1,0,0,12.500,87.500
5,"Feb 20, 2020",4,12.500,87.500,12,0,0,0,4,1,0,0,-2,0,0,12.500,87.500
6,"Feb 21, 2020",4,12.500,87.500,12,0,0,0,4,1,0,0,-1,0,0,12.500,87.500
7,"Feb 22, 2020",1,9.090,90.910,12,0,0,0,1,1,0,0,0,3,0,9.090,90.910
8,"Feb 23, 2020",1,9.090,90.910,12,0,0,0,1,1,0,0,0,0,0,9.090,90.910
9,"Feb 24, 2020",0,8.330,91.670,12,0,0,0,0,1,0,0,0,1,0,8.330,91.670
10,"Feb 25, 2020",2,8.330,91.670,14,2,1,0,2,1,0,0,0,0,2,8.330,91.670
11,"Feb 26, 2020",5,15.380,84.620,18,4,2,1,5,2,1,0,0,0,4,15.380,84.620
12,"Feb 27, 2020",25,15.380,84.620,38,20,8,4,25,2,0,1,0,0,20,15.380,84.620
13,"Feb 28, 2020",44,15.380,84.620,57,19,15,6,44,2,0,0,0,0,19,15.380,84.620
14,"Feb 29, 2020",86,14.290,85.710,100,43,27,13,86,2,0,0,1,1,43,14.290,85.710
15,"Mar 01, 2020",116,14.290,85.710,130,30,31,17,116,2,0,0,0,0,30,14.290,85.710
16,"Mar 02, 2020",176,20.000,80.000,191,61,44,25,176,3,1,0,0,0,61,20.000,80.000
17,"Mar 03, 2020",196,25.000,75.000,212,21,38,29,196,4,1,1,0,0,21,25.000,75.000
18,"Mar 04, 2020",269,25.000,75.000,285,73,51,38,269,4,0,1,1,0,73,25.000,75.000
19,"Mar 05, 2020",404,36.840,63.160,423,138,78,55,404,7,3,1,0,0,138,36.840,63.160
20,"Mar 06, 2020",632,42.860,57.140,653,230,147,85,632,9,2,2,1,0,230,42.860,57.140
21,"Mar 07, 2020",921,57.140,42.860,949,296,221,121,921,16,7,4,2,0,296,57.140,42.860
22,"Mar 08, 2020",1178,61.290,38.710,1209,260,262,154,1178,19,3,4,3,0,260,61.290,38.710
23,"Mar 09, 2020",1370,71.430,28.570,1412,203,253,175,1370,30,11,7,4,0,203,71.430,28.570
24,"Mar 10, 2020",1739,73.330,26.670,1784,372,278,224,1739,33,3,5,4,0,372,73.330,26.670
25,"Mar 11, 2020",2221,80.000,20.000,2281,497,358,285,2221,48,15,10,6,0,497,80.000,20.000
26,"Mar 12, 2020",2803,83.560,16.440,2876,595,488,351,2803,61,13,10,8,0,595,83.560,16.440
27,"Mar 13, 2020",3570,86.810,13.190,3661,785,625,430,3570,79,18,16,10,0,785,86.810,13.190
28,"Mar 14, 2020",4396,88.350,11.650,4499,838,740,507,4396,91,12,14,11,0,838,88.350,11.650
29,"Mar 15, 2020",5284,91.370,8.630,5423,924,849,602,5284,127,36,22,15,0,924,91.370,8.630
30,"Mar 16, 2020",6473,92.500,7.500,6633,1210,990,746,6473,148,21,23,17,0,1210,92.500,7.500
31,"Mar 17, 2020",6953,22.520,77.480,7730,1097,1077,849,6953,175,27,28,20,590,1097,22.520,77.480
32,"Mar 18, 2020",8268,30.480,69.520,9134,1404,1237,979,8268,264,89,46,31,0,1404,30.480,69.520
33,"Mar 19, 2020",9328,22.320,77.680,10995,1861,1454,1160,9328,372,108,74,44,693,1861,22.320,77.680
34,"Mar 20, 2020",10575,22.090,77.910,12612,1617,1628,1279,10575,450,78,92,53,292,1617,22.090,77.910
35,"Mar 21, 2020",12310,26.150,73.850,14459,1847,1775,1422,12310,562,112,99,68,0,1847,26.150,73.850
36,"Mar 22, 2020",13144,23.450,76.550,16018,1559,1674,1514,13144,674,112,101,78,613,1559,23.450,76.550
