Days,Date,0_CurrentlyInfected,1_DeathRate,2_RecoveryRate,3_Cases,4_DailyCases,5_DailyCases- 3-daymovingaverage,6_DailyCases- 7-daymovingaverage,7_CurrentlyInfected,8_Deaths,9_DailyDeaths,10_DailyDeaths- 3-daymovingaverage,11_DailyDeaths- 7-daymovingaverage,12_NewRecoveries,13_NewCases,14_DeathRate,15_RecoveryRate
0,"Feb 15, 2020",13,0.000,100.000,16,0,0,0,13,0,0,0,0,0,0,0.000,100.000
1,"Feb 16, 2020",13,0.000,100.000,16,0,0,1,13,0,0,0,0,0,0,0.000,100.000
2,"Feb 17, 2020",9,0.000,100.000,16,0,0,0,9,0,0,0,0,4,0,0.000,100.000
3,"Feb 18, 2020",7,0.000,100.000,16,0,0,0,7,0,0,0,0,2,0,0.000,100.000
4,"Feb 19, 2020",7,0.000,100.000,16,0,0,0,7,0,0,0,0,0,0,0.000,100.000
5,"Feb 20, 2020",3,0.000,100.000,16,0,0,0,3,0,0,0,0,4,0,0.000,100.000
6,"Feb 21, 2020",2,0.000,100.000,16,0,0,0,2,0,0,0,0,1,0,0.000,100.000
7,"Feb 22, 2020",2,0.000,100.000,16,0,0,0,2,0,0,0,0,0,0,0.000,100.000
8,"Feb 23, 2020",2,0.000,100.000,16,0,0,0,2,0,0,0,0,0,0,0.000,100.000
9,"Feb 24, 2020",2,0.000,100.000,16,0,0,0,2,0,0,0,0,0,0,0.000,100.000
10,"Feb 25, 2020",3,0.000,100.000,18,2,1,0,3,0,0,0,0,1,2,0.000,100.000
11,"Feb 26, 2020",11,0.000,100.000,26,8,3,2,11,0,0,0,0,0,8,0.000,100.000
12,"Feb 27, 2020",32,0.000,100.000,48,22,11,4,32,0,0,0,0,1,22,0.000,100.000
13,"Feb 28, 2020",58,0.000,100.000,74,26,18,9,58,0,0,0,0,0,26,0.000,100.000
14,"Feb 29, 2020",63,0.000,100.000,79,5,18,9,63,0,0,0,0,0,5,0.000,100.000
15,"Mar 01, 2020",114,0.000,100.000,130,51,27,16,114,0,0,0,0,0,51,0.000,100.000
16,"Mar 02, 2020",149,0.000,100.000,165,35,31,21,149,0,0,0,0,0,35,0.000,100.000
17,"Mar 03, 2020",187,0.000,100.000,203,38,41,27,187,0,0,0,0,0,38,0.000,100.000
18,"Mar 04, 2020",246,0.000,100.000,262,59,44,33,246,0,0,0,0,0,59,0.000,100.000
19,"Mar 05, 2020",528,0.000,100.000,545,283,127,71,528,0,0,0,0,1,283,0.000,100.000
20,"Mar 06, 2020",652,0.000,100.000,670,125,155,85,652,0,0,0,0,1,125,0.000,100.000
21,"Mar 07, 2020",782,0.000,100.000,800,130,180,103,782,0,0,0,0,0,130,0.000,100.000
22,"Mar 08, 2020",1022,0.000,100.000,1040,240,165,130,1022,0,0,0,0,0,240,0.000,100.000
