Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",1,0,0,0,1,0,0,0,0
12,"Feb 27, 2020",3,2,0,0,3,0,0,0,0
13,"Feb 28, 2020",4,1,2,0,4,0,0,0,0
14,"Feb 29, 2020",7,3,2,1,7,0,0,0,0
15,"Mar 01, 2020",7,0,1,1,7,0,0,0,0
16,"Mar 02, 2020",7,0,1,1,7,0,0,0,0
17,"Mar 03, 2020",7,0,0,1,7,0,0,0,0
18,"Mar 04, 2020",9,2,1,1,9,0,0,0,0
19,"Mar 05, 2020",31,22,8,4,31,0,0,0,0
20,"Mar 06, 2020",45,14,12,6,45,0,0,0,0
21,"Mar 07, 2020",66,21,19,9,66,0,0,0,0
22,"Mar 08, 2020",73,7,14,9,73,0,0,0,0
23,"Mar 09, 2020",84,11,13,11,84,0,0,0,0
24,"Mar 10, 2020",89,5,8,12,89,0,0,0,0
25,"Mar 11, 2020",99,10,9,13,99,0,0,0,0
26,"Mar 12, 2020",117,18,11,12,116,1,1,0,0
27,"Mar 13, 2020",190,73,33,21,182,1,0,0,0
28,"Mar 14, 2020",228,38,43,23,218,3,2,1,0
29,"Mar 15, 2020",331,103,72,37,320,4,1,1,0
30,"Mar 16, 2020",352,21,54,38,339,4,0,1,1
31,"Mar 17, 2020",387,35,53,42,351,5,1,0,1
32,"Mar 18, 2020",418,31,29,46,368,5,0,1,0
33,"Mar 19, 2020",464,46,37,50,392,6,1,0,1
34,"Mar 20, 2020",495,31,36,43,412,10,4,2,1
35,"Mar 21, 2020",530,35,37,43,433,13,3,3,2
36,"Mar 22, 2020",624,94,54,42,521,15,2,3,1
37,"Mar 23, 2020",695,71,66,49,580,17,2,2,2
38,"Mar 24, 2020",743,48,71,51,609,20,3,2,2
39,"Mar 25, 2020",821,78,66,58,613,22,2,3,3
40,"Mar 26, 2020",892,71,66,61,641,27,5,3,3
41,"Mar 27, 2020",966,74,74,67,612,28,1,3,2
42,"Mar 28, 2020",1061,95,80,76,682,32,4,3,3
43,"Mar 29, 2020",1156,95,88,76,736,39,7,4,3
44,"Mar 30, 2020",1212,56,82,74,758,46,7,6,5
45,"Mar 31, 2020",1314,102,84,81,814,49,3,6,4
46,"Apr 01, 2020",1415,101,87,85,884,51,2,4,4
47,"Apr 02, 2020",1544,129,110,93,978,53,2,2,4
48,"Apr 03, 2020",1613,69,100,93,946,63,10,5,5
49,"Apr 04, 2020",1673,60,86,87,932,68,5,5,5
50,"Apr 05, 2020",1735,62,64,83,946,73,5,7,5
51,"Apr 06, 2020",1755,20,47,77,883,79,6,5,4
52,"Apr 07, 2020",1832,77,53,74,891,81,2,5,5
53,"Apr 08, 2020",1884,52,50,67,874,83,2,3,4
54,"Apr 09, 2020",1955,71,66,59,853,87,4,3,5
55,"Apr 10, 2020",2011,56,60,57,812,92,5,3,4
56,"Apr 11, 2020",2081,70,66,58,827,93,1,4,4
57,"Apr 12, 2020",2114,33,53,54,755,98,5,3,4
58,"Apr 13, 2020",2145,31,44,56,694,99,1,3,2
59,"Apr 14, 2020",2170,25,30,48,593,101,2,2,3
60,"Apr 15, 2020",2192,22,26,44,550,102,1,2,3
61,"Apr 16, 2020",2207,15,21,36,508,105,3,2,3
62,"Apr 17, 2020",2224,17,18,31,462,108,3,2,2
63,"Apr 18, 2020",2235,11,14,22,453,110,2,3,2
64,"Apr 19, 2020",2235,0,9,17,377,113,3,2,2
65,"Apr 20, 2020",2245,10,7,14,337,116,3,3,3
66,"Apr 21, 2020",2401,156,56,33,418,121,5,4,3
67,"Apr 22, 2020",2408,7,57,31,374,121,0,2,2
68,"Apr 23, 2020",2463,55,73,37,356,125,4,3,3
