Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",0,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",0,0,0,0,0,0,0,0,0
21,"Mar 07, 2020",0,0,0,0,0,0,0,0,0
22,"Mar 08, 2020",0,0,0,0,0,0,0,0,0
23,"Mar 09, 2020",0,0,0,0,0,0,0,0,0
24,"Mar 10, 2020",0,0,0,0,0,0,0,0,0
25,"Mar 11, 2020",0,0,0,0,0,0,0,0,0
26,"Mar 12, 2020",0,0,0,0,0,0,0,0,0
27,"Mar 13, 2020",1,0,0,0,1,0,0,0,0
28,"Mar 14, 2020",1,0,0,0,1,0,0,0,0
29,"Mar 15, 2020",1,0,0,0,0,1,0,0,0
30,"Mar 16, 2020",8,7,2,0,7,1,0,0,0
31,"Mar 17, 2020",8,0,3,1,7,1,0,0,0
32,"Mar 18, 2020",8,0,2,1,7,1,0,0,0
33,"Mar 19, 2020",9,1,0,1,8,1,0,0,0
34,"Mar 20, 2020",12,3,2,2,11,1,0,0,0
35,"Mar 21, 2020",17,5,3,2,16,1,0,0,0
36,"Mar 22, 2020",19,2,3,3,18,1,0,0,0
37,"Mar 23, 2020",20,1,3,1,19,1,0,0,0
38,"Mar 24, 2020",21,1,1,2,20,1,0,0,0
39,"Mar 25, 2020",24,3,2,2,19,1,0,0,0
40,"Mar 26, 2020",25,1,1,3,20,1,0,0,0
41,"Mar 27, 2020",28,3,3,2,23,1,0,0,0
42,"Mar 28, 2020",34,6,3,2,23,1,0,0,0
43,"Mar 29, 2020",34,0,3,3,23,1,0,0,0
44,"Mar 30, 2020",36,2,3,2,25,1,0,0,0
45,"Mar 31, 2020",38,2,1,2,25,1,0,0,0
46,"Apr 01, 2020",39,1,2,2,26,1,0,0,0
47,"Apr 02, 2020",47,8,3,4,34,1,0,0,0
48,"Apr 03, 2020",50,3,4,3,37,1,0,0,0
49,"Apr 04, 2020",61,11,8,4,44,2,1,0,0
50,"Apr 05, 2020",70,9,7,5,52,3,1,1,0
51,"Apr 06, 2020",70,0,7,5,52,3,0,1,1
52,"Apr 07, 2020",77,7,5,5,57,3,0,0,0
53,"Apr 08, 2020",87,10,6,7,67,3,0,0,0
54,"Apr 09, 2020",95,8,8,7,75,3,0,0,1
55,"Apr 10, 2020",126,31,17,11,106,3,0,0,0
56,"Apr 11, 2020",137,11,16,11,115,3,0,0,0
57,"Apr 12, 2020",155,18,20,12,131,5,2,1,0
58,"Apr 13, 2020",156,1,10,12,132,5,0,0,1
59,"Apr 14, 2020",167,11,10,13,143,5,0,1,0
60,"Apr 15, 2020",180,13,9,13,156,5,0,0,0
61,"Apr 16, 2020",196,16,13,15,172,5,0,0,0
62,"Apr 17, 2020",214,18,16,12,186,7,2,1,1
63,"Apr 18, 2020",235,21,18,14,207,7,0,0,1
64,"Apr 19, 2020",257,22,20,15,229,7,0,1,0
65,"Apr 20, 2020",289,32,25,19,261,7,0,0,0
66,"Apr 21, 2020",294,5,20,18,263,7,0,0,0
67,"Apr 22, 2020",316,22,20,19,284,8,1,0,1
68,"Apr 23, 2020",342,26,17,21,307,10,2,1,1
69,"Apr 24, 2020",384,42,30,24,343,11,1,2,0
