Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",0,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",0,0,0,0,0,0,0,0,0
21,"Mar 07, 2020",0,0,0,0,0,0,0,0,0
22,"Mar 08, 2020",0,0,0,0,0,0,0,0,0
23,"Mar 09, 2020",0,0,0,0,0,0,0,0,0
24,"Mar 10, 2020",0,0,0,0,0,0,0,0,0
25,"Mar 11, 2020",2,0,0,0,2,0,0,0,0
26,"Mar 12, 2020",2,0,0,0,2,0,0,0,0
27,"Mar 13, 2020",2,0,1,0,2,0,0,0,0
28,"Mar 14, 2020",3,1,0,0,3,0,0,0,0
29,"Mar 15, 2020",3,0,1,1,3,0,0,0,0
30,"Mar 16, 2020",6,3,1,1,6,0,0,0,0
31,"Mar 17, 2020",8,2,2,1,8,0,0,0,0
32,"Mar 18, 2020",9,1,2,1,9,0,0,0,0
33,"Mar 19, 2020",12,3,2,1,12,0,0,0,0
34,"Mar 20, 2020",24,12,5,3,24,0,0,0,0
35,"Mar 21, 2020",24,0,5,3,24,0,0,0,0
36,"Mar 22, 2020",26,2,5,4,26,0,0,0,0
37,"Mar 23, 2020",30,4,2,3,30,0,0,0,0
38,"Mar 24, 2020",30,0,2,3,30,0,0,0,0
39,"Mar 25, 2020",52,22,8,6,52,0,0,0,0
40,"Mar 26, 2020",67,15,13,8,66,1,0,0,0
41,"Mar 27, 2020",68,1,12,6,67,1,0,0,0
42,"Mar 28, 2020",95,27,15,11,91,1,0,0,0
43,"Mar 29, 2020",110,15,14,12,104,3,2,1,0
44,"Mar 30, 2020",139,29,24,15,129,7,4,2,1
45,"Mar 31, 2020",141,2,15,16,131,7,0,2,1
46,"Apr 01, 2020",172,31,21,17,159,10,3,2,1
47,"Apr 02, 2020",219,47,26,22,202,14,4,2,2
48,"Apr 03, 2020",222,3,27,22,204,15,1,3,2
49,"Apr 04, 2020",264,42,31,24,246,15,0,2,2
50,"Apr 05, 2020",268,4,16,23,240,22,7,2,3
51,"Apr 06, 2020",298,30,26,22,270,22,0,3,2
52,"Apr 07, 2020",305,7,13,24,277,22,0,2,2
53,"Apr 08, 2020",312,7,15,20,284,22,0,0,2
54,"Apr 09, 2020",343,31,15,17,314,23,1,0,1
55,"Apr 10, 2020",382,39,26,23,352,23,0,1,1
56,"Apr 11, 2020",392,10,26,19,361,24,1,0,2
57,"Apr 12, 2020",393,1,17,17,361,25,1,1,0
58,"Apr 13, 2020",397,4,5,15,365,25,0,1,0
59,"Apr 14, 2020",407,10,5,14,374,26,1,0,1
60,"Apr 15, 2020",419,12,9,15,379,31,5,2,1
61,"Apr 16, 2020",426,7,9,12,382,35,4,4,2
62,"Apr 17, 2020",442,16,12,9,391,41,6,5,3
63,"Apr 18, 2020",457,15,13,9,401,46,5,5,3
64,"Apr 19, 2020",472,15,15,11,411,46,0,3,3
65,"Apr 20, 2020",477,5,12,12,406,46,0,2,3
66,"Apr 21, 2020",494,17,12,12,419,46,0,0,3
67,"Apr 22, 2020",510,16,13,13,434,46,0,0,2
68,"Apr 23, 2020",519,9,14,14,441,47,1,0,1
69,"Apr 24, 2020",562,43,22,17,465,47,0,1,1
