Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",2,0,0,0,2,0,0,0,0
19,"Mar 05, 2020",4,2,1,0,4,0,0,0,0
20,"Mar 06, 2020",4,0,1,0,4,0,0,0,0
21,"Mar 07, 2020",5,1,1,1,5,0,0,0,0
22,"Mar 08, 2020",7,2,1,1,7,0,0,0,0
23,"Mar 09, 2020",9,2,2,1,9,0,0,0,0
24,"Mar 10, 2020",12,3,2,2,12,0,0,0,0
25,"Mar 11, 2020",13,1,2,2,13,0,0,0,0
26,"Mar 12, 2020",16,3,3,1,16,0,0,0,0
27,"Mar 13, 2020",19,3,2,3,18,0,0,0,0
28,"Mar 14, 2020",30,11,6,3,29,0,0,0,0
29,"Mar 15, 2020",32,2,5,4,30,1,0,0,0
30,"Mar 16, 2020",39,7,7,4,36,1,0,0,0
31,"Mar 17, 2020",50,11,6,5,47,1,0,0,0
32,"Mar 18, 2020",58,8,9,7,55,1,0,0,0
33,"Mar 19, 2020",73,15,11,8,70,1,0,0,0
34,"Mar 20, 2020",85,12,12,9,74,4,3,1,0
35,"Mar 21, 2020",103,18,15,11,92,4,0,1,1
36,"Mar 22, 2020",131,28,19,14,109,6,2,2,1
37,"Mar 23, 2020",167,36,28,18,138,8,2,1,1
38,"Mar 24, 2020",187,20,28,20,157,9,1,2,1
39,"Mar 25, 2020",226,39,31,24,195,10,1,1,1
40,"Mar 26, 2020",261,35,32,27,223,10,0,1,1
41,"Mar 27, 2020",300,39,37,30,256,10,0,0,1
42,"Mar 28, 2020",343,43,39,35,298,11,1,0,1
43,"Mar 29, 2020",408,65,49,39,361,13,2,1,1
44,"Mar 30, 2020",447,39,49,40,398,15,2,2,1
45,"Mar 31, 2020",492,45,50,44,439,16,1,2,1
46,"Apr 01, 2020",525,33,39,43,465,20,4,2,2
47,"Apr 02, 2020",585,60,46,46,522,21,1,2,1
48,"Apr 03, 2020",623,38,44,46,554,26,5,3,2
49,"Apr 04, 2020",678,55,51,48,588,32,6,4,3
50,"Apr 05, 2020",733,55,49,46,633,34,2,5,3
51,"Apr 06, 2020",744,11,40,43,639,38,4,4,4
52,"Apr 07, 2020",817,73,47,46,699,47,9,5,4
53,"Apr 08, 2020",895,78,54,53,743,58,11,8,6
54,"Apr 09, 2020",980,85,78,56,818,66,8,9,6
55,"Apr 10, 2020",1190,210,125,81,1001,77,11,10,7
56,"Apr 11, 2020",1310,120,138,91,1110,85,8,9,8
57,"Apr 12, 2020",1410,100,143,96,1193,99,14,11,9
58,"Apr 13, 2020",1458,48,90,102,1229,109,10,11,10
59,"Apr 14, 2020",1512,54,67,100,1268,122,13,12,11
60,"Apr 15, 2020",1579,67,56,97,1253,134,12,12,11
61,"Apr 16, 2020",1652,73,65,96,1311,142,8,11,11
62,"Apr 17, 2020",1763,111,84,82,1400,156,14,11,11
63,"Apr 18, 2020",1834,71,85,75,1431,172,16,13,12
64,"Apr 19, 2020",1916,82,88,72,1477,189,17,15,13
65,"Apr 20, 2020",1984,68,73,76,1518,199,10,15,13
66,"Apr 21, 2020",2098,114,88,83,1598,213,14,13,13
67,"Apr 22, 2020",2168,70,84,84,1648,225,12,12,13
68,"Apr 23, 2020",2284,116,100,91,1655,239,14,14,14
