Days,Date,0_CurrentlyInfected,1_DeathRate,2_RecoveryRate,3_Cases,4_DailyCases,5_DailyCases- 3-daymovingaverage,6_DailyCases- 7-daymovingaverage,7_CurrentlyInfected,8_Deaths,9_DailyDeaths,10_DailyDeaths- 3-daymovingaverage,11_DailyDeaths- 7-daymovingaverage,12_NewRecoveries,13_NewCases,14_DeathRate,15_RecoveryRate
0,"Feb 15, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
1,"Feb 16, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
2,"Feb 17, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
3,"Feb 18, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
4,"Feb 19, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
5,"Feb 20, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
6,"Feb 21, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
7,"Feb 22, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
8,"Feb 23, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
9,"Feb 24, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
10,"Feb 25, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
11,"Feb 26, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
12,"Feb 27, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
13,"Feb 28, 2020",1,0.000,0.000,1,0,0,0,1,0,0,0,0,0,0,0.000,0.000
14,"Feb 29, 2020",1,0.000,0.000,1,0,0,0,1,0,0,0,0,0,0,0.000,0.000
15,"Mar 01, 2020",3,0.000,0.000,3,2,1,0,3,0,0,0,0,0,2,0.000,0.000
16,"Mar 02, 2020",9,0.000,0.000,9,6,2,1,9,0,0,0,0,0,6,0.000,0.000
17,"Mar 03, 2020",13,0.000,100.000,14,5,5,2,13,0,0,0,0,1,5,0.000,100.000
18,"Mar 04, 2020",25,0.000,100.000,26,12,7,4,25,0,0,0,0,0,12,0.000,100.000
19,"Mar 05, 2020",36,0.000,100.000,37,11,10,5,36,0,0,0,0,0,11,0.000,100.000
20,"Mar 06, 2020",44,0.000,100.000,45,8,10,6,44,0,0,0,0,0,8,0.000,100.000
21,"Mar 07, 2020",49,0.000,100.000,50,5,8,7,49,0,0,0,0,0,5,0.000,100.000
22,"Mar 08, 2020",57,0.000,100.000,58,8,7,8,57,0,0,0,0,0,8,0.000,100.000
23,"Mar 09, 2020",64,0.000,100.000,65,7,7,8,64,0,0,0,0,0,7,0.000,100.000
24,"Mar 10, 2020",80,0.000,100.000,81,16,10,10,80,0,0,0,0,0,16,0.000,100.000
25,"Mar 11, 2020",84,0.000,100.000,85,4,9,8,84,0,0,0,0,0,4,0.000,100.000
26,"Mar 12, 2020",116,0.000,100.000,117,32,17,12,116,0,0,0,0,0,32,0.000,100.000
27,"Mar 13, 2020",133,0.000,100.000,134,17,18,12,133,0,0,0,0,0,17,0.000,100.000
28,"Mar 14, 2020",160,0.000,100.000,161,27,25,16,160,0,0,0,0,0,27,0.000,100.000
29,"Mar 15, 2020",179,0.000,100.000,180,19,21,18,179,0,0,0,0,0,19,0.000,100.000
30,"Mar 16, 2020",198,0.000,100.000,199,19,22,19,198,0,0,0,0,0,19,0.000,100.000
31,"Mar 17, 2020",242,0.000,100.000,247,48,29,23,242,0,0,0,0,4,48,0.000,100.000
32,"Mar 18, 2020",245,0.000,100.000,250,3,23,24,245,0,0,0,0,0,3,0.000,100.000
33,"Mar 19, 2020",325,0.000,100.000,330,80,44,30,325,0,0,0,0,0,80,0.000,100.000
34,"Mar 20, 2020",404,0.000,100.000,409,79,54,40,404,0,0,0,0,0,79,0.000,100.000
35,"Mar 21, 2020",467,16.670,83.330,473,64,74,44,467,1,1,0,0,0,64,16.670,83.330
36,"Mar 22, 2020",562,16.670,83.330,568,95,79,56,562,1,0,0,0,0,95,16.670,83.330
37,"Mar 23, 2020",575,7.690,92.310,588,20,60,55,575,1,0,0,0,7,20,7.690,92.310
38,"Mar 24, 2020",634,14.290,85.710,648,60,58,58,634,2,1,0,0,0,60,14.290,85.710
39,"Mar 25, 2020",723,14.290,85.710,737,89,57,69,723,2,0,1,0,0,89,14.290,85.710
40,"Mar 26, 2020",788,14.290,85.710,802,65,71,68,788,2,0,0,0,0,65,14.290,85.710
41,"Mar 27, 2020",854,5.560,94.440,890,88,81,68,854,2,0,0,1,22,88,5.560,94.440
42,"Mar 28, 2020",917,4.350,95.650,963,73,75,70,917,2,0,0,0,10,73,4.350,95.650
43,"Mar 29, 2020",961,3.390,96.610,1020,57,73,65,961,2,0,0,0,13,57,3.390,96.610
44,"Mar 30, 2020",1009,2.600,97.400,1086,66,65,71,1009,2,0,0,0,18,66,2.600,97.400
45,"Mar 31, 2020",1040,2.110,97.890,1135,49,57,70,1040,2,0,0,0,18,49,2.110,97.890
46,"Apr 01, 2020",1087,1.500,98.500,1220,85,67,69,1087,2,0,0,0,38,85,1.500,98.500
47,"Apr 02, 2020",1151,2.380,97.620,1319,99,78,73,1151,4,2,1,0,33,99,2.380,97.620
48,"Apr 03, 2020",1154,1.900,98.100,1364,45,76,68,1154,4,0,0,1,42,45,1.900,98.100
49,"Apr 04, 2020",1185,1.720,98.280,1417,53,66,65,1185,4,0,1,0,22,53,1.720,98.280
50,"Apr 05, 2020",1170,1.270,98.730,1486,69,55,67,1170,4,0,0,0,84,69,1.270,98.730
51,"Apr 06, 2020",1216,1.730,98.270,1562,76,66,68,1216,6,2,1,1,28,76,1.730,98.270
52,"Apr 07, 2020",1212,1.600,98.400,1586,24,57,64,1212,6,0,0,0,28,24,1.600,98.400
53,"Apr 08, 2020",1144,1.270,98.730,1616,30,43,57,1144,6,0,1,1,98,30,1.270,98.730
54,"Apr 09, 2020",1104,1.100,98.900,1648,32,29,47,1104,6,0,0,0,72,32,1.100,98.900
55,"Apr 10, 2020",1077,1.170,98.830,1675,27,29,44,1077,7,1,0,1,53,27,1.170,98.830
56,"Apr 11, 2020",1029,1.210,98.790,1689,14,25,39,1029,8,1,1,0,61,14,1.210,98.790
57,"Apr 12, 2020",952,1.070,98.930,1701,12,17,31,952,8,0,1,1,89,12,1.070,98.930
58,"Apr 13, 2020",915,1.010,98.990,1711,10,12,21,915,8,0,0,0,47,10,1.010,98.990
59,"Apr 14, 2020",881,0.950,99.050,1720,9,11,19,881,8,0,0,0,43,9,0.950,99.050
60,"Apr 15, 2020",833,0.890,99.110,1727,7,8,16,833,8,0,0,1,55,7,0.890,99.110
61,"Apr 16, 2020",757,0.810,99.190,1739,12,10,13,757,8,0,0,0,88,12,0.810,99.190
62,"Apr 17, 2020",705,0.860,99.140,1754,15,11,11,705,9,1,0,0,66,15,0.860,99.140
63,"Apr 18, 2020",632,0.800,99.200,1760,6,11,10,632,9,0,1,0,79,6,0.800,99.200
64,"Apr 19, 2020",577,0.750,99.250,1771,11,11,10,577,9,0,0,0,66,11,0.750,99.250
65,"Apr 20, 2020",578,0.840,99.160,1773,2,6,9,578,10,1,0,1,0,2,0.840,99.160
66,"Apr 21, 2020",512,0.790,99.210,1778,5,6,8,512,10,0,1,0,71,5,0.790,99.210
67,"Apr 22, 2020",464,0.760,99.240,1785,7,5,9,464,10,0,0,0,55,7,0.760,99.240
68,"Apr 23, 2020",423,0.730,99.270,1789,4,5,7,423,10,0,0,1,45,4,0.730,99.270
69,"Apr 24, 2020",376,0.710,99.290,1789,0,4,5,376,10,0,0,0,47,0,0.710,99.290
70,"Apr 25, 2020",344,0.690,99.310,1790,1,1,4,344,10,0,0,0,33,1,0.690,99.310
71,"Apr 26, 2020",318,0.680,99.320,1792,2,1,3,318,10,0,0,0,28,2,0.680,99.320
72,"Apr 27, 2020",280,0.660,99.340,1792,0,1,3,280,10,0,0,0,38,0,0.660,99.340
73,"Apr 28, 2020",267,0.650,99.350,1795,3,2,2,267,10,0,0,0,16,3,0.650,99.350
74,"Apr 29, 2020",257,0.650,99.350,1797,2,2,2,257,10,0,0,0,12,2,0.650,99.350
75,"Apr 30, 2020",237,0.640,99.360,1797,0,1,1,237,10,0,0,0,20,0,0.640,99.360
76,"May 01, 2020",224,0.640,99.360,1798,1,1,1,224,10,0,0,0,14,1,0.640,99.360
77,"May 02, 2020",205,0.630,99.370,1798,0,1,2,205,10,0,0,0,19,0,0.630,99.370
78,"May 03, 2020",189,0.620,99.380,1799,1,0,1,189,10,0,0,0,17,1,0.620,99.380
79,"May 04, 2020",178,0.620,99.380,1799,0,1,1,178,10,0,0,0,11,0,0.620,99.380
80,"May 05, 2020",172,0.610,99.390,1799,0,0,0,172,10,0,0,0,6,0,0.610,99.390
81,"May 06, 2020",162,0.610,99.390,1799,0,0,0,162,10,0,0,0,10,0,0.610,99.390
82,"May 07, 2020",147,0.600,99.400,1801,2,1,1,147,10,0,0,0,17,2,0.600,99.400
83,"May 08, 2020",142,0.600,99.400,1801,0,0,0,142,10,0,0,0,5,0,0.600,99.400
84,"May 09, 2020",132,0.600,99.400,1801,0,1,1,132,10,0,0,0,10,0,0.600,99.400
85,"May 10, 2020",124,0.600,99.400,1801,0,0,0,124,10,0,0,0,8,0,0.600,99.400
86,"May 11, 2020",124,0.600,99.400,1801,0,0,0,124,10,0,0,0,0,0,0.600,99.400
87,"May 12, 2020",124,0.600,99.400,1801,0,0,1,124,10,0,0,0,0,0,0.600,99.400
88,"May 13, 2020",122,0.600,99.400,1802,1,0,0,122,10,0,0,0,3,1,0.600,99.400
89,"May 14, 2020",118,0.590,99.410,1802,0,1,0,118,10,0,0,0,4,0,0.590,99.410
90,"May 15, 2020",118,0.590,99.410,1802,0,0,0,118,10,0,0,0,0,0,0.590,99.410
91,"May 16, 2020",116,0.590,99.410,1802,0,0,1,116,10,0,0,0,2,0,0.590,99.410
92,"May 17, 2020",112,0.590,99.410,1802,0,0,0,112,10,0,0,0,4,0,0.590,99.410
93,"May 18, 2020",112,0.590,99.410,1802,0,0,0,112,10,0,0,0,0,0,0.590,99.410
94,"May 19, 2020",112,0.590,99.410,1802,0,0,0,112,10,0,0,0,0,0,0.590,99.410
95,"May 20, 2020",110,0.590,99.410,1803,1,0,0,110,10,0,0,0,3,1,0.590,99.410
96,"May 21, 2020",110,0.590,99.410,1803,0,1,0,110,10,0,0,0,0,0,0.590,99.410
97,"May 22, 2020",109,0.590,99.410,1803,0,0,0,109,10,0,0,0,1,0,0.590,99.410
98,"May 23, 2020",109,0.590,99.410,1804,1,0,1,109,10,0,0,0,1,1,0.590,99.410
99,"May 24, 2020",109,0.590,99.410,1804,0,1,0,109,10,0,0,0,0,0,0.590,99.410
100,"May 25, 2020",109,0.590,99.410,1804,0,0,0,109,10,0,0,0,0,0,0.590,99.410
