Days,Date,0_DeathRate,1_RecoveryRate,2_Cases,3_DailyCases,4_DailyCases- 3-daymovingaverage,5_DailyCases- 7-daymovingaverage,6_CurrentlyInfected,7_Deaths,8_DailyDeaths,9_DailyDeaths- 3-daymovingaverage,10_DailyDeaths- 7-daymovingaverage,11_NewRecoveries,12_NewCases,13_DeathRate,14_RecoveryRate
0,"Feb 15, 2020",0.000,100.000,3,0,0,0,0,0,0,0,0,0,0,0.000,100.000
1,"Feb 16, 2020",0.000,100.000,3,0,0,0,0,0,0,0,0,0,0,0.000,100.000
2,"Feb 17, 2020",0.000,100.000,3,0,0,0,0,0,0,0,0,0,0,0.000,100.000
3,"Feb 18, 2020",0.000,100.000,3,0,0,0,0,0,0,0,0,0,0,0.000,100.000
4,"Feb 19, 2020",0.000,100.000,3,0,0,0,0,0,0,0,0,0,0,0.000,100.000
5,"Feb 20, 2020",0.000,100.000,3,0,0,0,0,0,0,0,0,0,0,0.000,100.000
6,"Feb 21, 2020",0.000,100.000,3,0,0,0,0,0,0,0,0,0,0,0.000,100.000
7,"Feb 22, 2020",0.000,100.000,3,0,0,0,0,0,0,0,0,0,0,0.000,100.000
8,"Feb 23, 2020",0.000,100.000,3,0,0,0,0,0,0,0,0,0,0,0.000,100.000
9,"Feb 24, 2020",0.000,100.000,3,0,0,0,0,0,0,0,0,0,0,0.000,100.000
10,"Feb 25, 2020",0.000,100.000,3,0,0,0,0,0,0,0,0,0,0,0.000,100.000
11,"Feb 26, 2020",0.000,100.000,3,0,0,0,0,0,0,0,0,0,0,0.000,100.000
12,"Feb 27, 2020",0.000,100.000,3,0,0,0,0,0,0,0,0,0,0,0.000,100.000
13,"Feb 28, 2020",0.000,100.000,3,0,0,0,0,0,0,0,0,0,0,0.000,100.000
14,"Feb 29, 2020",0.000,100.000,3,0,0,0,0,0,0,0,0,0,0,0.000,100.000
15,"Mar 01, 2020",0.000,100.000,3,0,0,0,0,0,0,0,0,0,0,0.000,100.000
16,"Mar 02, 2020",0.000,100.000,6,3,1,0,3,0,0,0,0,0,3,0.000,100.000
17,"Mar 03, 2020",0.000,100.000,7,1,1,1,4,0,0,0,0,0,1,0.000,100.000
18,"Mar 04, 2020",0.000,100.000,29,22,9,4,26,0,0,0,0,0,22,0.000,100.000
19,"Mar 05, 2020",0.000,100.000,30,1,8,4,27,0,0,0,0,0,1,0.000,100.000
20,"Mar 06, 2020",0.000,100.000,31,1,8,4,28,0,0,0,0,0,1,0.000,100.000
21,"Mar 07, 2020",0.000,100.000,34,3,2,4,31,0,0,0,0,0,3,0.000,100.000
22,"Mar 08, 2020",0.000,100.000,40,6,3,5,37,0,0,0,0,0,6,0.000,100.000
23,"Mar 09, 2020",0.000,100.000,47,7,5,6,43,0,0,0,0,1,7,0.000,100.000
24,"Mar 10, 2020",0.000,100.000,62,15,10,8,58,0,0,0,0,0,15,0.000,100.000
25,"Mar 11, 2020",0.000,100.000,62,0,7,5,58,0,0,0,0,0,0,0.000,100.000
26,"Mar 12, 2020",20.000,80.000,74,12,9,6,69,1,1,0,0,0,12,20.000,80.000
27,"Mar 13, 2020",16.670,83.330,82,8,7,7,70,2,1,0,0,6,8,16.670,83.330
28,"Mar 14, 2020",16.670,83.330,100,18,12,10,88,2,0,1,0,0,18,16.670,83.330
29,"Mar 15, 2020",13.330,86.670,114,14,14,10,99,2,0,0,0,3,14,13.330,86.670
30,"Mar 16, 2020",13.330,86.670,129,15,15,12,114,2,0,0,0,0,15,13.330,86.670
31,"Mar 17, 2020",17.650,82.350,143,14,15,12,126,3,1,0,1,1,14,17.650,82.350
32,"Mar 18, 2020",17.650,82.350,169,26,18,15,152,3,0,1,0,0,26,17.650,82.350
33,"Mar 19, 2020",16.670,83.330,194,25,22,17,170,4,1,0,1,6,25,16.670,83.330
34,"Mar 20, 2020",17.860,82.140,249,55,35,24,221,5,1,1,0,3,55,17.860,82.140
35,"Mar 21, 2020",17.860,82.140,332,83,54,33,304,5,0,1,0,0,83,17.860,82.140
36,"Mar 22, 2020",22.580,77.420,396,64,68,40,365,7,2,1,1,1,64,22.580,77.420
37,"Mar 23, 2020",22.730,77.270,499,103,83,53,455,10,3,1,1,10,103,22.730,77.270
38,"Mar 24, 2020",20.000,80.000,536,37,68,56,486,10,0,2,1,6,37,20.000,80.000
39,"Mar 25, 2020",21.820,78.180,657,121,87,70,602,12,2,2,2,3,121,21.820,78.180
40,"Mar 26, 2020",30.770,69.230,727,70,76,76,662,20,8,3,2,2,70,30.770,69.230
41,"Mar 27, 2020",21.510,78.490,887,160,117,91,794,20,0,3,2,28,160,21.510,78.490
42,"Mar 28, 2020",22.220,77.780,987,100,110,94,879,24,4,4,3,11,100,22.220,77.780
43,"Mar 29, 2020",22.130,77.870,1024,37,99,90,902,27,3,3,3,11,37,22.130,77.870
