Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",2,0,0,0,2,0,0,0,0
17,"Mar 03, 2020",2,0,0,0,2,0,0,0,0
18,"Mar 04, 2020",2,0,1,0,2,0,0,0,0
19,"Mar 05, 2020",2,0,0,0,2,0,0,0,0
20,"Mar 06, 2020",4,2,1,1,4,0,0,0,0
21,"Mar 07, 2020",4,0,0,0,4,0,0,0,0
22,"Mar 08, 2020",6,2,2,1,6,0,0,0,0
23,"Mar 09, 2020",19,13,5,3,19,0,0,0,0
24,"Mar 10, 2020",27,8,7,3,25,0,0,0,0
25,"Mar 11, 2020",34,7,10,5,31,1,1,0,0
26,"Mar 12, 2020",34,0,5,4,30,1,0,0,0
27,"Mar 13, 2020",69,35,14,10,60,4,3,1,0
28,"Mar 14, 2020",96,27,20,13,83,5,1,1,1
29,"Mar 15, 2020",117,21,28,16,104,5,0,2,0
30,"Mar 16, 2020",134,17,22,16,121,5,0,0,1
31,"Mar 17, 2020",172,38,25,21,156,7,2,1,1
32,"Mar 18, 2020",227,55,37,27,197,19,12,4,3
33,"Mar 19, 2020",309,82,58,40,269,25,6,7,3
34,"Mar 20, 2020",369,60,66,42,320,32,7,8,4
35,"Mar 21, 2020",450,81,74,51,392,38,6,7,5
36,"Mar 22, 2020",514,64,68,57,437,48,10,7,6
37,"Mar 23, 2020",579,65,70,63,500,49,1,6,6
38,"Mar 24, 2020",686,107,79,74,601,55,6,6,7
39,"Mar 25, 2020",790,104,92,80,701,58,3,3,6
40,"Mar 26, 2020",893,103,105,84,780,78,20,10,7
41,"Mar 27, 2020",1046,153,120,96,913,87,9,10,8
42,"Mar 28, 2020",1155,109,121,101,994,102,15,15,9
43,"Mar 29, 2020",1285,130,131,110,1107,114,12,12,10
44,"Mar 30, 2020",1414,129,123,119,1217,122,8,12,10
45,"Mar 31, 2020",1528,114,124,121,1311,136,14,11,12
46,"Apr 01, 2020",1677,149,131,126,1417,157,21,14,14
47,"Apr 02, 2020",1790,113,125,129,1508,170,13,16,13
48,"Apr 03, 2020",1986,196,153,134,1671,181,11,15,13
49,"Apr 04, 2020",2092,106,138,134,1751,191,10,12,13
50,"Apr 05, 2020",2273,181,161,141,1911,198,7,9,12
51,"Apr 06, 2020",2491,218,168,154,2090,209,11,9,12
52,"Apr 07, 2020",2738,247,216,173,2313,221,12,10,13
53,"Apr 08, 2020",2956,218,227,182,2494,240,19,14,11
54,"Apr 09, 2020",3293,337,268,215,2761,280,40,24,16
55,"Apr 10, 2020",3512,219,258,218,2924,306,26,28,18
56,"Apr 11, 2020",3842,330,295,250,3229,327,21,29,19
57,"Apr 12, 2020",4241,399,316,281,3509,373,46,31,25
58,"Apr 13, 2020",4557,316,348,295,3778,399,26,31,28
59,"Apr 14, 2020",4839,282,333,300,3954,459,60,44,34
60,"Apr 15, 2020",5136,297,298,312,4221,469,10,32,32
61,"Apr 16, 2020",5516,380,320,317,4472,496,27,33,31
62,"Apr 17, 2020",5923,407,361,345,4796,520,24,20,31
63,"Apr 18, 2020",6248,325,371,344,5082,535,15,22,29
64,"Apr 19, 2020",6575,327,353,333,5307,582,47,29,30
65,"Apr 20, 2020",6760,185,279,315,5423,590,8,23,28
66,"Apr 21, 2020",7135,375,295,328,5677,616,26,27,22
67,"Apr 22, 2020",7418,283,281,326,5870,635,19,18,24
