Days,Date,0_CurrentlyInfected,1_DeathRate,2_RecoveryRate,3_Cases,4_DailyCases,5_DailyCases- 3-daymovingaverage,6_DailyCases- 7-daymovingaverage,7_CurrentlyInfected,8_Deaths,9_DailyDeaths,10_DailyDeaths- 3-daymovingaverage,11_DailyDeaths- 7-daymovingaverage,12_NewRecoveries,13_NewCases,14_DeathRate,15_RecoveryRate
0,"Feb 15, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
1,"Feb 16, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
2,"Feb 17, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
3,"Feb 18, 2020",0,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
4,"Feb 19, 2020",0,100.000,0.000,2,0,0,0,0,2,0,0,0,0,0,100.000,0.000
5,"Feb 20, 2020",3,100.000,0.000,5,3,1,0,3,2,0,0,0,0,3,100.000,0.000
6,"Feb 21, 2020",14,100.000,0.000,18,13,6,3,14,4,2,2,0,0,13,100.000,0.000
7,"Feb 22, 2020",23,100.000,0.000,29,11,9,4,23,6,2,1,1,0,11,100.000,0.000
8,"Feb 23, 2020",34,88.890,11.110,43,14,13,6,34,8,2,2,1,1,14,88.890,11.110
9,"Feb 24, 2020",46,80.000,20.000,61,18,14,9,46,12,4,3,2,2,18,80.000,20.000
10,"Feb 25, 2020",54,39.020,60.980,95,34,22,13,54,16,4,3,2,22,34,39.020,60.980
11,"Feb 26, 2020",95,43.180,56.820,139,44,32,20,95,19,3,4,3,0,44,43.180,56.820
12,"Feb 27, 2020",165,32.500,67.500,245,106,62,34,165,26,7,4,3,29,106,32.500,67.500
13,"Feb 28, 2020",281,31.780,68.220,388,143,97,53,281,34,8,6,4,19,143,31.780,68.220
14,"Feb 29, 2020",427,25.900,74.100,593,205,152,80,427,43,9,8,6,50,205,25.900,74.100
15,"Mar 01, 2020",749,23.580,76.420,978,385,244,134,749,54,11,10,6,52,385,23.580,76.420
16,"Mar 02, 2020",1144,18.490,81.510,1501,523,371,206,1144,66,12,10,8,116,523,18.490,81.510
17,"Mar 03, 2020",1824,15.040,84.960,2336,835,581,320,1824,77,11,12,9,144,835,15.040,84.960
18,"Mar 04, 2020",2278,14.290,85.710,2922,586,648,397,2278,92,15,12,10,117,586,14.290,85.710
19,"Mar 05, 2020",2666,12.750,87.250,3513,591,671,467,2666,108,16,14,12,187,591,12.750,87.250
20,"Mar 06, 2020",3710,11.960,88.040,4747,1234,803,623,3710,124,16,16,13,174,1234,11.960,88.040
21,"Mar 07, 2020",4009,7.990,92.010,5823,1076,967,747,4009,145,21,18,14,756,1076,7.990,92.010
22,"Mar 08, 2020",4238,8.330,91.670,6566,743,1018,798,4238,194,49,28,20,465,743,8.330,91.670
23,"Mar 09, 2020",4530,9.010,90.990,7161,595,805,809,4530,237,43,38,25,260,595,9.010,90.990
24,"Mar 10, 2020",5020,9.630,90.370,8042,881,739,815,5020,291,54,49,30,337,881,9.630,90.370
25,"Mar 11, 2020",5687,10.690,89.310,9000,958,812,868,5687,354,63,53,38,228,958,10.690,89.310
26,"Mar 12, 2020",6370,11.580,88.420,10075,1075,971,938,6370,429,75,64,45,317,1075,11.580,88.420
27,"Mar 13, 2020",7321,12.710,87.290,11364,1289,1107,945,7321,514,85,74,56,253,1289,12.710,87.290
28,"Mar 14, 2020",7779,12.340,87.660,12729,1365,1243,987,7779,611,97,86,67,810,1365,12.340,87.660
29,"Mar 15, 2020",8624,13.620,86.380,13938,1209,1288,1053,8624,724,113,98,75,251,1209,13.620,86.380
30,"Mar 16, 2020",9142,14.580,85.420,14991,1053,1209,1118,9142,853,129,113,88,406,1053,14.580,85.420
31,"Mar 17, 2020",9792,15.490,84.510,16169,1178,1147,1161,9792,988,135,126,100,393,1178,15.490,84.510
32,"Mar 18, 2020",10516,16.580,83.420,17361,1192,1141,1195,10516,1135,147,137,112,321,1192,16.580,83.420
33,"Mar 19, 2020",11144,17.680,82.320,18407,1046,1138,1190,11144,1284,149,144,122,269,1046,17.680,82.320
34,"Mar 20, 2020",11466,17.520,82.480,19644,1237,1159,1183,11466,1433,149,148,131,766,1237,17.520,82.480
35,"Mar 21, 2020",11419,16.930,83.070,20610,966,1083,1126,11419,1556,123,140,135,890,966,16.930,83.070
36,"Mar 22, 2020",12040,17.560,82.440,21638,1028,1077,1100,12040,1685,129,134,137,278,1028,17.560,82.440
37,"Mar 23, 2020",12861,17.790,82.210,23049,1411,1135,1151,12861,1812,127,126,137,463,1411,17.790,82.210
38,"Mar 24, 2020",13964,17.830,82.170,24811,1762,1400,1235,13964,1934,122,126,135,537,1762,17.830,82.170
39,"Mar 25, 2020",15315,17.750,82.250,27017,2206,1793,1379,15315,2077,143,131,135,712,2206,17.750,82.250
40,"Mar 26, 2020",16715,17.600,82.400,29406,2389,2119,1571,16715,2234,157,141,136,832,2389,17.600,82.400
41,"Mar 27, 2020",18821,17.600,82.400,32332,2926,2507,1813,18821,2378,144,148,135,676,2926,17.600,82.400
42,"Mar 28, 2020",21212,17.730,82.270,35408,3076,2797,2114,21212,2517,139,146,137,546,3076,17.730,82.270
43,"Mar 29, 2020",23278,17.560,82.440,38309,2901,2968,2381,23278,2640,123,136,136,712,2901,17.560,82.440
44,"Mar 30, 2020",24827,16.540,83.460,41495,3186,3054,2636,24827,2757,117,126,135,1520,3186,16.540,83.460
45,"Mar 31, 2020",27051,16.510,83.490,44605,3110,3066,2827,27051,2898,141,127,138,745,3110,16.510,83.490
46,"Apr 01, 2020",29084,16.400,83.600,47593,2988,3094,2940,29084,3036,138,132,137,817,2988,16.400,83.600
47,"Apr 02, 2020",30597,15.900,84.100,50468,2875,2991,3009,30597,3160,124,134,132,1238,2875,15.900,84.100
48,"Apr 03, 2020",31954,15.520,84.480,53183,2715,2860,2978,31954,3294,134,132,131,1224,2715,15.520,84.480
49,"Apr 04, 2020",32555,14.890,85.110,55743,2560,2716,2905,32555,3452,158,139,134,1801,2560,14.890,85.110
50,"Apr 05, 2020",32612,14.070,85.930,58226,2483,2586,2846,32612,3603,151,148,137,2275,2483,14.070,85.930
51,"Apr 06, 2020",32525,13.370,86.630,60500,2274,2439,2715,32525,3739,136,148,141,2225,2274,13.370,86.630
52,"Apr 07, 2020",31678,12.530,87.470,62589,2089,2282,2569,31678,3872,133,140,139,2803,2089,12.530,87.470
53,"Apr 08, 2020",30781,11.810,88.190,64586,1997,2120,2427,30781,3993,121,130,137,2773,1997,11.810,88.190
54,"Apr 09, 2020",29801,11.290,88.710,66220,1634,1907,2251,29801,4110,117,124,135,2497,1634,11.290,88.710
55,"Apr 10, 2020",28495,10.660,89.340,68192,1972,1868,2144,28495,4232,122,120,134,3156,1972,10.660,89.340
56,"Apr 11, 2020",23725,9.410,90.590,70029,1837,1814,2041,23725,4357,125,121,130,6482,1837,9.410,90.590
57,"Apr 12, 2020",23318,9.250,90.750,71686,1657,1822,1922,23318,4474,117,121,124,1947,1657,9.250,90.750
58,"Apr 13, 2020",22735,9.070,90.930,73303,1617,1704,1829,22735,4585,111,118,121,2089,1617,9.070,90.930
59,"Apr 14, 2020",22065,8.870,91.130,74877,1574,1616,1756,22065,4683,98,109,116,2146,1574,8.870,91.130
60,"Apr 15, 2020",21679,8.730,91.270,76389,1512,1567,1686,21679,4777,94,101,112,1804,1512,8.730,91.270
61,"Apr 16, 2020",20897,8.530,91.470,77995,1606,1564,1682,20897,4869,92,94,108,2296,1606,8.530,91.470
62,"Apr 17, 2020",20472,8.400,91.600,79494,1499,1539,1615,20472,4958,89,92,104,1835,1499,8.400,91.600
63,"Apr 18, 2020",19850,8.250,91.750,80868,1374,1493,1548,19850,5031,73,85,96,1923,1374,8.250,91.750
64,"Apr 19, 2020",20070,8.240,91.760,82211,1343,1406,1504,20070,5118,87,83,92,1036,1343,8.240,91.760
65,"Apr 20, 2020",19023,8.080,91.920,83505,1294,1337,1457,19023,5209,91,83,89,2250,1294,8.080,91.920
66,"Apr 21, 2020",18540,7.990,92.010,84802,1297,1311,1418,18540,5297,88,89,88,1692,1297,7.990,92.010
67,"Apr 22, 2020",17492,7.870,92.130,85996,1194,1262,1372,17492,5391,94,91,88,2148,1194,7.870,92.130
68,"Apr 23, 2020",16702,7.790,92.210,87026,1030,1173,1291,16702,5481,90,91,87,1730,1030,7.790,92.210
69,"Apr 24, 2020",16021,7.720,92.280,88194,1168,1131,1242,16021,5574,93,92,88,1756,1168,7.720,92.280
70,"Apr 25, 2020",15485,7.650,92.350,89328,1134,1111,1209,15485,5650,76,86,89,1594,1134,7.650,92.350
71,"Apr 26, 2020",15114,7.580,92.420,90481,1153,1151,1181,15114,5710,60,77,84,1464,1153,7.580,92.420
72,"Apr 27, 2020",14733,7.570,92.430,91472,991,1093,1139,14733,5806,96,77,85,1276,991,7.570,92.430
73,"Apr 28, 2020",14268,7.500,92.500,92584,1112,1085,1111,14268,5877,71,76,83,1506,1112,7.500,92.500
74,"Apr 29, 2020",13909,7.470,92.530,93657,1073,1059,1095,13909,5957,80,82,81,1352,1073,7.470,92.530
75,"Apr 30, 2020",13509,7.430,92.570,94640,983,1056,1087,13509,6028,71,74,78,1312,983,7.430,92.570
76,"May 01, 2020",13237,7.390,92.610,95646,1006,1021,1065,13237,6091,63,71,74,1215,1006,7.390,92.610
77,"May 02, 2020",12942,7.370,92.630,96448,802,930,1017,12942,6156,65,67,72,1032,802,7.370,92.630
78,"May 03, 2020",12799,7.330,92.670,97424,976,928,992,12799,6203,47,58,71,1072,976,7.330,92.670
79,"May 04, 2020",12991,7.330,92.670,98647,1223,1000,1025,12991,6277,74,62,67,957,1223,7.330,92.670
80,"May 05, 2020",13155,7.300,92.700,99970,1323,1174,1055,13155,6340,63,61,66,1096,1323,7.300,92.700
81,"May 06, 2020",13645,7.290,92.710,101650,1680,1409,1142,13645,6418,78,72,66,1112,1680,7.290,92.710
82,"May 07, 2020",13905,7.270,92.730,103135,1485,1496,1214,13905,6486,68,70,66,1157,1485,7.270,92.730
83,"May 08, 2020",14313,7.240,92.760,104691,1556,1574,1292,14313,6541,55,67,64,1093,1556,7.240,92.760
84,"May 09, 2020",14567,7.190,92.810,106220,1529,1523,1396,14567,6589,48,57,62,1227,1529,7.190,92.810
85,"May 10, 2020",14820,7.160,92.840,107603,1383,1489,1454,14820,6640,51,51,62,1079,1383,7.160,92.840
86,"May 11, 2020",15179,7.100,92.900,109286,1683,1532,1520,15179,6685,45,48,58,1279,1683,7.100,92.900
87,"May 12, 2020",15677,7.080,92.920,110767,1481,1516,1542,15677,6733,48,48,57,935,1481,7.080,92.920
88,"May 13, 2020",16514,7.050,92.950,112725,1958,1707,1582,16514,6783,50,48,52,1071,1958,7.050,92.950
89,"May 14, 2020",17140,7.040,92.960,114533,1808,1749,1629,17140,6854,71,56,52,1111,1808,7.040,92.960
90,"May 15, 2020",17897,6.990,93.010,116635,2102,1956,1706,17897,6902,48,56,52,1297,2102,6.990,93.010
