Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",1,0,0,0,1,0,0,0,0
8,"Feb 23, 2020",1,0,0,0,1,0,0,0,0
9,"Feb 24, 2020",1,0,0,0,1,0,0,0,0
10,"Feb 25, 2020",5,4,1,0,5,0,0,0,0
11,"Feb 26, 2020",5,0,2,1,5,0,0,0,0
12,"Feb 27, 2020",7,2,2,1,7,0,0,0,0
13,"Feb 28, 2020",8,1,1,1,8,0,0,0,0
14,"Feb 29, 2020",13,5,2,2,13,0,0,0,0
15,"Mar 01, 2020",19,6,4,2,19,0,0,0,0
16,"Mar 02, 2020",27,8,7,4,27,0,0,0,0
17,"Mar 03, 2020",32,5,6,4,32,0,0,0,0
18,"Mar 04, 2020",37,5,6,4,35,2,2,0,0
19,"Mar 05, 2020",40,3,4,5,37,3,1,1,0
20,"Mar 06, 2020",46,6,5,6,41,4,1,1,0
21,"Mar 07, 2020",54,8,6,5,49,4,0,1,1
22,"Mar 08, 2020",65,11,8,7,58,6,2,1,1
23,"Mar 09, 2020",71,6,8,6,61,7,1,1,1
24,"Mar 10, 2020",71,0,6,6,49,7,0,1,1
25,"Mar 11, 2020",71,0,2,5,49,7,0,0,0
26,"Mar 12, 2020",83,12,4,6,51,8,1,0,1
27,"Mar 13, 2020",101,18,10,8,68,9,1,1,1
28,"Mar 14, 2020",110,9,13,8,74,10,1,1,1
29,"Mar 15, 2020",124,14,14,8,88,10,0,1,0
30,"Mar 16, 2020",133,9,10,9,91,10,0,0,1
31,"Mar 17, 2020",154,21,15,12,102,11,1,0,0
32,"Mar 18, 2020",164,10,13,13,111,12,1,1,1
33,"Mar 19, 2020",192,28,20,16,130,13,1,1,1
34,"Mar 20, 2020",208,16,18,15,142,17,4,2,1
35,"Mar 21, 2020",214,6,17,15,146,17,0,2,1
36,"Mar 22, 2020",233,19,13,15,156,20,3,2,1
37,"Mar 23, 2020",266,33,20,19,181,23,3,2,2
38,"Mar 24, 2020",316,50,34,24,214,27,4,3,2
39,"Mar 25, 2020",346,30,37,26,214,29,2,3,3
40,"Mar 26, 2020",382,36,39,27,241,36,7,5,3
41,"Mar 27, 2020",458,76,47,35,296,40,4,4,3
42,"Mar 28, 2020",506,48,54,42,333,42,2,4,4
43,"Mar 29, 2020",547,41,55,45,362,42,0,2,3
44,"Mar 30, 2020",630,83,57,52,432,46,4,2,3
45,"Mar 31, 2020",694,64,63,54,474,50,4,3,4
46,"Apr 01, 2020",728,34,60,55,494,52,2,3,3
47,"Apr 02, 2020",772,44,47,55,516,54,2,3,3
48,"Apr 03, 2020",820,48,42,52,540,54,0,1,2
49,"Apr 04, 2020",878,58,50,53,563,56,2,2,2
50,"Apr 05, 2020",961,83,63,59,621,61,5,2,2
51,"Apr 06, 2020",1031,70,71,58,623,64,3,3,3
52,"Apr 07, 2020",1122,91,81,61,684,65,1,3,2
53,"Apr 08, 2020",1202,80,80,67,681,69,4,3,2
54,"Apr 09, 2020",1232,30,67,66,667,69,0,2,3
55,"Apr 10, 2020",1279,47,53,66,659,70,1,1,2
56,"Apr 11, 2020",1318,39,38,63,645,72,2,1,2
57,"Apr 12, 2020",1352,34,40,55,636,76,4,3,2
58,"Apr 13, 2020",1378,26,33,50,583,78,2,2,2
59,"Apr 14, 2020",1400,22,28,40,556,78,0,2,2
60,"Apr 15, 2020",1415,15,21,30,524,79,1,1,2
61,"Apr 16, 2020",1434,19,18,29,498,80,1,1,1
62,"Apr 17, 2020",1482,48,28,29,495,81,1,1,2
63,"Apr 18, 2020",1513,31,32,28,478,82,1,1,1
64,"Apr 19, 2020",1539,26,35,27,448,82,0,1,1
65,"Apr 20, 2020",1574,35,31,28,449,82,0,0,1
66,"Apr 21, 2020",1602,28,30,28,423,83,1,0,0
67,"Apr 22, 2020",1631,29,30,31,402,83,0,1,1
68,"Apr 23, 2020",1677,46,35,35,423,83,0,0,0
