Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",1,1,0,0,1,0,0,0,0
15,"Mar 01, 2020",1,0,0,0,1,0,0,0,0
16,"Mar 02, 2020",1,0,0,0,1,0,0,0,0
17,"Mar 03, 2020",2,1,0,0,2,0,0,0,0
18,"Mar 04, 2020",6,4,2,1,6,0,0,0,0
19,"Mar 05, 2020",13,7,4,1,13,0,0,0,0
20,"Mar 06, 2020",18,5,5,3,18,0,0,0,0
21,"Mar 07, 2020",19,1,5,3,19,0,0,0,0
22,"Mar 08, 2020",21,2,2,2,21,0,0,0,0
23,"Mar 09, 2020",24,3,2,4,24,0,0,0,0
24,"Mar 10, 2020",34,10,5,4,34,0,0,0,0
25,"Mar 11, 2020",43,9,8,6,42,1,1,0,0
26,"Mar 12, 2020",70,27,15,8,69,1,0,0,0
27,"Mar 13, 2020",90,20,19,10,89,1,0,0,0
28,"Mar 14, 2020",129,39,28,16,127,2,1,0,0
29,"Mar 15, 2020",170,41,34,21,167,2,0,1,0
30,"Mar 16, 2020",223,53,44,28,216,2,0,0,0
31,"Mar 17, 2020",292,69,54,37,285,2,0,0,1
32,"Mar 18, 2020",366,74,66,46,359,2,0,0,0
33,"Mar 19, 2020",557,191,111,70,549,3,1,0,0
34,"Mar 20, 2020",683,126,130,85,675,3,0,1,0
35,"Mar 21, 2020",785,102,140,93,777,3,0,0,0
36,"Mar 22, 2020",906,121,116,106,897,4,1,0,1
37,"Mar 23, 2020",1125,219,148,128,1114,6,2,1,0
38,"Mar 24, 2020",1329,204,181,149,1317,7,1,2,1
39,"Mar 25, 2020",1564,235,219,171,1550,9,2,1,1
40,"Mar 26, 2020",1819,255,232,180,1795,19,10,5,2
41,"Mar 27, 2020",2121,302,264,205,2094,22,3,5,3
42,"Mar 28, 2020",2415,294,283,233,2374,36,14,9,5
43,"Mar 29, 2020",2615,200,266,244,2564,46,10,9,6
44,"Mar 30, 2020",2910,295,263,255,2851,54,8,10,7
45,"Mar 31, 2020",3235,325,273,273,3159,71,17,12,9
46,"Apr 01, 2020",3447,212,277,269,3357,85,14,13,11
47,"Apr 02, 2020",3849,402,313,290,3746,98,13,15,11
48,"Apr 03, 2020",4273,424,346,307,4128,120,22,16,14
49,"Apr 04, 2020",4604,331,386,313,4442,137,17,17,14
50,"Apr 05, 2020",4994,390,382,340,4811,158,21,20,16
51,"Apr 06, 2020",5364,370,363,350,5165,174,16,18,17
52,"Apr 07, 2020",5709,345,369,354,5474,210,36,25,20
53,"Apr 08, 2020",6074,365,360,375,5814,235,25,25,22
54,"Apr 09, 2020",6574,500,403,389,6286,263,28,30,23
55,"Apr 10, 2020",8082,1508,791,544,7770,287,24,26,24
56,"Apr 11, 2020",8921,839,949,617,8576,320,33,28,26
57,"Apr 12, 2020",9648,727,1025,665,9289,334,14,24,25
58,"Apr 13, 2020",10640,992,852,754,10250,365,31,26,28
59,"Apr 14, 2020",11472,832,851,823,11041,406,41,28,28
60,"Apr 15, 2020",12540,1068,964,924,12019,444,38,37,30
61,"Apr 16, 2020",13264,724,874,955,12701,486,42,40,31
62,"Apr 17, 2020",13973,709,834,842,13367,529,43,41,35
63,"Apr 18, 2020",14751,778,737,833,14104,570,41,42,36
64,"Apr 19, 2020",15244,493,660,799,14558,609,39,41,39
65,"Apr 20, 2020",15645,401,557,715,14883,685,76,52,46
66,"Apr 21, 2020",16033,388,428,652,6073,727,42,53,46
67,"Apr 22, 2020",16664,631,473,589,6665,766,39,52,46
