Days,Date,0_DeathRate,1_RecoveryRate,2_Cases,3_DailyCases,4_DailyCases- 3-daymovingaverage,5_DailyCases- 7-daymovingaverage,6_CurrentlyInfected,7_Deaths,8_DailyDeaths,9_DailyDeaths- 3-daymovingaverage,10_DailyDeaths- 7-daymovingaverage,11_NewRecoveries,12_NewCases,13_DeathRate,14_RecoveryRate
0,"Feb 15, 2020",100.000,0.000,53,0,0,0,52,1,0,0,0,0,0,100.000,0.000
1,"Feb 16, 2020",100.000,0.000,59,6,8,4,58,1,0,0,0,0,6,100.000,0.000
2,"Feb 17, 2020",5.260,94.740,66,7,8,6,47,1,0,0,0,18,7,5.260,94.740
3,"Feb 18, 2020",4.760,95.240,74,8,7,6,53,1,0,0,0,2,8,4.760,95.240
4,"Feb 19, 2020",4.760,95.240,84,10,9,8,63,1,0,0,0,0,10,4.760,95.240
5,"Feb 20, 2020",4.760,95.240,94,10,9,8,73,1,0,0,0,0,10,4.760,95.240
6,"Feb 21, 2020",4.350,95.650,109,15,12,10,86,1,0,0,0,2,15,4.350,95.650
7,"Feb 22, 2020",4.350,95.650,134,25,16,12,111,1,0,0,0,0,25,4.350,95.650
8,"Feb 23, 2020",4.170,95.830,146,12,18,12,122,1,0,0,0,1,12,4.170,95.830
9,"Feb 24, 2020",4.170,95.830,159,13,16,13,135,1,0,0,0,0,13,4.170,95.830
10,"Feb 25, 2020",4.170,95.830,161,2,9,13,137,1,0,0,0,0,2,4.170,95.830
11,"Feb 26, 2020",11.540,88.460,172,11,9,12,146,3,2,1,0,0,11,11.540,88.460
12,"Feb 27, 2020",11.110,88.890,214,42,18,17,178,4,1,1,1,9,42,11.110,88.890
13,"Feb 28, 2020",13.510,86.490,233,19,24,18,196,5,1,1,0,0,19,13.510,86.490
14,"Feb 29, 2020",13.510,86.490,241,8,23,15,204,5,0,1,1,0,8,13.510,86.490
15,"Mar 01, 2020",12.500,87.500,256,15,14,16,208,6,1,0,1,10,15,12.500,87.500
16,"Mar 02, 2020",12.500,87.500,274,18,14,17,226,6,0,1,0,0,18,12.500,87.500
