Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",1,0,0,0,1,0,0,0,0
17,"Mar 03, 2020",1,0,0,0,1,0,0,0,0
18,"Mar 04, 2020",1,0,0,0,1,0,0,0,0
19,"Mar 05, 2020",1,0,0,0,1,0,0,0,0
20,"Mar 06, 2020",1,0,0,0,1,0,0,0,0
21,"Mar 07, 2020",1,0,0,0,1,0,0,0,0
22,"Mar 08, 2020",1,0,0,0,1,0,0,0,0
23,"Mar 09, 2020",1,0,0,0,1,0,0,0,0
24,"Mar 10, 2020",1,0,0,0,1,0,0,0,0
25,"Mar 11, 2020",1,0,0,0,1,0,0,0,0
26,"Mar 12, 2020",1,0,0,0,1,0,0,0,0
27,"Mar 13, 2020",1,0,0,0,0,0,0,0,0
28,"Mar 14, 2020",1,0,0,0,0,0,0,0,0
29,"Mar 15, 2020",12,11,4,2,11,0,0,0,0
30,"Mar 16, 2020",29,17,9,4,28,0,0,0,0
31,"Mar 17, 2020",48,19,16,6,47,0,0,0,0
32,"Mar 18, 2020",56,8,14,8,55,0,0,0,0
33,"Mar 19, 2020",69,13,14,10,68,0,0,0,0
34,"Mar 20, 2020",84,15,12,12,83,0,0,0,0
35,"Mar 21, 2020",100,16,14,14,99,0,0,0,0
36,"Mar 22, 2020",112,12,15,14,111,0,0,0,0
37,"Mar 23, 2020",127,15,14,14,126,0,0,0,0
38,"Mar 24, 2020",154,27,18,15,153,0,0,0,0
39,"Mar 25, 2020",172,18,20,17,171,0,0,0,0
40,"Mar 26, 2020",212,40,28,20,211,0,0,0,0
41,"Mar 27, 2020",235,23,27,22,216,1,1,0,0
42,"Mar 28, 2020",246,11,25,21,227,1,0,0,0
43,"Mar 29, 2020",259,13,16,21,238,3,2,1,0
44,"Mar 30, 2020",268,9,11,20,237,5,2,1,0
45,"Mar 31, 2020",274,6,9,17,239,5,0,1,1
46,"Apr 01, 2020",278,4,6,15,237,5,0,1,1
47,"Apr 02, 2020",299,21,11,13,249,5,0,0,1
48,"Apr 03, 2020",310,11,12,10,247,5,0,0,0
49,"Apr 04, 2020",323,13,15,11,244,5,0,0,1
50,"Apr 05, 2020",345,22,15,13,230,5,0,0,0
51,"Apr 06, 2020",349,4,13,11,217,6,1,0,0
52,"Apr 07, 2020",353,4,10,11,209,6,0,1,0
53,"Apr 08, 2020",358,5,4,12,202,6,0,0,0
54,"Apr 09, 2020",372,14,8,10,204,7,1,0,1
55,"Apr 10, 2020",372,0,6,9,195,7,0,1,0
56,"Apr 11, 2020",381,9,8,8,197,7,0,0,0
57,"Apr 12, 2020",389,8,6,7,181,7,0,0,1
58,"Apr 13, 2020",391,2,6,6,169,7,0,0,0
59,"Apr 14, 2020",397,6,5,6,155,7,0,0,0
60,"Apr 15, 2020",401,4,4,6,144,7,0,0,0
61,"Apr 16, 2020",402,1,4,4,136,7,0,0,0
62,"Apr 17, 2020",407,5,3,5,135,7,0,0,0
63,"Apr 18, 2020",413,6,4,5,137,7,0,0,0
64,"Apr 19, 2020",417,4,5,4,134,7,0,0,0
65,"Apr 20, 2020",425,8,6,5,136,7,0,0,0
66,"Apr 21, 2020",428,3,5,4,124,7,0,0,0
67,"Apr 22, 2020",435,7,6,5,113,7,0,0,0
68,"Apr 23, 2020",437,2,4,5,112,7,0,0,0
69,"Apr 24, 2020",441,4,5,5,108,7,0,0,0
