Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",0,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",0,0,0,0,0,0,0,0,0
21,"Mar 07, 2020",0,0,0,0,0,0,0,0,0
22,"Mar 08, 2020",0,0,0,0,0,0,0,0,0
23,"Mar 09, 2020",0,0,0,0,0,0,0,0,0
24,"Mar 10, 2020",0,0,0,0,0,0,0,0,0
25,"Mar 11, 2020",0,0,0,0,0,0,0,0,0
26,"Mar 12, 2020",0,0,0,0,0,0,0,0,0
27,"Mar 13, 2020",7,7,0,0,7,0,0,0,0
28,"Mar 14, 2020",11,4,4,2,11,0,0,0,0
29,"Mar 15, 2020",17,6,6,2,17,0,0,0,0
30,"Mar 16, 2020",19,2,4,3,19,0,0,0,0
31,"Mar 17, 2020",61,42,16,8,61,0,0,0,0
32,"Mar 18, 2020",67,6,17,10,67,0,0,0,0
33,"Mar 19, 2020",82,15,21,12,82,0,0,0,0
34,"Mar 20, 2020",97,15,12,13,97,0,0,0,0
35,"Mar 21, 2020",101,4,11,12,101,0,0,0,0
36,"Mar 22, 2020",112,11,10,14,112,0,0,0,0
37,"Mar 23, 2020",116,4,7,14,116,0,0,0,0
38,"Mar 24, 2020",134,18,11,10,134,0,0,0,0
39,"Mar 25, 2020",151,17,13,12,151,0,0,0,0
40,"Mar 26, 2020",210,59,31,19,205,1,1,0,0
41,"Mar 27, 2020",278,68,48,25,271,1,0,0,0
42,"Mar 28, 2020",421,143,90,46,390,1,0,0,0
43,"Mar 29, 2020",524,103,105,59,485,1,0,0,0
44,"Mar 30, 2020",557,33,93,63,516,1,0,0,0
45,"Mar 31, 2020",632,75,70,71,585,2,1,0,0
46,"Apr 01, 2020",700,68,59,79,648,3,1,1,0
47,"Apr 02, 2020",801,101,81,84,747,3,0,1,1
48,"Apr 03, 2020",854,53,74,82,796,3,0,0,0
49,"Apr 04, 2020",977,123,92,80,904,5,2,1,1
50,"Apr 05, 2020",1074,97,91,78,989,6,1,1,0
51,"Apr 06, 2020",1217,143,121,95,1124,6,0,1,1
52,"Apr 07, 2020",1281,64,102,92,1179,6,0,0,1
53,"Apr 08, 2020",1336,55,87,91,1227,7,1,0,0
54,"Apr 09, 2020",1435,99,73,91,1314,8,1,1,1
55,"Apr 10, 2020",1492,57,70,91,1362,10,2,1,1
56,"Apr 11, 2020",1589,97,84,87,1427,10,0,1,1
57,"Apr 12, 2020",1747,158,104,96,1551,10,0,1,0
58,"Apr 13, 2020",2004,257,171,113,1732,12,2,1,1
59,"Apr 14, 2020",2263,259,225,140,1867,14,2,1,1
60,"Apr 15, 2020",2379,116,210,149,1911,16,2,2,1
61,"Apr 16, 2020",2576,197,191,163,2038,17,1,2,2
62,"Apr 17, 2020",2841,265,193,193,2171,17,0,1,1
63,"Apr 18, 2020",2968,127,196,197,2241,17,0,0,1
64,"Apr 19, 2020",3080,112,168,190,2310,17,0,0,1
65,"Apr 20, 2020",3404,324,188,200,2544,19,2,1,1
66,"Apr 21, 2020",3667,263,233,201,2728,19,0,0,0
67,"Apr 22, 2020",3924,257,281,221,2936,19,0,1,1
68,"Apr 23, 2020",4207,283,268,233,3133,20,1,0,0
