Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",5,0,0,0,5,0,0,0,0
10,"Feb 25, 2020",11,6,3,1,11,0,0,0,0
11,"Feb 26, 2020",26,15,9,4,26,0,0,0,0
12,"Feb 27, 2020",43,17,13,6,43,0,0,0,0
13,"Feb 28, 2020",45,2,11,7,45,0,0,0,0
14,"Feb 29, 2020",45,0,6,6,45,0,0,0,0
15,"Mar 01, 2020",46,1,1,7,46,0,0,0,0
16,"Mar 02, 2020",56,10,4,7,56,0,0,0,0
17,"Mar 03, 2020",56,0,4,6,56,0,0,0,0
18,"Mar 04, 2020",56,0,3,5,56,0,0,0,0
19,"Mar 05, 2020",58,2,1,2,58,0,0,0,0
20,"Mar 06, 2020",58,0,0,2,57,0,0,0,0
21,"Mar 07, 2020",61,3,2,2,60,0,0,0,0
22,"Mar 08, 2020",64,3,2,2,63,0,0,0,0
23,"Mar 09, 2020",65,1,2,2,64,0,0,0,0
24,"Mar 10, 2020",69,4,3,2,68,0,0,0,0
25,"Mar 11, 2020",72,3,3,2,69,0,0,0,0
26,"Mar 12, 2020",80,8,5,3,75,0,0,0,0
27,"Mar 13, 2020",100,20,10,6,95,0,0,0,0
28,"Mar 14, 2020",104,4,11,6,97,0,0,0,0
29,"Mar 15, 2020",112,8,10,7,103,0,0,0,0
30,"Mar 16, 2020",123,11,8,8,114,0,0,0,0
31,"Mar 17, 2020",130,7,9,9,118,0,0,0,0
32,"Mar 18, 2020",142,12,10,10,127,0,0,0,0
33,"Mar 19, 2020",148,6,8,10,130,0,0,0,0
34,"Mar 20, 2020",159,11,10,8,137,0,0,0,0
35,"Mar 21, 2020",176,17,11,10,149,0,0,0,0
36,"Mar 22, 2020",188,12,13,11,158,0,0,0,0
37,"Mar 23, 2020",189,1,10,10,159,0,0,0,0
38,"Mar 24, 2020",191,2,5,8,152,0,0,0,0
39,"Mar 25, 2020",195,4,3,8,152,0,0,0,0
40,"Mar 26, 2020",208,13,6,9,159,0,0,0,0
41,"Mar 27, 2020",225,17,11,9,168,0,0,0,0
42,"Mar 28, 2020",235,10,14,8,171,0,0,0,0
43,"Mar 29, 2020",255,20,15,10,188,0,0,0,0
44,"Mar 30, 2020",266,11,14,11,194,0,0,0,0
45,"Mar 31, 2020",289,23,18,14,216,0,0,0,0
46,"Apr 01, 2020",317,28,21,17,237,0,0,0,0
47,"Apr 02, 2020",342,25,25,20,261,0,0,0,0
48,"Apr 03, 2020",417,75,43,27,335,0,0,0,0
49,"Apr 04, 2020",479,62,54,35,385,1,1,0,0
50,"Apr 05, 2020",556,77,71,43,456,1,0,0,0
51,"Apr 06, 2020",665,109,83,57,561,1,0,0,0
52,"Apr 07, 2020",743,78,88,65,637,1,0,0,0
53,"Apr 08, 2020",855,112,99,77,743,1,0,0,0
54,"Apr 09, 2020",910,55,82,81,798,1,0,0,0
55,"Apr 10, 2020",993,83,83,82,869,1,0,0,0
56,"Apr 11, 2020",1154,161,100,96,1020,1,0,0,0
57,"Apr 12, 2020",1234,80,108,97,1091,1,0,0,0
58,"Apr 13, 2020",1300,66,102,91,1148,2,1,0,0
59,"Apr 14, 2020",1355,55,67,87,1176,3,1,1,0
60,"Apr 15, 2020",1405,50,57,79,1196,3,0,1,1
61,"Apr 16, 2020",1524,119,75,88,1296,3,0,0,0
62,"Apr 17, 2020",1658,134,101,95,1395,5,2,1,1
63,"Apr 18, 2020",1751,93,115,85,1465,6,1,1,0
64,"Apr 19, 2020",1915,164,131,97,1603,7,1,1,1
65,"Apr 20, 2020",1995,80,112,100,1619,9,2,1,1
66,"Apr 21, 2020",2080,85,110,103,1657,11,2,2,1
67,"Apr 22, 2020",2248,168,111,121,1792,13,2,2,2
68,"Apr 23, 2020",2399,151,134,125,1887,14,1,2,1
