Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",0,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",0,0,0,0,0,0,0,0,0
21,"Mar 07, 2020",0,0,0,0,0,0,0,0,0
22,"Mar 08, 2020",0,0,0,0,0,0,0,0,0
23,"Mar 09, 2020",0,0,0,0,0,0,0,0,0
24,"Mar 10, 2020",0,0,0,0,0,0,0,0,0
25,"Mar 11, 2020",0,0,0,0,0,0,0,0,0
26,"Mar 12, 2020",0,0,0,0,0,0,0,0,0
27,"Mar 13, 2020",0,0,0,0,0,0,0,0,0
28,"Mar 14, 2020",0,0,0,0,0,0,0,0,0
29,"Mar 15, 2020",0,0,0,0,0,0,0,0,0
30,"Mar 16, 2020",0,0,0,0,0,0,0,0,0
31,"Mar 17, 2020",0,0,0,0,0,0,0,0,0
32,"Mar 18, 2020",5,0,0,0,5,0,0,0,0
33,"Mar 19, 2020",5,0,1,0,5,0,0,0,0
34,"Mar 20, 2020",10,5,4,2,10,0,0,0,0
35,"Mar 21, 2020",25,15,6,3,25,0,0,0,0
36,"Mar 22, 2020",25,0,7,4,25,0,0,0,0
37,"Mar 23, 2020",29,4,6,4,29,0,0,0,0
38,"Mar 24, 2020",77,48,18,11,77,0,0,0,0
39,"Mar 25, 2020",81,4,18,11,81,0,0,0,0
40,"Mar 26, 2020",81,0,18,11,81,0,0,0,0
41,"Mar 27, 2020",107,26,10,14,107,0,0,0,0
42,"Mar 28, 2020",107,0,8,11,107,0,0,0,0
43,"Mar 29, 2020",155,48,25,19,155,0,0,0,0
44,"Mar 30, 2020",173,18,22,21,165,0,0,0,0
45,"Mar 31, 2020",197,24,30,17,189,0,0,0,0
46,"Apr 01, 2020",204,7,16,17,196,0,0,0,0
47,"Apr 02, 2020",213,9,14,19,200,0,0,0,0
48,"Apr 03, 2020",239,26,14,19,219,4,0,0,0
49,"Apr 04, 2020",265,26,20,23,237,4,0,2,0
50,"Apr 05, 2020",270,5,19,16,242,4,0,1,1
51,"Apr 06, 2020",396,126,52,32,291,15,11,4,2
52,"Apr 07, 2020",418,22,51,31,313,15,0,3,2
53,"Apr 08, 2020",495,77,75,42,390,15,0,4,2
54,"Apr 09, 2020",513,18,39,43,403,15,0,0,2
55,"Apr 10, 2020",546,33,43,44,432,19,4,1,2
56,"Apr 11, 2020",621,75,42,51,482,19,0,2,3
57,"Apr 12, 2020",690,69,59,60,524,19,0,1,2
58,"Apr 13, 2020",767,77,74,53,565,19,0,0,0
59,"Apr 14, 2020",787,20,55,52,574,19,0,0,1
60,"Apr 15, 2020",822,35,44,47,590,19,0,0,0
61,"Apr 16, 2020",853,31,29,49,585,19,0,0,1
62,"Apr 17, 2020",895,42,36,49,564,19,0,0,0
63,"Apr 18, 2020",926,31,34,44,551,19,0,0,0
64,"Apr 19, 2020",1014,88,54,46,631,19,0,0,0
65,"Apr 20, 2020",1040,26,48,39,464,26,7,2,1
66,"Apr 21, 2020",1080,40,52,42,463,26,0,3,1
67,"Apr 22, 2020",1120,40,35,43,399,26,0,2,1
68,"Apr 23, 2020",1155,35,38,43,299,30,4,1,2
69,"Apr 24, 2020",1201,46,41,44,290,30,0,2,1
