Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",1,0,0,0,1,0,0,0,0
17,"Mar 03, 2020",1,0,0,0,1,0,0,0,0
18,"Mar 04, 2020",1,0,0,0,1,0,0,0,0
19,"Mar 05, 2020",1,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",1,0,0,0,0,0,0,0,0
21,"Mar 07, 2020",1,0,0,0,0,0,0,0,0
22,"Mar 08, 2020",3,2,1,0,2,0,0,0,0
23,"Mar 09, 2020",6,3,1,1,5,0,0,0,0
24,"Mar 10, 2020",8,2,3,1,7,0,0,0,0
25,"Mar 11, 2020",10,2,2,1,9,0,0,0,0
26,"Mar 12, 2020",16,6,3,2,15,0,0,0,0
27,"Mar 13, 2020",17,1,3,3,16,0,0,0,0
28,"Mar 14, 2020",26,9,6,3,25,0,0,0,0
29,"Mar 15, 2020",30,4,4,4,29,0,0,0,0
30,"Mar 16, 2020",34,4,6,4,33,0,0,0,0
31,"Mar 17, 2020",60,26,11,8,59,0,0,0,0
32,"Mar 18, 2020",71,11,14,8,70,0,0,0,0
33,"Mar 19, 2020",86,15,17,10,85,0,0,0,0
34,"Mar 20, 2020",111,25,17,14,108,0,0,0,0
35,"Mar 21, 2020",124,13,18,14,120,0,0,0,0
36,"Mar 22, 2020",139,15,18,15,133,0,0,0,0
37,"Mar 23, 2020",180,41,23,21,174,0,0,0,0
38,"Mar 24, 2020",197,17,24,20,189,0,0,0,0
39,"Mar 25, 2020",221,24,27,21,211,0,0,0,0
40,"Mar 26, 2020",244,23,22,23,232,0,0,0,0
41,"Mar 27, 2020",280,36,27,24,263,0,0,0,0
42,"Mar 28, 2020",305,25,28,26,279,0,0,0,0
43,"Mar 29, 2020",347,42,35,29,317,0,0,0,0
44,"Mar 30, 2020",376,29,32,28,342,0,0,0,0
45,"Mar 31, 2020",398,22,31,29,338,0,0,0,0
46,"Apr 01, 2020",446,48,33,32,375,0,0,0,0
47,"Apr 02, 2020",458,12,27,31,372,0,0,0,0
48,"Apr 03, 2020",493,35,32,30,384,1,1,0,0
49,"Apr 04, 2020",509,16,21,29,388,1,0,0,0
50,"Apr 05, 2020",533,24,25,27,397,1,0,0,0
51,"Apr 06, 2020",542,9,16,24,362,1,0,0,0
52,"Apr 07, 2020",548,6,13,21,351,2,1,0,0
53,"Apr 08, 2020",577,29,15,19,356,2,0,1,0
54,"Apr 09, 2020",589,12,15,19,345,3,1,0,1
55,"Apr 10, 2020",612,23,22,17,332,3,0,1,0
56,"Apr 11, 2020",630,18,17,17,325,3,0,0,0
57,"Apr 12, 2020",651,21,21,17,304,5,2,1,1
58,"Apr 13, 2020",655,4,14,16,277,5,0,0,0
59,"Apr 14, 2020",657,2,9,15,259,5,0,1,1
60,"Apr 15, 2020",666,9,5,13,220,5,0,0,0
61,"Apr 16, 2020",675,9,7,12,217,5,0,0,0
62,"Apr 17, 2020",682,7,8,10,189,5,0,0,1
63,"Apr 18, 2020",712,30,16,12,203,5,0,0,0
64,"Apr 19, 2020",727,15,17,11,194,5,0,0,0
65,"Apr 20, 2020",739,12,19,12,197,5,0,0,0
66,"Apr 21, 2020",748,9,12,13,200,9,4,1,1
67,"Apr 22, 2020",761,13,11,14,184,11,2,2,0
68,"Apr 23, 2020",778,17,13,14,189,11,0,2,1
69,"Apr 24, 2020",784,6,12,15,172,12,1,1,1
