Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",1,0,0,0,1,0,0,0,0
7,"Feb 22, 2020",1,0,0,0,1,0,0,0,0
8,"Feb 23, 2020",1,0,0,0,1,0,0,0,0
9,"Feb 24, 2020",1,0,0,0,1,0,0,0,0
10,"Feb 25, 2020",1,0,0,0,1,0,0,0,0
11,"Feb 26, 2020",2,1,0,0,2,0,0,0,0
12,"Feb 27, 2020",3,1,1,0,3,0,0,0,0
13,"Feb 28, 2020",4,1,1,1,4,0,0,0,0
14,"Feb 29, 2020",7,3,2,1,7,0,0,0,0
15,"Mar 01, 2020",10,3,2,1,10,0,0,0,0
16,"Mar 02, 2020",13,3,3,2,13,0,0,0,0
17,"Mar 03, 2020",13,0,2,1,13,0,0,0,0
18,"Mar 04, 2020",15,2,2,2,15,0,0,0,0
19,"Mar 05, 2020",16,1,1,2,16,0,0,0,0
20,"Mar 06, 2020",22,6,3,3,21,0,0,0,0
21,"Mar 07, 2020",28,6,4,3,27,0,0,0,0
22,"Mar 08, 2020",32,4,5,3,31,0,0,0,0
23,"Mar 09, 2020",41,9,7,4,40,0,0,0,0
24,"Mar 10, 2020",52,11,8,5,50,1,1,0,0
25,"Mar 11, 2020",68,16,12,8,65,2,1,0,0
26,"Mar 12, 2020",68,0,9,7,64,3,1,1,0
27,"Mar 13, 2020",77,9,8,8,73,3,0,1,0
28,"Mar 14, 2020",93,16,8,10,89,3,0,0,1
29,"Mar 15, 2020",110,17,14,11,106,3,0,0,0
30,"Mar 16, 2020",109,-1,11,9,103,3,0,0,1
31,"Mar 17, 2020",124,15,10,11,116,4,1,0,0
32,"Mar 18, 2020",133,9,8,9,125,4,0,1,0
33,"Mar 19, 2020",157,24,16,13,149,4,0,0,0
34,"Mar 20, 2020",177,20,18,14,169,4,0,0,1
35,"Mar 21, 2020",230,53,32,20,218,4,0,0,0
36,"Mar 22, 2020",248,18,30,19,236,4,0,0,0
37,"Mar 23, 2020",267,19,30,23,255,4,0,0,0
38,"Mar 24, 2020",318,51,30,28,306,4,0,0,0
39,"Mar 25, 2020",333,15,28,28,307,6,2,1,0
40,"Mar 26, 2020",368,35,34,30,339,6,0,0,1
41,"Mar 27, 2020",391,23,24,31,356,8,2,2,0
42,"Mar 28, 2020",412,21,26,26,374,8,0,0,1
43,"Mar 29, 2020",438,26,24,27,398,10,2,2,1
44,"Mar 30, 2020",446,8,18,26,400,11,1,1,1
45,"Mar 31, 2020",463,17,17,20,414,12,1,1,1
46,"Apr 01, 2020",479,16,14,21,422,14,2,1,1
47,"Apr 02, 2020",494,15,16,18,432,16,2,2,1
48,"Apr 03, 2020",508,14,15,17,441,17,1,2,2
49,"Apr 04, 2020",520,12,13,15,449,17,0,1,1
50,"Apr 05, 2020",527,7,11,13,455,18,1,0,1
51,"Apr 06, 2020",541,14,11,14,462,19,1,1,1
52,"Apr 07, 2020",548,7,10,12,467,19,0,1,1
53,"Apr 08, 2020",576,28,16,14,495,19,0,0,1
54,"Apr 09, 2020",582,6,14,12,496,19,0,0,0
55,"Apr 10, 2020",609,27,20,15,513,20,1,0,1
56,"Apr 11, 2020",619,10,14,14,522,20,0,1,0
57,"Apr 12, 2020",630,11,16,14,530,20,0,0,0
58,"Apr 13, 2020",632,2,8,13,532,20,0,0,1
59,"Apr 14, 2020",641,9,7,14,540,21,1,0,0
60,"Apr 15, 2020",658,17,10,11,552,21,0,1,0
61,"Apr 16, 2020",663,5,10,12,556,21,0,0,0
62,"Apr 17, 2020",668,5,9,8,561,21,0,0,1
63,"Apr 18, 2020",672,4,5,8,552,21,0,0,0
64,"Apr 19, 2020",673,1,3,6,550,21,0,0,0
65,"Apr 20, 2020",677,4,3,7,553,21,0,0,0
66,"Apr 21, 2020",677,0,2,5,548,21,0,0,0
67,"Apr 22, 2020",682,5,3,3,547,22,1,0,0
68,"Apr 23, 2020",688,6,3,4,526,22,0,1,0
69,"Apr 24, 2020",696,8,7,4,534,22,0,0,0
