Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",1,1,0,0,1,0,0,0,0
14,"Feb 29, 2020",1,0,0,0,1,0,0,0,0
15,"Mar 01, 2020",1,0,0,0,1,0,0,0,0
16,"Mar 02, 2020",1,0,0,0,1,0,0,0,0
17,"Mar 03, 2020",1,0,0,0,1,0,0,0,0
18,"Mar 04, 2020",1,0,0,0,1,0,0,0,0
19,"Mar 05, 2020",1,0,0,0,1,0,0,0,0
20,"Mar 06, 2020",1,0,0,0,1,0,0,0,0
21,"Mar 07, 2020",1,0,0,0,1,0,0,0,0
22,"Mar 08, 2020",1,0,0,0,1,0,0,0,0
23,"Mar 09, 2020",1,0,0,0,1,0,0,0,0
24,"Mar 10, 2020",1,0,0,0,1,0,0,0,0
25,"Mar 11, 2020",1,0,0,0,1,0,0,0,0
26,"Mar 12, 2020",1,0,0,0,1,0,0,0,0
27,"Mar 13, 2020",1,0,0,0,1,0,0,0,0
28,"Mar 14, 2020",1,0,0,0,0,0,0,0,0
29,"Mar 15, 2020",1,0,0,0,0,0,0,0,0
30,"Mar 16, 2020",1,0,0,0,0,0,0,0,0
31,"Mar 17, 2020",3,2,1,0,2,0,0,0,0
32,"Mar 18, 2020",3,0,0,1,2,0,0,0,0
33,"Mar 19, 2020",3,0,1,0,2,0,0,0,0
34,"Mar 20, 2020",6,3,1,1,4,1,1,0,0
35,"Mar 21, 2020",7,1,1,0,5,1,0,0,0
36,"Mar 22, 2020",32,25,10,5,30,1,0,0,0
37,"Mar 23, 2020",59,27,18,8,57,1,0,0,0
38,"Mar 24, 2020",89,30,27,12,87,1,0,0,0
39,"Mar 25, 2020",112,23,27,16,109,2,1,0,0
40,"Mar 26, 2020",166,54,35,23,162,3,1,1,0
41,"Mar 27, 2020",182,16,31,25,177,4,1,1,1
42,"Mar 28, 2020",226,44,38,32,221,4,0,1,0
43,"Mar 29, 2020",261,35,32,32,256,4,0,0,1
44,"Mar 30, 2020",278,17,32,32,273,4,0,0,0
45,"Mar 31, 2020",364,86,46,39,359,4,0,0,1
46,"Apr 01, 2020",403,39,47,42,396,6,2,1,0
47,"Apr 02, 2020",472,69,65,43,465,6,0,0,1
48,"Apr 03, 2020",529,57,55,50,522,6,0,1,0
49,"Apr 04, 2020",580,51,59,50,572,7,1,0,0
50,"Apr 05, 2020",619,39,49,52,610,8,1,1,1
51,"Apr 06, 2020",649,30,40,53,638,10,2,1,1
52,"Apr 07, 2020",692,43,37,46,680,11,1,2,1
53,"Apr 08, 2020",722,30,35,46,710,11,0,1,0
54,"Apr 09, 2020",770,48,40,43,758,11,0,0,1
55,"Apr 10, 2020",812,42,40,40,799,12,1,0,1
56,"Apr 11, 2020",850,38,43,39,835,13,1,1,1
57,"Apr 12, 2020",880,30,36,37,864,14,1,1,1
58,"Apr 13, 2020",899,19,29,36,882,15,1,1,0
59,"Apr 14, 2020",906,7,19,30,888,16,1,1,1
60,"Apr 15, 2020",925,19,15,29,900,20,4,2,1
61,"Apr 16, 2020",949,24,17,26,922,20,0,2,2
62,"Apr 17, 2020",977,28,23,23,947,21,1,1,1
63,"Apr 18, 2020",1058,81,45,30,1020,22,1,1,1
64,"Apr 19, 2020",1119,61,56,34,1055,23,1,1,2
65,"Apr 20, 2020",1144,25,56,35,1052,26,3,2,1
66,"Apr 21, 2020",1165,21,36,37,1041,26,0,1,2
67,"Apr 22, 2020",1187,22,22,38,1038,27,1,1,1
68,"Apr 23, 2020",1207,20,21,36,1001,27,0,1,1
