Days,Date,0_DeathRate,1_RecoveryRate,2_Cases,3_DailyCases,4_DailyCases- 3-daymovingaverage,5_DailyCases- 7-daymovingaverage,6_CurrentlyInfected,7_Deaths,8_DailyDeaths,9_DailyDeaths- 3-daymovingaverage,10_DailyDeaths- 7-daymovingaverage,11_NewRecoveries,12_NewCases,13_DeathRate,14_RecoveryRate
0,"Feb 15, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
1,"Feb 16, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
2,"Feb 17, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
3,"Feb 18, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
4,"Feb 19, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
5,"Feb 20, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
6,"Feb 21, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
7,"Feb 22, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
8,"Feb 23, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
9,"Feb 24, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
10,"Feb 25, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
11,"Feb 26, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
12,"Feb 27, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
13,"Feb 28, 2020",0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000
14,"Feb 29, 2020",0.000,0.000,1,0,0,0,1,0,0,0,0,0,0,0.000,0.000
15,"Mar 01, 2020",0.000,0.000,1,0,0,0,1,0,0,0,0,0,0,0.000,0.000
16,"Mar 02, 2020",0.000,0.000,1,0,0,0,1,0,0,0,0,0,0,0.000,0.000
17,"Mar 03, 2020",0.000,0.000,1,0,0,0,1,0,0,0,0,0,0,0.000,0.000
18,"Mar 04, 2020",0.000,0.000,1,0,0,0,1,0,0,0,0,0,0,0.000,0.000
19,"Mar 05, 2020",0.000,0.000,2,1,0,0,2,0,0,0,0,0,1,0.000,0.000
20,"Mar 06, 2020",0.000,0.000,3,1,1,0,3,0,0,0,0,0,1,0.000,0.000
21,"Mar 07, 2020",0.000,0.000,4,1,1,1,4,0,0,0,0,0,1,0.000,0.000
22,"Mar 08, 2020",0.000,0.000,5,1,1,0,5,0,0,0,0,0,1,0.000,0.000
23,"Mar 09, 2020",0.000,0.000,5,0,1,1,5,0,0,0,0,0,0,0.000,0.000
24,"Mar 10, 2020",0.000,0.000,7,2,1,1,7,0,0,0,0,0,2,0.000,0.000
25,"Mar 11, 2020",0.000,0.000,7,0,0,1,7,0,0,0,0,0,0,0.000,0.000
26,"Mar 12, 2020",0.000,0.000,23,16,6,3,23,0,0,0,0,0,16,0.000,0.000
27,"Mar 13, 2020",100.000,0.000,33,10,9,4,32,1,1,0,0,0,10,100.000,0.000
28,"Mar 14, 2020",100.000,0.000,44,11,12,6,43,1,0,0,0,0,11,100.000,0.000
29,"Mar 15, 2020",100.000,0.000,65,21,14,8,64,1,0,0,0,0,21,100.000,0.000
30,"Mar 16, 2020",100.000,0.000,68,3,12,9,67,1,0,0,0,0,3,100.000,0.000
31,"Mar 17, 2020",100.000,0.000,116,48,24,16,115,1,0,0,0,0,48,100.000,0.000
32,"Mar 18, 2020",100.000,0.000,168,52,34,23,166,2,1,0,0,0,52,100.000,0.000
33,"Mar 19, 2020",40.000,60.000,276,108,70,36,266,4,2,1,1,6,108,40.000,60.000
34,"Mar 20, 2020",45.450,54.550,398,122,94,52,387,5,1,2,0,0,122,45.450,54.550
35,"Mar 21, 2020",57.140,42.860,550,152,127,72,536,8,3,2,1,0,152,57.140,42.860
36,"Mar 22, 2020",57.140,42.860,655,105,126,85,641,8,0,1,1,0,105,57.140,42.860
37,"Mar 23, 2020",57.140,42.860,718,63,107,93,704,8,0,1,1,0,63,57.140,42.860
38,"Mar 24, 2020",57.140,42.860,901,183,117,112,887,8,0,0,1,0,183,57.140,42.860
39,"Mar 25, 2020",72.730,27.270,1092,191,146,132,1081,8,0,0,1,-3,191,72.730,27.270
40,"Mar 26, 2020",69.230,30.770,1190,98,157,130,1177,9,1,0,1,1,98,69.230,30.770
41,"Mar 27, 2020",50.000,50.000,1314,124,138,131,1284,15,6,3,1,11,124,50.000,50.000
42,"Mar 28, 2020",32.730,67.270,1499,185,135,136,1444,18,3,3,2,22,185,32.730,67.270
43,"Mar 29, 2020",28.000,72.000,1596,97,136,134,1521,21,3,4,1,17,97,28.000,72.000
44,"Mar 30, 2020",28.950,71.050,1627,31,104,130,1551,22,1,2,2,0,31,28.950,71.050
45,"Mar 31, 2020",21.700,78.300,1782,155,94,126,1676,23,1,2,3,29,155,21.700,78.300
46,"Apr 01, 2020",14.430,85.570,1897,115,101,115,1696,29,6,3,3,89,115,14.430,85.570
47,"Apr 02, 2020",8.900,91.100,2034,137,135,120,1697,30,1,2,3,135,137,8.900,91.100
48,"Apr 03, 2020",6.680,93.320,2136,102,118,118,1672,31,1,3,2,126,102,6.680,93.320
49,"Apr 04, 2020",5.010,94.990,2232,96,112,105,1613,31,0,1,2,155,96,5.010,94.990
50,"Apr 05, 2020",4.900,95.100,2293,61,86,99,1558,36,5,2,2,111,61,4.900,95.100
51,"Apr 06, 2020",5.440,94.560,2325,32,63,100,1571,41,5,3,3,14,32,5.440,94.560
52,"Apr 07, 2020",4.660,95.340,2429,104,66,92,1484,44,3,4,3,188,104,4.660,95.340
53,"Apr 08, 2020",4.170,95.830,2481,52,63,84,1378,46,2,4,2,156,52,4.170,95.830
54,"Apr 09, 2020",4.180,95.820,2547,66,74,73,1304,52,6,3,3,134,66,4.180,95.820
55,"Apr 10, 2020",3.810,96.190,2635,88,68,71,1217,54,2,4,3,173,88,3.810,96.190
56,"Apr 11, 2020",3.970,96.030,2673,38,64,63,1110,62,8,5,5,137,38,3.970,96.030
57,"Apr 12, 2020",3.980,96.020,2682,9,45,56,1025,66,4,5,4,90,9,3.980,96.020
58,"Apr 13, 2020",4.090,95.910,2691,9,19,52,1004,69,3,5,4,27,9,4.090,95.910
59,"Apr 14, 2020",3.690,96.310,2703,12,10,39,888,67,-2,1,3,130,12,3.690,96.310
60,"Apr 15, 2020",3.620,96.380,2757,54,25,40,852,69,2,1,4,88,54,3.620,96.380
61,"Apr 16, 2020",3.420,96.580,2815,58,41,38,799,69,0,0,2,111,58,3.420,96.580
62,"Apr 17, 2020",3.400,96.600,2844,29,47,30,725,72,3,2,3,100,29,3.400,96.600
63,"Apr 18, 2020",3.260,96.740,2891,47,45,31,685,72,0,1,1,87,47,3.260,96.740
64,"Apr 19, 2020",3.220,96.780,2902,11,29,31,634,73,1,1,1,61,11,3.220,96.780
65,"Apr 20, 2020",3.250,96.750,2909,7,22,32,602,75,2,1,1,37,7,3.250,96.750
66,"Apr 21, 2020",3.290,96.710,2958,49,22,36,584,78,3,2,2,64,49,3.290,96.710
67,"Apr 22, 2020",3.290,96.710,2987,29,28,33,556,80,2,3,1,55,29,3.290,96.710
68,"Apr 23, 2020",3.320,96.680,2996,9,29,26,499,83,3,2,2,63,9,3.320,96.680
69,"Apr 24, 2020",3.330,96.670,3021,25,21,25,470,85,2,3,2,52,25,3.330,96.670
70,"Apr 25, 2020",3.270,96.730,3034,13,16,20,438,85,0,1,2,45,13,3.270,96.730
71,"Apr 26, 2020",3.370,96.630,3044,10,16,21,434,88,3,2,2,11,10,3.370,96.630
72,"Apr 27, 2020",3.360,96.640,3049,5,9,20,428,88,0,1,2,11,5,3.360,96.640
73,"Apr 28, 2020",3.380,96.620,3059,10,9,14,425,89,1,1,1,12,10,3.380,96.620
74,"Apr 29, 2020",3.300,96.700,3082,23,12,14,384,89,0,1,2,64,23,3.300,96.700
75,"Apr 30, 2020",3.290,96.710,3094,12,15,14,359,90,1,0,1,36,12,3.290,96.710
76,"May 01, 2020",3.320,96.680,3109,15,17,12,341,92,2,1,1,31,15,3.320,96.680
77,"May 02, 2020",3.270,96.730,3117,8,12,12,301,92,0,1,1,48,8,3.270,96.730
78,"May 03, 2020",3.380,96.620,3127,10,11,12,287,96,4,2,1,20,10,3.380,96.620
79,"May 04, 2020",3.380,96.620,3130,3,7,12,288,96,0,2,1,2,3,3.380,96.620
80,"May 05, 2020",3.350,96.650,3140,10,7,11,273,96,0,1,1,25,10,3.350,96.650
81,"May 06, 2020",3.380,96.620,3149,9,8,10,252,98,2,1,1,28,9,3.380,96.620
82,"May 07, 2020",3.440,96.560,3156,7,8,9,246,100,2,1,2,11,7,3.440,96.560
83,"May 08, 2020",3.410,96.590,3166,10,9,8,233,100,0,1,1,23,10,3.410,96.590
84,"May 09, 2020",3.420,96.580,3171,5,7,7,214,101,1,1,1,23,5,3.420,96.580
85,"May 10, 2020",3.400,96.600,3178,7,8,8,207,101,0,1,1,14,7,3.400,96.600
86,"May 11, 2020",3.390,96.610,3180,2,4,7,202,101,0,0,1,7,2,3.390,96.610
87,"May 12, 2020",3.410,96.590,3185,5,5,6,190,102,1,0,0,16,5,3.410,96.590
88,"May 13, 2020",3.410,96.590,3193,8,5,7,176,103,1,1,1,21,8,3.410,96.590
89,"May 14, 2020",3.400,96.600,3202,9,7,6,175,103,0,1,1,10,9,3.400,96.600
90,"May 15, 2020",3.420,96.580,3209,7,8,6,167,104,1,0,0,14,7,3.420,96.580
91,"May 16, 2020",3.410,96.590,3215,6,8,7,165,104,0,1,1,8,6,3.410,96.590
92,"May 17, 2020",3.500,96.500,3227,12,8,7,170,107,3,1,0,4,12,3.500,96.500
93,"May 18, 2020",3.500,96.500,3229,2,7,7,169,107,0,1,1,3,2,3.500,96.500
94,"May 19, 2020",3.540,96.460,3238,9,7,7,160,109,2,2,1,16,9,3.540,96.460
95,"May 20, 2020",3.530,96.470,3249,11,8,8,161,109,0,0,1,10,11,3.530,96.470
96,"May 21, 2020",3.520,96.480,3256,7,9,8,163,109,0,1,1,5,7,3.520,96.480
97,"May 22, 2020",3.520,96.480,3257,1,6,7,159,109,0,0,1,5,1,3.520,96.480
98,"May 23, 2020",3.510,96.490,3264,7,5,7,159,109,0,0,0,7,7,3.510,96.490
99,"May 24, 2020",3.530,96.470,3266,2,3,5,151,110,1,0,1,9,2,3.530,96.470
100,"May 25, 2020",3.530,96.470,3267,1,4,6,150,110,0,1,0,2,1,3.530,96.470
101,"May 26, 2020",3.530,96.470,3269,2,1,4,149,110,0,0,0,3,2,3.530,96.470
102,"May 27, 2020",3.520,96.480,3274,5,3,4,147,110,0,0,1,7,5,3.520,96.480
103,"May 28, 2020",3.510,96.490,3280,6,4,3,144,110,0,0,0,9,6,3.510,96.490
104,"May 29, 2020",3.500,96.500,3283,3,5,4,143,110,0,0,0,4,3,3.500,96.500
105,"May 30, 2020",3.500,96.500,3286,3,4,3,140,110,0,0,0,6,3,3.500,96.500
106,"May 31, 2020",3.490,96.510,3288,2,3,3,132,110,0,0,0,10,2,3.490,96.510
107,"Jun 01, 2020",3.480,96.520,3289,1,2,3,131,110,0,0,0,2,1,3.480,96.520
108,"Jun 02, 2020",3.470,96.530,3290,1,1,3,118,110,0,0,0,14,1,3.470,96.530
109,"Jun 03, 2020",3.460,96.540,3293,3,2,3,113,110,0,0,0,8,3,3.460,96.540
110,"Jun 04, 2020",3.450,96.550,3295,2,2,2,104,110,0,0,0,11,2,3.450,96.550
111,"Jun 05, 2020",3.450,96.550,3299,4,3,2,108,110,0,0,0,0,4,3.450,96.550
112,"Jun 06, 2020",3.440,96.560,3301,2,2,3,100,110,0,0,0,10,2,3.440,96.560
113,"Jun 07, 2020",3.430,96.570,3304,3,3,2,101,110,0,0,0,2,3,3.430,96.570
114,"Jun 08, 2020",3.430,96.570,3305,1,2,2,101,110,0,0,0,1,1,3.430,96.570
115,"Jun 09, 2020",3.430,96.570,3310,5,3,3,103,110,0,0,0,3,5,3.430,96.570
116,"Jun 10, 2020",3.420,96.580,3312,2,3,3,100,110,0,0,0,5,2,3.420,96.580
117,"Jun 11, 2020",3.420,96.580,3314,2,3,2,100,110,0,0,0,2,2,3.420,96.580
118,"Jun 12, 2020",3.420,96.580,3316,2,2,3,99,110,0,0,0,3,2,3.420,96.580
119,"Jun 13, 2020",3.410,96.590,3323,7,4,3,101,110,0,0,0,5,7,3.410,96.590
120,"Jun 14, 2020",3.410,96.590,3329,6,5,4,105,110,0,0,0,2,6,3.410,96.590
