Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",22,0,0,0,15,0,0,0,0
1,"Feb 16, 2020",22,0,1,0,14,0,0,0,0
2,"Feb 17, 2020",22,0,1,1,13,0,0,0,0
3,"Feb 18, 2020",22,0,0,1,11,0,0,0,0
4,"Feb 19, 2020",22,0,0,0,7,0,0,0,0
5,"Feb 20, 2020",22,0,0,1,5,0,0,0,0
6,"Feb 21, 2020",22,0,0,0,5,0,0,0,0
7,"Feb 22, 2020",22,0,0,0,5,0,0,0,0
8,"Feb 23, 2020",22,0,0,0,4,0,0,0,0
9,"Feb 24, 2020",22,0,0,0,5,0,0,0,0
10,"Feb 25, 2020",22,0,0,0,2,0,0,0,0
11,"Feb 26, 2020",22,0,0,0,2,0,0,0,0
12,"Feb 27, 2020",22,0,0,0,2,0,0,0,0
13,"Feb 28, 2020",25,3,1,0,5,0,0,0,0
14,"Feb 29, 2020",25,0,1,1,5,0,0,0,0
15,"Mar 01, 2020",29,4,2,1,7,0,0,0,0
16,"Mar 02, 2020",29,0,2,1,7,0,0,0,0
17,"Mar 03, 2020",36,7,3,2,14,0,0,0,0
18,"Mar 04, 2020",50,14,7,4,28,0,0,0,0
19,"Mar 05, 2020",55,5,9,5,33,0,0,0,0
20,"Mar 06, 2020",83,28,16,8,60,0,0,0,0
21,"Mar 07, 2020",93,10,14,10,70,0,0,0,0
22,"Mar 08, 2020",99,6,15,10,75,0,0,0,0
23,"Mar 09, 2020",117,18,11,12,93,0,0,0,0
24,"Mar 10, 2020",129,12,12,13,42,0,0,0,0
25,"Mar 11, 2020",149,20,17,15,123,0,0,0,0
26,"Mar 12, 2020",158,9,13,14,132,0,0,0,0
27,"Mar 13, 2020",197,39,23,17,165,0,0,0,0
28,"Mar 14, 2020",238,41,30,20,203,0,0,0,0
29,"Mar 15, 2020",428,190,90,47,386,0,0,0,0
30,"Mar 16, 2020",566,138,123,64,524,0,0,0,0
31,"Mar 17, 2020",673,107,145,78,622,2,2,0,0
32,"Mar 18, 2020",790,117,120,92,728,2,0,0,0
33,"Mar 19, 2020",900,110,112,106,823,2,0,1,0
34,"Mar 20, 2020",1030,130,119,119,940,3,1,0,0
35,"Mar 21, 2020",1183,153,131,135,1061,8,5,2,1
36,"Mar 22, 2020",1306,123,135,125,1157,10,2,3,2
37,"Mar 23, 2020",1518,212,163,136,1345,14,4,4,2
38,"Mar 24, 2020",1624,106,147,136,1425,16,2,2,2
39,"Mar 25, 2020",1796,172,163,144,1577,20,4,4,2
40,"Mar 26, 2020",2031,235,171,161,1793,23,3,3,3
41,"Mar 27, 2020",2161,130,179,162,1876,26,3,3,4
42,"Mar 28, 2020",2320,159,175,162,1973,27,1,2,2
43,"Mar 29, 2020",2470,150,146,167,2047,35,8,4,4
44,"Mar 30, 2020",2626,156,155,158,2110,37,2,4,3
45,"Mar 31, 2020",2766,140,149,163,2186,43,6,5,4
46,"Apr 01, 2020",2908,142,146,159,2218,45,2,4,4
47,"Apr 02, 2020",3116,208,163,155,2299,50,5,4,4
48,"Apr 03, 2020",3333,217,189,167,2453,53,3,3,3
49,"Apr 04, 2020",3483,150,192,166,2511,57,4,4,5
50,"Apr 05, 2020",3662,179,182,171,2596,61,4,4,3
51,"Apr 06, 2020",3793,131,153,166,2490,62,1,3,4
52,"Apr 07, 2020",3963,170,160,171,2579,63,1,2,3
53,"Apr 08, 2020",4119,156,152,173,2567,65,2,1,3
54,"Apr 09, 2020",4228,109,145,159,2553,67,2,2,2
55,"Apr 10, 2020",4346,118,128,145,2446,70,3,2,3
56,"Apr 11, 2020",4530,184,137,150,2462,73,3,3,2
57,"Apr 12, 2020",4683,153,152,145,2499,76,3,3,2
58,"Apr 13, 2020",4817,134,157,147,2464,77,1,2,2
59,"Apr 14, 2020",4987,170,152,146,2427,82,5,3,3
60,"Apr 15, 2020",5072,85,130,136,2342,83,1,3,2
61,"Apr 16, 2020",5182,110,121,136,2332,84,1,2,3
62,"Apr 17, 2020",5251,69,88,130,2198,86,2,1,2
63,"Apr 18, 2020",5305,54,78,110,2115,88,2,2,2
64,"Apr 19, 2020",5389,84,69,101,2103,89,1,2,2
65,"Apr 20, 2020",5425,36,58,87,2041,89,0,1,2
66,"Apr 21, 2020",5482,57,59,71,2041,92,3,1,1
67,"Apr 22, 2020",5532,50,48,66,1987,93,1,1,2
68,"Apr 23, 2020",5603,71,59,60,1966,95,2,2,1
69,"Apr 24, 2020",5691,88,70,63,1932,96,1,2,2
70,"Apr 25, 2020",5742,51,70,62,1882,98,2,1,1
71,"Apr 26, 2020",5780,38,59,56,1820,98,0,1,1
72,"Apr 27, 2020",5820,40,43,56,1764,99,1,1,2
73,"Apr 28, 2020",5851,31,36,53,1719,100,1,1,1
74,"Apr 29, 2020",5945,94,55,59,1758,100,0,1,1
75,"Apr 30, 2020",6002,57,61,57,1729,102,2,1,1
76,"May 01, 2020",6071,69,73,54,1758,103,1,1,1
77,"May 02, 2020",6176,105,77,62,1747,103,0,1,1
78,"May 03, 2020",6298,122,99,74,1780,105,2,1,1
79,"May 04, 2020",6353,55,94,76,1764,105,0,0,1
80,"May 05, 2020",6383,30,69,76,1710,106,1,1,0
81,"May 06, 2020",6428,45,43,69,1619,107,1,1,1
82,"May 07, 2020",6467,39,38,67,1584,107,0,1,1
83,"May 08, 2020",6535,68,51,66,1564,107,0,0,1
84,"May 09, 2020",6589,54,53,59,1552,108,1,0,0
85,"May 10, 2020",6656,67,63,51,1523,108,0,1,1
86,"May 11, 2020",6726,70,64,54,1504,109,1,0,0
87,"May 12, 2020",6742,16,51,51,1410,109,0,1,1
88,"May 13, 2020",6779,37,41,50,1387,111,2,1,0
89,"May 14, 2020",6819,40,31,50,1356,112,1,1,1
90,"May 15, 2020",6855,36,38,46,1304,112,0,1,1
91,"May 16, 2020",6872,17,31,40,1247,113,1,0,1
92,"May 17, 2020",6894,22,25,34,1210,113,0,1,0
93,"May 18, 2020",6941,47,28,31,1213,113,0,0,1
94,"May 19, 2020",6978,37,36,34,1218,114,1,0,1
95,"May 20, 2020",7009,31,38,33,1189,114,0,1,0
96,"May 21, 2020",7059,50,39,34,1149,114,0,0,0
97,"May 22, 2020",7137,78,53,40,1163,115,1,0,1
98,"May 23, 2020",7185,48,59,45,1158,115,0,1,0
99,"May 24, 2020",7245,60,62,50,1185,115,0,0,0
100,"May 25, 2020",7417,172,93,68,1323,115,0,0,1
101,"May 26, 2020",7604,187,140,90,1448,115,0,0,0
102,"May 27, 2020",7619,15,125,87,1421,115,0,0,0
103,"May 28, 2020",7629,10,70,81,1345,115,0,0,0
104,"May 29, 2020",7732,103,43,85,1382,115,0,0,0
105,"May 30, 2020",7762,30,48,83,1317,115,0,0,0
106,"May 31, 2020",7819,57,63,82,1351,115,0,0,0
107,"Jun 01, 2020",7857,38,42,62,1338,115,0,0,0
108,"Jun 02, 2020",7877,20,38,39,1292,115,0,0,0
109,"Jun 03, 2020",7970,93,50,51,1324,115,0,0,0
110,"Jun 04, 2020",8247,277,130,88,1573,115,0,0,0
111,"Jun 05, 2020",8266,19,130,76,1540,116,1,0,0
112,"Jun 06, 2020",8303,37,111,77,1551,117,1,1,0
113,"Jun 07, 2020",8322,19,25,72,1531,117,0,1,1
114,"Jun 08, 2020",8329,7,21,68,1518,117,0,0,0
115,"Jun 09, 2020",8336,7,11,65,1244,117,0,0,0
116,"Jun 10, 2020",8338,2,5,53,1206,118,1,0,1
117,"Jun 11, 2020",8369,31,14,17,1186,118,0,1,0
118,"Jun 12, 2020",8402,33,22,20,1115,119,1,0,1
119,"Jun 13, 2020",8445,43,35,20,1014,120,1,1,0
120,"Jun 14, 2020",8453,8,28,19,986,121,1,1,1
121,"Jun 15, 2020",8494,41,31,23,973,121,0,1,0
122,"Jun 16, 2020",8505,11,20,24,651,121,0,0,1
123,"Jun 17, 2020",8515,10,21,26,521,121,0,0,0
124,"Jun 18, 2020",8529,14,11,23,408,121,0,0,1
125,"Jun 19, 2020",8535,6,10,19,344,121,0,0,0
126,"Jun 20, 2020",8556,21,14,15,289,121,0,0,0
127,"Jun 21, 2020",8572,16,14,17,295,121,0,0,0
128,"Jun 22, 2020",8587,15,18,14,289,121,0,0,0
