Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",0,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",0,0,0,0,0,0,0,0,0
21,"Mar 07, 2020",3,0,0,0,3,0,0,0,0
22,"Mar 08, 2020",3,0,1,0,3,0,0,0,0
23,"Mar 09, 2020",4,1,1,0,4,0,0,0,0
24,"Mar 10, 2020",5,1,1,1,5,0,0,0,0
25,"Mar 11, 2020",7,2,1,1,7,0,0,0,0
26,"Mar 12, 2020",9,2,2,1,9,0,0,0,0
27,"Mar 13, 2020",12,3,2,2,11,0,0,0,0
28,"Mar 14, 2020",18,6,4,2,17,0,0,0,0
29,"Mar 15, 2020",21,3,4,3,19,0,0,0,0
30,"Mar 16, 2020",30,9,6,4,28,0,0,0,0
31,"Mar 17, 2020",38,8,7,4,36,0,0,0,0
32,"Mar 18, 2020",48,10,9,6,46,0,0,0,0
33,"Mar 19, 2020",53,5,7,6,51,0,0,0,0
34,"Mar 20, 2020",64,11,9,8,62,0,0,0,0
35,"Mar 21, 2020",73,9,8,8,71,0,0,0,0
36,"Mar 22, 2020",90,17,13,10,88,0,0,0,0
37,"Mar 23, 2020",107,17,14,11,105,0,0,0,0
38,"Mar 24, 2020",110,3,12,10,108,0,0,0,0
39,"Mar 25, 2020",129,19,13,11,127,0,0,0,0
40,"Mar 26, 2020",134,5,9,12,132,0,0,0,0
41,"Mar 27, 2020",139,5,10,11,137,0,0,0,0
42,"Mar 28, 2020",149,10,7,11,147,0,0,0,0
43,"Mar 29, 2020",151,2,5,8,149,0,0,0,0
44,"Mar 30, 2020",156,5,6,7,154,0,0,0,0
45,"Mar 31, 2020",169,13,7,9,167,0,0,0,0
46,"Apr 01, 2020",188,19,12,8,186,0,0,0,0
47,"Apr 02, 2020",196,8,13,9,194,0,0,0,0
48,"Apr 03, 2020",202,6,11,9,200,0,0,0,0
49,"Apr 04, 2020",213,11,9,9,211,0,0,0,0
50,"Apr 05, 2020",227,14,10,11,222,0,0,0,0
51,"Apr 06, 2020",241,14,13,12,236,0,0,0,0
52,"Apr 07, 2020",293,52,27,18,288,0,0,0,0
53,"Apr 08, 2020",299,6,24,16,282,1,0,0,0
54,"Apr 09, 2020",337,38,32,20,319,2,1,0,0
55,"Apr 10, 2020",350,13,19,21,332,2,0,1,0
56,"Apr 11, 2020",370,20,23,22,351,3,1,0,0
57,"Apr 12, 2020",378,8,14,22,331,3,0,1,1
58,"Apr 13, 2020",384,6,11,20,337,3,0,0,0
59,"Apr 14, 2020",393,9,8,15,346,3,0,0,0
60,"Apr 15, 2020",399,6,7,14,352,3,0,0,1
61,"Apr 16, 2020",412,13,9,11,327,3,0,0,0
62,"Apr 17, 2020",422,10,10,10,328,3,0,0,0
63,"Apr 18, 2020",426,4,9,8,324,3,0,0,0
64,"Apr 19, 2020",427,1,5,7,306,3,0,0,0
65,"Apr 20, 2020",431,4,3,7,302,3,0,0,0
66,"Apr 21, 2020",443,12,6,7,290,3,0,0,0
67,"Apr 22, 2020",444,1,5,6,276,3,0,0,0
68,"Apr 23, 2020",445,1,5,5,238,3,0,0,0
69,"Apr 24, 2020",447,2,1,4,221,3,0,0,0
