Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",0,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",0,0,0,0,0,0,0,0,0
21,"Mar 07, 2020",0,0,0,0,0,0,0,0,0
22,"Mar 08, 2020",0,0,0,0,0,0,0,0,0
23,"Mar 09, 2020",0,0,0,0,0,0,0,0,0
24,"Mar 10, 2020",0,0,0,0,0,0,0,0,0
25,"Mar 11, 2020",0,0,0,0,0,0,0,0,0
26,"Mar 12, 2020",0,0,0,0,0,0,0,0,0
27,"Mar 13, 2020",0,0,0,0,0,0,0,0,0
28,"Mar 14, 2020",0,0,0,0,0,0,0,0,0
29,"Mar 15, 2020",0,0,0,0,0,0,0,0,0
30,"Mar 16, 2020",0,0,0,0,0,0,0,0,0
31,"Mar 17, 2020",0,0,0,0,0,0,0,0,0
32,"Mar 18, 2020",3,0,0,0,3,0,0,0,0
33,"Mar 19, 2020",7,4,2,0,7,0,0,0,0
34,"Mar 20, 2020",12,5,4,2,12,0,0,0,0
35,"Mar 21, 2020",14,2,4,2,13,1,0,0,0
36,"Mar 22, 2020",28,14,7,4,26,2,1,0,0
37,"Mar 23, 2020",36,8,8,5,34,2,0,1,0
38,"Mar 24, 2020",42,6,9,6,40,2,0,0,0
39,"Mar 25, 2020",48,6,7,7,46,2,0,0,0
40,"Mar 26, 2020",81,33,15,10,79,2,0,0,1
41,"Mar 27, 2020",94,13,17,12,92,2,0,0,0
42,"Mar 28, 2020",102,8,18,13,100,2,0,0,0
43,"Mar 29, 2020",107,5,9,11,104,3,1,0,0
44,"Mar 30, 2020",128,21,11,13,125,3,0,1,0
45,"Mar 31, 2020",143,15,14,14,138,5,2,1,1
46,"Apr 01, 2020",161,18,18,17,155,6,1,1,0
47,"Apr 02, 2020",169,8,14,12,162,7,1,1,1
48,"Apr 03, 2020",186,17,14,13,179,7,0,1,1
49,"Apr 04, 2020",196,10,12,14,182,7,0,0,0
50,"Apr 05, 2020",227,31,19,17,213,7,0,0,1
51,"Apr 06, 2020",244,17,19,16,230,7,0,0,1
52,"Apr 07, 2020",268,24,24,18,253,7,0,0,0
53,"Apr 08, 2020",273,5,16,16,247,7,0,0,0
54,"Apr 09, 2020",314,41,23,21,284,7,0,0,0
55,"Apr 10, 2020",318,4,17,19,286,9,2,1,0
56,"Apr 11, 2020",319,1,15,17,282,9,0,0,1
57,"Apr 12, 2020",324,5,3,14,273,9,0,1,0
58,"Apr 13, 2020",324,0,2,12,273,9,0,0,0
59,"Apr 14, 2020",324,0,2,8,264,9,0,0,0
60,"Apr 15, 2020",324,0,0,7,250,9,0,0,1
61,"Apr 16, 2020",324,0,0,1,234,9,0,0,0
62,"Apr 17, 2020",324,0,0,1,207,9,0,0,0
63,"Apr 18, 2020",325,1,0,1,136,9,0,0,0
64,"Apr 19, 2020",328,3,2,1,111,9,0,0,0
65,"Apr 20, 2020",328,0,1,0,95,9,0,0,0
66,"Apr 21, 2020",328,0,1,1,76,9,0,0,0
67,"Apr 22, 2020",329,1,0,1,59,9,0,0,0
68,"Apr 23, 2020",331,2,1,1,56,9,0,0,0
69,"Apr 24, 2020",331,0,1,1,37,9,0,0,0
