Days,Date,0_Cases,1_DailyCases,2_DailyCases- 3-daymovingaverage,3_DailyCases- 7-daymovingaverage,4_CurrentlyInfected,5_Deaths,6_DailyDeaths,7_DailyDeaths- 3-daymovingaverage,8_DailyDeaths- 7-daymovingaverage
0,"Feb 15, 2020",0,0,0,0,0,0,0,0,0
1,"Feb 16, 2020",0,0,0,0,0,0,0,0,0
2,"Feb 17, 2020",0,0,0,0,0,0,0,0,0
3,"Feb 18, 2020",0,0,0,0,0,0,0,0,0
4,"Feb 19, 2020",0,0,0,0,0,0,0,0,0
5,"Feb 20, 2020",0,0,0,0,0,0,0,0,0
6,"Feb 21, 2020",0,0,0,0,0,0,0,0,0
7,"Feb 22, 2020",0,0,0,0,0,0,0,0,0
8,"Feb 23, 2020",0,0,0,0,0,0,0,0,0
9,"Feb 24, 2020",0,0,0,0,0,0,0,0,0
10,"Feb 25, 2020",0,0,0,0,0,0,0,0,0
11,"Feb 26, 2020",0,0,0,0,0,0,0,0,0
12,"Feb 27, 2020",0,0,0,0,0,0,0,0,0
13,"Feb 28, 2020",0,0,0,0,0,0,0,0,0
14,"Feb 29, 2020",0,0,0,0,0,0,0,0,0
15,"Mar 01, 2020",0,0,0,0,0,0,0,0,0
16,"Mar 02, 2020",0,0,0,0,0,0,0,0,0
17,"Mar 03, 2020",0,0,0,0,0,0,0,0,0
18,"Mar 04, 2020",0,0,0,0,0,0,0,0,0
19,"Mar 05, 2020",0,0,0,0,0,0,0,0,0
20,"Mar 06, 2020",0,0,0,0,0,0,0,0,0
21,"Mar 07, 2020",0,0,0,0,0,0,0,0,0
22,"Mar 08, 2020",0,0,0,0,0,0,0,0,0
23,"Mar 09, 2020",0,0,0,0,0,0,0,0,0
24,"Mar 10, 2020",0,0,0,0,0,0,0,0,0
25,"Mar 11, 2020",0,0,0,0,0,0,0,0,0
26,"Mar 12, 2020",0,0,0,0,0,0,0,0,0
27,"Mar 13, 2020",0,0,0,0,0,0,0,0,0
28,"Mar 14, 2020",1,0,0,0,1,0,0,0,0
29,"Mar 15, 2020",1,0,0,0,1,0,0,0,0
30,"Mar 16, 2020",2,1,0,0,2,0,0,0,0
31,"Mar 17, 2020",3,1,1,0,3,0,0,0,0
32,"Mar 18, 2020",3,0,1,0,3,0,0,0,0
33,"Mar 19, 2020",4,1,0,1,4,0,0,0,0
34,"Mar 20, 2020",7,3,2,1,7,0,0,0,0
35,"Mar 21, 2020",11,4,2,1,11,0,0,0,0
36,"Mar 22, 2020",11,0,3,2,11,0,0,0,0
37,"Mar 23, 2020",24,13,5,3,24,0,0,0,0
38,"Mar 24, 2020",36,12,9,5,36,0,0,0,0
39,"Mar 25, 2020",36,0,8,4,36,0,0,0,0
40,"Mar 26, 2020",36,0,4,5,36,0,0,0,0
41,"Mar 27, 2020",50,14,5,6,50,0,0,0,0
42,"Mar 28, 2020",63,13,9,8,63,0,0,0,0
43,"Mar 29, 2020",63,0,9,7,63,0,0,0,0
44,"Mar 30, 2020",82,19,10,8,72,0,0,0,0
45,"Mar 31, 2020",94,12,11,9,83,1,0,0,0
46,"Apr 01, 2020",101,7,12,9,90,1,0,0,0
47,"Apr 02, 2020",116,15,12,11,105,1,0,0,0
48,"Apr 03, 2020",128,12,11,11,116,2,1,0,0
49,"Apr 04, 2020",134,6,11,11,118,2,0,1,0
50,"Apr 05, 2020",147,13,10,12,131,2,0,0,0
51,"Apr 06, 2020",164,17,12,11,147,2,0,0,1
52,"Apr 07, 2020",171,7,13,11,147,2,0,0,0
53,"Apr 08, 2020",184,13,12,12,160,2,0,0,0
54,"Apr 09, 2020",184,0,7,10,156,2,0,0,0
55,"Apr 10, 2020",191,7,6,9,139,2,0,0,0
56,"Apr 11, 2020",196,5,4,9,134,3,1,0,0
57,"Apr 12, 2020",196,0,4,7,134,3,0,1,0
58,"Apr 13, 2020",207,11,6,6,145,3,0,0,0
59,"Apr 14, 2020",217,10,7,6,145,3,0,0,1
60,"Apr 15, 2020",217,0,7,5,145,3,0,0,0
61,"Apr 16, 2020",233,16,8,7,161,3,0,0,0
62,"Apr 17, 2020",245,12,10,8,124,4,1,0,0
63,"Apr 18, 2020",254,9,12,8,133,4,0,1,0
64,"Apr 19, 2020",271,17,13,11,150,4,0,0,0
65,"Apr 20, 2020",271,0,8,9,150,4,0,0,1
66,"Apr 21, 2020",311,40,19,13,190,4,0,0,0
67,"Apr 22, 2020",326,15,19,16,197,4,0,0,0
68,"Apr 23, 2020",326,0,18,13,197,4,0,0,0
69,"Apr 24, 2020",354,28,14,16,206,4,0,0,0
